HH	HH	HH	HH	0.00485	8	1651
HH	HH	HH	HL	0.02847	47	1651
HH	HH	HH	LH	0.01454	24	1651
HH	HH	HH	LL	0.01696	28	1651
HH	HH	HL	HL	0.00424	7	1651
HH	HH	HL	LH	0.09085	150	1651
HH	HH	HL	LL	0.13507	223	1651
HH	HH	LH	LH	0.0212	35	1651
HH	HH	LH	LL	0.06178	102	1651
HH	HH	LL	LL	0.02483	41	1651
HH	HL	HL	HL	0.00061	1	1651
HH	HL	HL	LH	0.00303	5	1651
HH	HL	HL	LL	0.03695	61	1651
HH	HL	LH	LH	0.02483	41	1651
HH	HL	LH	LL	0.19746	326	1651
HH	HL	LL	LL	0.13749	227	1651
HH	LH	LH	LH	0.0109	18	1651
HH	LH	LH	LL	0.03937	65	1651
HH	LH	LL	LL	0.04724	78	1651
HH	LL	LL	LL	0.00666	11	1651
HL	HL	HL	HL	0.0	0	1651
HL	HL	HL	LH	0.00061	1	1651
HL	HL	HL	LL	0.00061	1	1651
HL	HL	LH	LH	0.0	0	1651
HL	HL	LH	LL	0.00242	4	1651
HL	HL	LL	LL	0.01333	22	1651
HL	LH	LH	LH	0.00182	3	1651
HL	LH	LH	LL	0.00848	14	1651
HL	LH	LL	LL	0.02544	42	1651
HL	LL	LL	LL	0.00666	11	1651
LH	LH	LH	LH	0.00606	10	1651
LH	LH	LH	LL	0.00545	9	1651
LH	LH	LL	LL	0.00969	16	1651
LH	LL	LL	LL	0.00787	13	1651
LL	LL	LL	LL	0.00424	7	1651
