bifurcation_parameter	HH	HL	LH	LL	
3	918	0	1	0	0	
3	926	0	1	0	0	
3	929	0	1	0	0	
3	925	0	1	0	0	
3	928	0	1	0	0	
3	931	0	1	0	0	
3	920	0	1	0	0	
3	924	0	1	0	0	
3	918	0	1	0	0	
3	911	0	1	0	0	
2.99	927	0	1	0	0	
2.99	933	0	1	0	0	
2.99	922	0	1	0	0	
2.99	925	0	1	0	0	
2.99	929	0	1	0	0	
2.99	930	0	1	0	0	
2.99	924	0	1	0	0	
2.99	919	0	1	0	0	
2.99	923	0	1	0	0	
2.99	919	0	1	0	0	
2.98	923	0	1	0	0	
2.98	917	0	1	0	0	
2.98	918	0	1	0	0	
2.98	936	0	1	0	0	
2.98	926	0	1	0	0	
2.98	924	0	1	0	0	
2.98	920	0	1	0	0	
2.98	919	0	1	0	0	
2.98	920	0	1	0	0	
2.98	927	0	1	0	0	
2.97	915	0	1	0	0	
2.97	925	0	1	0	0	
2.97	921	0	1	0	0	
2.97	930	0	1	0	0	
2.97	918	0	1	0	0	
2.97	929	0	1	0	0	
2.97	930	0	1	0	0	
2.97	915	0	1	0	0	
2.97	918	0	1	0	0	
2.97	933	0	1	0	0	
2.96	915	0	1	0	0	
2.96	933	0	1	0	0	
2.96	915	0	1	0	0	
2.96	936	0	1	0	0	
2.96	916	0	1	0	0	
2.96	912	0	1	0	0	
2.96	919	0	1	0	0	
2.96	929	0	1	0	0	
2.96	902	0	1	0	0	
2.96	930	0	1	0	0	
2.95	912	0	1	0	0	
2.95	916	0	1	0	0	
2.95	920	0	1	0	0	
2.95	930	0	1	0	0	
2.95	933	0	1	0	0	
2.95	926	0	1	0	0	
2.95	926	0	1	0	0	
2.95	927	0	1	0	0	
2.95	933	0	1	0	0	
2.95	919	0	1	0	0	
2.94	922	0	1	0	0	
2.94	914	0	1	0	0	
2.94	925	0	1	0	0	
2.94	921	0	1	0	0	
2.94	912	0	1	0	0	
2.94	925	0	1	0	0	
2.94	923	0	1	0	0	
2.94	924	0	1	0	0	
2.94	911	0	1	0	0	
2.94	926	0	1	0	0	
2.93	934	0	0.992505	0.00749465	0	
