bifurcation_parameter	HH	HL	LH	LL	
2.57	932	0	0	1	0	
2.57	937	0	0	1	0	
2.57	945	0	0	1	0	
2.57	922	0	0	1	0	
2.57	932	0	0	1	0	
2.571	941	0	0	1	0	
2.571	925	0	0	1	0	
2.571	932	0	0	1	0	
2.571	914	0	0	1	0	
2.571	923	0	0	1	0	
2.572	935	0	0.976471	0.0235294	0	
2.572	922	0	0.97397	0.0260304	0	
2.572	943	0	0.974549	0.0254507	0	
2.572	931	0	0.965628	0.0343716	0	
2.572	930	0	0.976344	0.0236559	0	
2.573	938	0	0.969083	0.0309168	0	
2.573	931	0	0.955961	0.0440387	0	
2.573	933	0	0.975348	0.0246517	0	
2.573	928	0	0.96875	0.03125	0	
2.573	937	0	0.964781	0.0352188	0	
2.574	931	0	0.960258	0.0397422	0	
2.574	938	0	0.962687	0.0373134	0	
