HH	HH	HH	0.00325	8	2459
HH	HH	HL	0.04229	104	2459
HH	HH	LH	0.01667	41	2459
HH	HH	LL	0.01911	47	2459
HH	HL	HL	0.05856	144	2459
HH	HL	LH	0.05815	143	2459
HH	HL	LL	0.15128	372	2459
HH	LH	LH	0.05124	126	2459
HH	LH	LL	0.20496	504	2459
HH	LL	LL	0.00122	3	2459
HL	HL	HL	0.00285	7	2459
HL	HL	LH	0.00651	16	2459
HL	HL	LL	0.02074	51	2459
HL	LH	LH	0.02277	56	2459
HL	LH	LL	0.17365	427	2459
HL	LL	LL	0.00488	12	2459
LH	LH	LH	0.00895	22	2459
LH	LH	LL	0.13013	320	2459
LH	LL	LL	0.02277	56	2459
LL	LL	LL	0.0	0	2459
