HH	HH	HH	0.01446	39	2697
HH	HH	HL	0.15202	410	2697
HH	HH	LH	0.0482	130	2697
HH	HH	LL	0.05043	136	2697
HH	HL	HL	0.01298	35	2697
HH	HL	LH	0.13645	368	2697
HH	HL	LL	0.35373	954	2697
HH	LH	LH	0.01446	39	2697
HH	LH	LL	0.05599	151	2697
HH	LL	LL	0.01706	46	2697
HL	HL	HL	0.00037	1	2697
HL	HL	LH	0.00185	5	2697
HL	HL	LL	0.01001	27	2697
HL	LH	LH	0.00297	8	2697
HL	LH	LL	0.02966	80	2697
HL	LL	LL	0.05302	143	2697
LH	LH	LH	0.00074	2	2697
LH	LH	LL	0.01557	42	2697
LH	LL	LL	0.02076	56	2697
LL	LL	LL	0.00927	25	2697
