HH	HH	HH	0.05495	80	1456
HH	HH	HL	0.12431	181	1456
HH	HH	LH	0.03915	57	1456
HH	HH	LL	0.05769	84	1456
HH	HL	HL	0.06387	93	1456
HH	HL	LH	0.05288	77	1456
HH	HL	LL	0.16071	234	1456
HH	LH	LH	0.03228	47	1456
HH	LH	LL	0.04945	72	1456
HH	LL	LL	0.01374	20	1456
HL	HL	HL	0.00206	3	1456
HL	HL	LH	0.02473	36	1456
HL	HL	LL	0.02541	37	1456
HL	LH	LH	0.01854	27	1456
HL	LH	LL	0.09203	134	1456
HL	LL	LL	0.04052	59	1456
LH	LH	LH	0.00893	13	1456
LH	LH	LL	0.06731	98	1456
LH	LL	LL	0.05769	84	1456
LL	LL	LL	0.01374	20	1456
