uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
182.0	2.0	28.493406	83.94004	48.66315	17.656735	0.27529000000000003	0.8624379999999999	0.500387	0.51281	66.686626	6.0	48.967447	68.26791700000001	5.0	0.020687	17.083547	3.0	63.196222	67.255634	1.0	59.50991	57.176341	2.0	0.017069	0.13330999999999998	2.0	17.919184	1.469291	4.0	94.306119
202.0	2.0	86.155661	25.347210999999998	48.562937	1.5877370000000002	0.305764	0.677481	0.11794500000000001	0.725172	40.642056	6.0	59.28148100000001	13.29994	2.0	0.020818	7.732999	1.0	82.031074	68.967069	6.0	4.75181	60.50555	5.0	0.019771	5.597301	4.0	43.288066	1.176818	1.0	69.30594599999999
265.0	2.0	36.654958	8.750782000000001	11.938578999999999	89.091976	0.118201	0.300367	0.218135	0.979957	60.250574	2.0	99.51260699999999	59.463452000000004	1.0	0.126583	8.378389	3.0	34.435865	0.8538469999999999	6.0	81.111127	47.052548	6.0	0.014656	4.580166	2.0	51.083519	3.6773809999999996	5.0	61.628566000000006
338.0	2.0	85.104834	74.11754	98.749091	37.041346000000004	0.69986	0.779922	0.739893	0.814112	7.640225	6.0	18.800419	26.868748999999998	1.0	0.021361	17.752092	5.0	55.020683999999996	3.594492	2.0	8.716069000000001	64.70099	3.0	0.5197510000000001	1.2444790000000001	5.0	13.468615	5.11647	2.0	70.084523
365.0	2.0	41.526838	44.828539	83.827679	73.753167	0.8148529999999999	0.570689	0.473616	0.7306779999999999	60.370861	5.0	31.395853000000002	62.639193000000006	3.0	0.729883	7.969281	2.0	99.364075	8.158685	2.0	79.486631	49.323627	6.0	0.047889999999999995	0.075528	5.0	50.49163	4.186641000000001	4.0	60.335448
429.0	2.0	18.96579	44.9379	63.006905	31.516756	0.7592869999999999	0.7444930000000001	0.392608	0.9912030000000001	8.619192	6.0	13.380326	65.056089	5.0	0.011911	15.127189999999999	3.0	44.353228	6.16558	1.0	85.799715	55.140016	6.0	0.304489	5.70346	1.0	45.436263000000004	2.749804	4.0	40.097119
435.0	2.0	51.01382	24.181323000000003	82.93145	39.363580999999996	0.6843060000000001	0.867576	0.5661609999999999	0.715217	5.732627	3.0	39.481219	29.114318	5.0	0.316825	9.102988	3.0	55.442046999999995	3.001321	5.0	75.76601	56.992253000000005	5.0	0.01277	3.3186980000000004	5.0	3.136331	5.654249	2.0	69.98510999999999
487.0	2.0	22.778269	24.118984	99.784387	24.957860999999998	0.28078000000000003	0.476785	0.142266	0.570263	59.658393999999994	4.0	57.188899	54.645421	5.0	0.036642	3.317592	6.0	30.126587	20.076341	4.0	3.5964690000000004	57.209068	1.0	0.011890000000000001	4.698156	6.0	83.159835	0.13719	4.0	76.85364399999999
492.0	2.0	95.978323	77.41018100000001	52.544003000000004	57.256954	0.164804	0.881936	0.366399	0.9285469999999999	58.712058	4.0	80.164559	14.496696	2.0	0.078763	18.390817000000002	3.0	30.975022999999997	46.928441	4.0	8.129769999999999	68.965981	2.0	0.011786	4.367616	1.0	31.528309999999998	2.372592	1.0	65.926137
496.0	2.0	12.915230000000001	99.670609	94.388376	2.9580290000000002	0.94755	0.841255	0.8821120000000001	0.13988499999999998	67.615794	3.0	29.989396000000003	19.183818	2.0	0.015879	1.7256310000000001	2.0	75.40160300000001	6.552303	6.0	16.409339000000003	42.555886	1.0	0.019157	3.6279980000000003	2.0	6.226155	0.673127	1.0	7.176875999999999
