uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
1.0	2.0	84.538321	82.142425	94.876559	88.091165	0.8594809999999999	0.934534	0.32363600000000003	0.6513369999999999	49.070108000000005	5.0	58.343552	57.219528000000004	5.0	0.016296	12.176731	1.0	17.758485999999998	35.174591	2.0	62.250618	22.032719	4.0	0.026306	2.826967	1.0	29.429199	1.8466	5.0	57.371635999999995
5.0	2.0	22.361338	46.917209	88.286884	81.814033	0.16092599999999999	0.528953	0.8467459999999999	0.808383	51.479186999999996	5.0	73.960852	10.816645	6.0	0.035629	15.230991	5.0	21.256207999999997	5.542587	6.0	5.1919260000000005	55.930029000000005	5.0	0.017513	3.622665	2.0	42.182559000000005	5.066959	3.0	28.344487
7.0	2.0	25.030966	75.03532	40.402775	19.352507	0.20031400000000002	0.688062	0.49488699999999997	0.636955	38.863432	1.0	82.89485	3.7371519999999996	5.0	0.024058	2.242595	6.0	56.821252	11.987525	5.0	94.836341	38.434519	4.0	0.029126	4.877667	1.0	59.334832999999996	1.93885	6.0	37.537521000000005
11.0	2.0	35.088729	34.464163	80.0246	88.567286	0.9281879999999999	0.352682	0.7304069999999999	0.866482	5.195521	5.0	1.603181	32.048243	4.0	0.015586000000000001	10.480027	1.0	36.88986	12.238725	4.0	34.223362	33.700875	5.0	0.011963	1.5122659999999999	5.0	70.74178	1.659878	4.0	80.444581
14.0	2.0	45.396364	76.99336	14.25319	78.042466	0.8638969999999999	0.667392	0.127942	0.666877	55.431771	3.0	91.82989599999999	33.857869	4.0	0.341267	11.769419000000001	3.0	98.469583	23.958560000000002	1.0	5.443589	11.249813	5.0	0.014408	3.3593900000000003	6.0	51.684088	0.9120290000000001	4.0	91.299322
21.0	2.0	23.261367	76.189226	2.796916	82.469886	0.7617010000000001	0.847282	0.148817	0.142496	73.069474	5.0	91.541887	54.331949	3.0	0.044955	2.650735	6.0	91.67936	47.128965	1.0	88.94111	28.935252000000002	5.0	0.074061	0.7196899999999999	1.0	40.116	4.719886	3.0	96.05340100000001
26.0	2.0	47.964217	44.065931	89.119477	17.187667	0.454958	0.8315959999999999	0.126101	0.792806	34.985831	2.0	80.278378	6.227218	4.0	0.018165	8.142042	5.0	26.200735	41.991717	2.0	59.956233	17.368526	1.0	0.14335599999999998	5.403697	1.0	62.520095999999995	4.618479	2.0	75.320338
35.0	2.0	46.972288	31.851388	23.460851	60.97555500000001	0.398323	0.177885	0.625273	0.8486520000000001	11.37764	3.0	67.30284499999999	20.305042	1.0	0.014916999999999998	9.459547	3.0	80.492897	4.09165	6.0	33.590138	2.373281	3.0	0.069127	3.8052919999999997	4.0	82.250843	5.5588	5.0	74.97496
36.0	2.0	50.683503	78.602491	28.13052	81.165082	0.44041	0.9737899999999999	0.162692	0.41716400000000003	46.382284000000006	4.0	38.852359	9.65945	6.0	0.012528000000000001	8.994436	4.0	68.368732	31.628	5.0	28.733664	46.352678999999995	4.0	0.018177000000000002	5.063954	1.0	55.142607	3.956635	1.0	81.26284799999999
37.0	2.0	59.165997	78.273584	23.617925	59.954016	0.30646	0.5924470000000001	0.9504799999999999	0.887358	3.668247	2.0	93.759819	13.286729000000001	6.0	0.011897	5.252697	3.0	99.510862	5.9218470000000005	1.0	86.281038	28.732573	5.0	0.010973	2.40669	4.0	19.419386	3.9619910000000003	3.0	7.128616
39.0	2.0	57.756271	14.742438	34.158252000000005	52.731191	0.655573	0.274943	0.9681420000000001	0.361593	2.661984	5.0	53.960184	49.190257	4.0	0.013268	17.579595	2.0	54.481992000000005	43.096033	6.0	27.171646000000003	40.350295	3.0	0.015344	0.24060700000000002	4.0	73.018235	1.299312	6.0	86.28925100000001
40.0	2.0	88.42739	77.469732	85.52479	25.981128	0.185624	0.556808	0.42328599999999994	0.186055	69.965414	5.0	52.528905	31.190987	5.0	0.013713	16.585701999999998	5.0	63.512048	71.083547	1.0	21.768483	23.41764	1.0	0.02254	4.430515	6.0	19.494168	2.3915580000000003	1.0	71.359162
42.0	2.0	26.264781	97.729564	32.908776	77.396952	0.927869	0.920568	0.23356100000000002	0.296045	12.095988	1.0	56.181582999999996	4.472585	6.0	0.042606	2.767595	2.0	97.900199	65.305022	4.0	68.174001	53.29049200000001	2.0	0.019736	2.640891	3.0	69.983412	0.617784	5.0	49.994295
44.0	2.0	82.729285	20.930591	44.877	73.407054	0.48630500000000004	0.872922	0.371832	0.707353	49.882979	1.0	43.060763	8.917994	3.0	0.023785	4.251705	3.0	34.720804	69.221535	2.0	68.77902399999999	2.246213	3.0	0.017068	2.2761009999999997	6.0	64.024594	3.415239	2.0	73.623981
47.0	2.0	77.951513	29.889764000000003	53.385706000000006	31.350243	0.751941	0.255117	0.457559	0.22341	49.283836	5.0	47.661939000000004	15.710555	4.0	0.013937	17.881631	6.0	7.968067	3.454737	1.0	85.21064799999999	78.273415	2.0	0.018338	5.056668	4.0	42.974266	5.0643839999999996	5.0	12.378657
49.0	2.0	19.847395000000002	25.807505	86.918524	92.434636	0.22932800000000003	0.6784899999999999	0.760576	0.161424	53.655443999999996	6.0	24.849277	21.202441	1.0	0.015798	1.7973849999999998	4.0	4.392735	39.428412	6.0	54.48050799999999	40.062554999999996	6.0	0.011022	3.397154	5.0	13.976773999999999	1.7973439999999998	3.0	32.303656
52.0	2.0	84.709124	93.46164300000001	89.75256800000001	71.196766	0.8296180000000001	0.768526	0.7821170000000001	0.379182	69.245379	1.0	8.937963	16.008088	1.0	0.010019	8.477211	5.0	40.487195	70.243739	3.0	26.874149	34.653479	3.0	0.11624100000000001	2.712091	2.0	41.190178	2.631627	4.0	66.051714
