uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
3.0	3.0	47.141764	72.656091	27.650160999999997	15.706064999999999	0.30816	0.507844	0.23362800000000003	0.555416	66.444953	6.0	48.076485	25.560851	6.0	0.020938	17.166586	3.0	64.35068299999999	37.98648	5.0	75.769552	24.991189000000002	1.0	0.017136000000000002	1.357633	4.0	53.58421800000001	3.767065	3.0	49.428927
18.0	3.0	15.055494	52.414944	70.223632	21.6869	0.635246	0.278643	0.9944440000000001	0.728853	72.69194399999999	4.0	28.324214	64.511674	6.0	0.010993000000000001	16.991135999999997	6.0	11.420662	27.465194	6.0	28.597484	14.501489999999999	5.0	0.021787	0.068472	6.0	57.602041	3.652488	4.0	85.037451
34.0	3.0	43.246063	95.08834	1.357737	82.21307900000001	0.60687	0.32422399999999996	0.10673800000000001	0.403686	49.229071999999995	3.0	97.310878	71.400337	4.0	0.020222	15.703270999999999	3.0	40.618281	70.497726	2.0	81.067223	62.412864	3.0	0.19250799999999998	2.007413	2.0	85.319725	3.4688980000000003	6.0	34.838756
45.0	3.0	16.453014000000003	9.375042	98.933789	94.19890500000001	0.510519	0.33304	0.763023	0.29078899999999996	25.48084	2.0	19.012353	52.780581999999995	2.0	0.014438	7.285652000000001	5.0	25.675051999999997	28.985409999999998	3.0	49.181822	73.12374399999999	2.0	0.018793999999999998	0.464925	6.0	51.648126	0.514695	6.0	93.145474
50.0	3.0	94.290088	42.063208	72.922384	99.686755	0.31172300000000003	0.479365	0.8068810000000001	0.61656	74.71635699999999	4.0	52.079386	56.872758999999995	1.0	0.020843	18.355762	3.0	87.016023	37.667507	5.0	96.680305	6.546672	2.0	0.012556999999999999	1.2794530000000002	1.0	64.245132	4.064769	5.0	90.303371
76.0	3.0	86.135856	38.970339	79.048101	53.106421999999995	0.367827	0.480258	0.700546	0.26718800000000004	68.029404	6.0	63.624762	53.897806	4.0	0.023503	5.746871	6.0	6.71675	39.03788	1.0	60.841764000000005	34.065115000000006	2.0	0.047737	3.935601	5.0	49.857396	2.768786	5.0	83.225337
78.0	3.0	87.831032	69.979897	31.630003000000002	26.62867	0.936263	0.6408689999999999	0.563897	0.252823	61.462683	4.0	90.662756	29.940815999999998	1.0	0.011457	4.495887000000001	3.0	96.225263	49.640105	6.0	29.482471999999998	57.904526000000004	6.0	0.017476	0.424101	5.0	62.293292	4.929463	1.0	63.438621999999995
85.0	3.0	20.068264000000003	34.919379	24.706325	51.296729	0.398397	0.464423	0.573156	0.563282	50.971361	1.0	63.949386	54.335915	4.0	0.016732	13.574391	5.0	60.088401	46.493036	6.0	93.971347	59.451308999999995	5.0	0.010356	4.188102	4.0	57.654284999999994	2.124307	4.0	82.062919
90.0	3.0	27.533833	86.835175	26.615707	90.914038	0.927802	0.621959	0.437921	0.506743	64.91704399999999	1.0	49.179077	29.946241999999998	3.0	0.015226	4.5203940000000005	5.0	94.264251	48.859885	3.0	66.564084	7.954878	6.0	0.177853	0.38059699999999996	5.0	25.666992999999998	4.762711	1.0	49.225341
106.0	3.0	45.409162	65.329109	21.166367	20.809299	0.739582	0.354665	0.526231	0.8312430000000001	44.112457	2.0	98.456971	5.998603	3.0	0.010848	14.333877	5.0	87.32728399999999	65.148338	3.0	16.388778	8.399519	2.0	0.010897	0.411016	3.0	96.662456	2.347028	5.0	76.771291
145.0	3.0	13.426391	28.344982	37.231162	63.558629	0.9350360000000001	0.256677	0.44660299999999997	0.927823	29.885164000000003	2.0	40.023678000000004	20.077021	1.0	0.010151	8.117431	4.0	80.22079699999999	34.188969	3.0	18.160384	12.977255	1.0	0.029772000000000003	3.462629	6.0	62.948065	2.54251	4.0	28.382821000000003
