HH	HH	HH	0.01057	20	1893
HH	HH	HL	0.07554	143	1893
HH	HH	LH	0.03275	62	1893
HH	HH	LL	0.09297	176	1893
HH	HL	HL	0.06022	114	1893
HH	HL	LH	0.01849	35	1893
HH	HL	LL	0.12731	241	1893
HH	LH	LH	0.0243	46	1893
HH	LH	LL	0.20708	392	1893
HH	LL	LL	0.03539	67	1893
HL	HL	HL	0.00634	12	1893
HL	HL	LH	0.00106	2	1893
HL	HL	LL	0.01321	25	1893
HL	LH	LH	0.00264	5	1893
HL	LH	LL	0.0449	85	1893
HL	LL	LL	0.00634	12	1893
LH	LH	LH	0.01268	24	1893
LH	LH	LL	0.15425	292	1893
LH	LL	LL	0.07237	137	1893
LL	LL	LL	0.00158	3	1893
