52	7	1.155339	-0.979862	1.449479	-1.900274	1.156686	-0.979857	-4.172553	-6.007016	-7.639308	-6.613362	7.581540	6.981202	4.815601	4.877775	6.303410	6.975243	7.534992	4.877775	-5.450331	-6.016897	-4.918781	-6.609417	-4.171909	-6.007005	-4.920133	-6.609431	1.450125	-1.899266
485	7	-6.779157	-4.500764	4.979888	2.329727	-6.778577	1.624405	4.979599	2.329714	-6.780673	-4.500764	6.984479	7.602248	6.714124	6.561484	-4.965463	-4.134161	-6.780093	1.624405	6.984200	7.602247	-0.925716	1.626807	-4.034211	-4.119139	-0.926460	-4.498556	-4.033928	-4.119131
660	7	7.516631	6.621820	-8.991324	-4.871253	-4.935141	-3.763754	-2.777157	-4.870831	4.647795	0.575350	7.341209	7.517967	7.309462	0.580640	-2.787774	-4.870844	-7.614793	-3.763770	7.351389	7.517967	7.309034	0.580640	3.637534	1.705086	-4.935588	-3.763754	3.648755	1.705462
682	7	2.699009	-0.105054	-3.582844	-4.420185	1.347344	-0.895649	5.436547	4.310329	2.698520	-0.105128	1.734173	-1.761357	-3.166041	-3.390479	1.734184	-1.761333	-3.165444	-3.390477	-3.582841	-4.420185	8.835456	6.321631	-9.274789	-4.420334	-4.565552	-3.391541	5.436548	4.310329
892	7	-10.328274	-2.723738	5.653302	5.892158	6.870308	6.691383	-12.250410	-4.441919	6.809001	6.691383	-12.244765	2.190743	-6.157650	-2.723738	-6.915600	2.190744	-7.085594	0.570646	5.652934	5.892157	-2.850570	0.570646	-6.915968	2.190744	-6.096334	-2.723738	-6.921245	-4.441918
994	7	7.757424	6.423337	-9.065670	-5.442436	-3.775948	-2.869792	3.939338	1.081467	-3.598259	2.100140	3.728578	1.056935	-3.598218	2.100140	-2.931189	-5.166242	-3.775903	-2.869792	-2.722157	-5.084375	-7.298976	-2.869939	7.849478	6.569895	-7.122199	2.098567	7.643087	6.569832
1040	7	-4.620875	-5.911969	3.512627	-0.908110	-4.620875	-5.911969	-2.070640	-7.329865	6.293272	5.753694	-4.565010	-7.330412	-10.480535	-6.874178	6.835438	4.404950	1.708928	-1.434416	-2.125828	-7.329943	0.449701	3.950784	5.484391	4.404689	1.708928	-1.434416	3.414472	-0.927125
1601	7	4.328690	6.698658	-10.390364	-7.719071	-5.061967	-0.346552	1.388727	-1.424941	-5.061957	-0.346552	-5.171794	-7.718985	1.557369	4.949313	4.075355	5.189076	1.159703	0.009389	-5.175908	-7.718986	-7.783607	-0.346552	6.831927	5.189090	-4.798073	4.044658	5.375858	5.189090
1622	7	4.692308	7.215520	-5.706205	-6.616822	-4.714749	-1.568153	-2.618933	-6.616815	-1.588259	4.865884	-3.992880	-6.616822	-4.719084	-1.568426	3.470944	0.132243	-1.589036	4.864970	2.092253	-1.356798	-8.510991	-1.614303	7.067890	6.355745	4.692308	7.215520	0.338826	-6.427041
1676	7	-8.517873	-5.914572	9.090276	6.740350	2.861468	0.177423	-0.770897	-1.709987	-4.407911	-5.891594	-0.767698	-1.709930	7.376919	6.266372	-5.121614	-1.718557	3.276515	6.265688	4.835681	6.730904	2.847665	0.177376	2.790391	1.200403	-4.421891	-5.892248	2.795053	1.233136
2284	7	-0.991952	6.218986	-12.333124	-6.410403	5.028582	6.391236	-12.359569	-6.410403	-1.223368	1.481634	3.411760	-0.085000	-1.159159	1.485018	-5.754178	-6.407860	-3.509110	1.466931	6.202733	6.610881	4.897245	1.706693	3.411736	-0.085006	4.955921	1.706693	-5.754194	-6.407860
2628	7	5.651507	7.252169	-8.421591	-6.395787	-8.465571	2.180851	8.186195	5.854650	-6.245477	2.288535	5.233955	-0.071542	-6.143075	2.298139	-2.494903	-6.385319	-6.722219	-0.107731	5.257353	-0.071542	-8.753443	-0.197277	8.203590	5.854650	3.651560	6.922496	2.229278	5.853452
2631	7	-6.820346	5.105621	4.661406	7.975253	-3.461615	5.106416	-1.848427	3.275882	-2.464105	5.111934	-8.496004	-2.362305	3.670464	6.983742	-9.870684	-2.362305	-11.797042	-0.219845	7.145146	7.978394	-7.680428	-0.219845	-6.003261	-2.362301	2.095873	6.938135	-3.229014	3.254383
2698	7	7.123846	7.969723	-7.737355	-6.647295	-7.431213	-4.732847	8.343864	6.108415	0.991832	-0.266692	2.610692	-0.109401	0.992846	-0.265937	-3.569651	-6.644875	-5.412007	-4.414558	2.614993	-0.109367	5.104314	7.801023	4.176801	6.108378	-5.411026	-4.414301	-3.565795	-6.644849
2750	7	-3.877077	4.843904	5.784173	5.562049	7.293010	1.145617	-4.782404	-6.593089	-7.655185	-1.675296	7.430901	5.562050	7.528644	7.656401	-8.501857	-6.593089	-2.835129	-1.473334	-4.552040	-6.593089	-2.835129	-1.473334	1.145915	-2.455530	7.293010	1.145617	0.788447	-3.871162
