uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
5.0	2.0	46.98438	49.021136	65.034159	50.187746000000004	0.9907959999999999	0.11255699999999999	0.30557399999999996	0.568082	21.987131	4.0	60.698589	73.575067	4.0	0.010591	1.363669	6.0	42.605863	5.453456	4.0	38.255414	6.248861	2.0	36.589797	42.415347	3.0	26.753028999999998	7.722416	5.0	0.015408000000000002	8.600078	2.0	55.75444399999999
8.0	2.0	16.292698	18.725869	57.900678000000006	21.374284	0.46728500000000006	0.688279	0.835938	0.877848	14.676884	5.0	11.544975	29.424003000000003	2.0	0.30351999999999996	1.7228740000000002	5.0	70.112039	0.700455	4.0	80.188694	1.924364	4.0	27.379432	23.137689	1.0	12.062629	9.092125	6.0	0.092339	8.387413	2.0	10.613259
10.0	2.0	78.409616	70.35311300000001	90.645398	98.34806	0.784849	0.525079	0.311424	0.18523	9.166221	1.0	41.246462	50.321837	3.0	0.031020999999999996	2.548075	4.0	63.64085	2.0482810000000002	1.0	5.964915	17.927628	3.0	17.213031	57.888826	5.0	52.960018000000005	21.304886	6.0	0.022473	1.585984	5.0	57.11261
12.0	2.0	91.912265	82.254722	79.708694	83.34925	0.890238	0.121294	0.691573	0.940141	12.747995	6.0	29.219551	30.108944	1.0	0.012601000000000001	0.360755	6.0	94.915823	5.88549	2.0	96.204104	12.637199	1.0	47.403737	23.005485	4.0	5.767285	10.45629	4.0	0.021702000000000003	6.042858	6.0	56.038164
13.0	2.0	34.757324	89.064479	15.050835000000001	91.684449	0.465971	0.16909200000000002	0.5767260000000001	0.979498	3.942643	5.0	53.348346	9.324458	4.0	0.055675	0.35872800000000005	3.0	5.79866	2.761691	5.0	70.407969	9.3881	1.0	90.724059	37.717329	4.0	46.166748999999996	20.667691	6.0	0.012636	0.870077	5.0	70.308813
21.0	2.0	2.51936	93.243851	83.062186	61.878039	0.244623	0.761027	0.292946	0.242615	17.886695	3.0	41.857556	65.176069	5.0	0.011132	0.276185	3.0	79.056393	3.9063980000000003	3.0	62.656115	7.863464	5.0	17.589825	8.742443	3.0	82.96920899999999	2.851763	4.0	0.010004	10.256478999999999	6.0	31.602282000000002
26.0	2.0	45.914367	32.356896	20.170587	88.361847	0.179155	0.218714	0.508139	0.37009200000000003	6.767479	3.0	94.607796	39.182318	2.0	0.010757	4.346563	2.0	17.23095	2.216153	5.0	74.94359	17.262944	5.0	9.524867	34.626325	1.0	57.229843	0.631939	6.0	0.015648	9.180082	6.0	38.016939
29.0	2.0	45.509153999999995	58.318265000000004	96.129292	91.281755	0.49168900000000004	0.838002	0.23734	0.356727	10.010615	5.0	24.850467000000002	31.809588	6.0	0.018933000000000002	2.071776	3.0	62.06630500000001	1.162123	1.0	56.760605000000005	18.478233	6.0	98.75272700000001	20.611284	6.0	67.06188	9.744811	4.0	0.0327	12.728525	6.0	33.431719
31.0	2.0	77.327704	80.915791	14.383039000000002	69.520287	0.523149	0.8972600000000001	0.78696	0.352691	16.234267000000003	1.0	29.768626	9.159863	2.0	0.013968000000000001	3.5373449999999997	6.0	56.056909999999995	2.4996259999999997	1.0	76.565567	15.012220000000001	5.0	8.476527	26.394015999999997	5.0	4.767204	20.242092	2.0	0.014013999999999999	4.224453	2.0	19.754348
34.0	2.0	56.65778	17.511476000000002	47.983381	64.292016	0.430151	0.384552	0.8499909999999999	0.689499	10.093076	6.0	80.55599000000001	4.731364	4.0	0.039111	3.529323	4.0	49.148701	3.130856	5.0	4.999979	20.273972	5.0	75.249983	36.86649	1.0	19.535173	9.762464	3.0	0.011953	2.217378	3.0	35.068418
