uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
52.0	3.0	33.920123	68.818467	48.156395	57.720499	0.240538	0.700149	0.508025	0.273661	11.450522	4.0	46.160613	9.885357	2.0	0.12106300000000002	1.582203	5.0	24.292772	1.3037450000000002	1.0	20.7731	5.932966	6.0	58.017872	54.58704	5.0	49.501895000000005	13.536304000000001	1.0	0.031661	1.7775580000000002	2.0	28.013142
82.0	3.0	15.960517999999999	89.10413	65.864349	45.087452	0.791542	0.873302	0.29444000000000004	0.9547399999999999	5.796432	6.0	36.030055	70.010296	5.0	0.02522	2.973753	3.0	92.106574	1.486041	6.0	29.830228	14.491789	2.0	82.757207	30.823208	3.0	26.44918	13.230404	3.0	0.121189	11.644132	6.0	82.050914
100.0	3.0	71.017652	42.606871999999996	65.316375	40.617564	0.5060279999999999	0.399913	0.175043	0.419575	19.9683	6.0	54.324377	22.712393	1.0	0.021516	2.5036509999999996	2.0	30.227504999999997	4.739122	3.0	55.645912	17.195628	6.0	29.356239000000002	43.076293	2.0	90.612009	21.822247	5.0	0.037068000000000004	2.44168	4.0	93.330955
121.0	3.0	84.689141	40.443948	87.392475	15.048935	0.35617	0.23256100000000002	0.528771	0.662452	6.82688	5.0	98.62357800000001	56.443353	4.0	0.025412999999999998	2.22758	2.0	4.830583	3.789224	6.0	54.477062	15.664404000000001	5.0	39.966345000000004	51.941534999999995	6.0	14.2993	10.06419	6.0	0.019028	3.239344	5.0	34.450369
132.0	3.0	14.052755	29.586284000000003	91.108695	52.69698199999999	0.163356	0.6378050000000001	0.628454	0.414562	4.323293	4.0	2.410139	2.67044	3.0	0.039744999999999996	0.58072	2.0	67.817853	3.1621099999999998	1.0	70.367688	2.987404	1.0	89.71728399999999	36.176845	3.0	52.293172999999996	5.6991559999999994	3.0	0.200405	7.904178999999999	5.0	83.258404
185.0	3.0	46.321512	65.606645	53.455321999999995	96.659981	0.708299	0.765597	0.779127	0.586212	4.80973	3.0	30.835842	72.747905	6.0	0.131881	2.945394	4.0	35.45702	5.752955	3.0	11.751513000000001	8.044849000000001	4.0	79.28155	13.412111	5.0	44.460883	23.367422	1.0	0.060188	3.513862	3.0	38.287209999999995
186.0	3.0	8.529017999999999	92.882108	90.67269499999999	54.585877	0.693421	0.47210799999999997	0.217574	0.716759	11.635142	3.0	35.129870000000004	67.15401999999999	1.0	0.011104000000000001	4.763685	1.0	77.94097099999999	5.541565	1.0	72.426744	7.230802000000001	5.0	89.809437	28.517846999999996	3.0	5.9681370000000005	16.662145000000002	4.0	0.013074	2.73127	5.0	98.362549
210.0	3.0	49.442907	77.022586	88.643272	80.28563100000001	0.830752	0.998245	0.443378	0.198244	2.305942	3.0	32.211183	70.495267	6.0	0.083012	0.8885430000000001	6.0	33.574028000000006	4.778226	5.0	23.367314999999998	13.827442999999999	2.0	5.123138	50.549177	4.0	75.149229	12.906246000000001	5.0	0.158339	12.004621	2.0	27.612529
320.0	3.0	17.224775	54.349709	48.929914000000004	25.287691	0.403308	0.370898	0.138323	0.35909800000000003	6.830299	6.0	14.320106	61.173986	3.0	0.108891	4.867641000000001	3.0	92.007525	1.937745	6.0	15.806147	15.851945	1.0	92.99586	20.517999	5.0	28.362955	22.571903	5.0	0.024846	3.4786120000000005	3.0	57.216405
322.0	3.0	63.540578000000004	52.833375	87.030505	39.581009	0.80338	0.972009	0.245821	0.8329209999999999	20.300253	6.0	79.911384	54.62639300000001	6.0	0.010454000000000001	2.530837	6.0	50.589932	0.618841	3.0	23.961007000000002	7.073322999999999	6.0	35.855804	55.195431000000006	5.0	81.664676	5.8566199999999995	1.0	0.016421	1.219838	6.0	8.53261
