uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
48.0	2.0	58.424445	97.81460200000001	91.583339	44.403855	0.134248	0.244015	0.5093270000000001	0.114705	15.508126999999998	5.0	31.475068	68.707351	4.0	0.042424	4.348646	6.0	75.671123	45.228443	5.0	80.69268100000001	19.00519	3.0	0.049299	17.692629999999998	5.0	3.218501
118.0	2.0	69.89554	66.21722700000001	92.318119	77.94243	0.48235200000000006	0.6993050000000001	0.27457800000000004	0.720141	23.180526999999998	1.0	23.670556	38.330588	2.0	0.025727999999999997	11.591624000000001	6.0	86.302991	44.273276	4.0	23.094801	75.793499	6.0	0.037392	15.835023999999999	1.0	30.539609999999996
128.0	2.0	28.041574	76.57842099999999	88.526365	56.804109999999994	0.47958900000000004	0.842814	0.684688	0.8819809999999999	24.431155	5.0	38.072965	58.225446999999996	6.0	0.010509000000000001	8.509207	1.0	48.306609	15.944410999999999	4.0	93.868534	44.132587	1.0	0.015375	0.7981739999999999	3.0	28.631099
175.0	2.0	45.947835	96.323003	16.579814000000002	10.557291000000001	0.467099	0.854377	0.174054	0.373531	76.245775	2.0	90.40491800000001	70.17043100000001	6.0	0.035695	15.741403	3.0	64.918699	1.2110670000000001	6.0	29.345051	45.752379	5.0	0.06795	8.516607	6.0	30.910390000000003
181.0	2.0	40.941064000000004	88.2941	55.242768000000005	79.05505600000001	0.986342	0.5775600000000001	0.714562	0.166256	39.85624	6.0	13.367417000000001	69.594274	1.0	0.027445999999999998	7.689083	1.0	35.029769	5.786638	4.0	49.232417	76.472107	3.0	0.12348699999999999	10.68195	3.0	86.769632
253.0	2.0	13.136469	79.046802	79.289551	96.215598	0.382967	0.10528499999999999	0.561964	0.500449	23.273353	5.0	84.52605600000001	64.59097	1.0	0.012549	18.566007	3.0	70.805242	23.606341	1.0	68.298508	45.872292	3.0	0.023513	2.663204	4.0	1.7979
321.0	2.0	44.302514	80.235984	41.153228999999996	23.293083	0.537537	0.73975	0.20480900000000002	0.227214	46.743639	2.0	25.855935000000002	44.942567	4.0	0.020594	1.311412	4.0	40.991316999999995	26.696496999999997	5.0	37.453978	55.55593399999999	3.0	0.043682	0.33444	6.0	61.418129
375.0	2.0	28.931271000000002	21.830318	94.25852900000001	34.104278	0.74183	0.279826	0.28526799999999997	0.9483219999999999	30.468376	4.0	34.220163	39.115743	6.0	0.012232	18.165556	4.0	37.321099	29.244629999999997	1.0	69.377431	78.040216	4.0	0.01275	0.990966	4.0	55.458015
390.0	2.0	67.530591	74.35294	71.99265	77.759612	0.12328499999999999	0.94616	0.349883	0.177375	29.246598	3.0	26.640155	54.42872	2.0	0.011359000000000001	11.279116	5.0	88.932683	65.10724599999999	1.0	34.274211	65.699772	1.0	0.011653	17.045578	1.0	25.018091000000002
401.0	2.0	64.580276	67.57107099999999	63.439021	60.923193000000005	0.389123	0.6482829999999999	0.398887	0.139542	59.496189	3.0	97.345561	67.349006	1.0	0.012232	8.975047	3.0	67.288247	53.290879000000004	5.0	9.848587	22.990603	5.0	0.069034	4.4901349999999995	1.0	85.381713
