uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
4.0	2.0	80.820045	14.226182000000001	21.621017000000002	1.4424190000000001	0.835227	0.447805	0.578363	0.144118	29.314546000000004	3.0	52.575555	26.498551000000003	3.0	0.033749	14.362303	3.0	70.728512	10.340145	5.0	77.237972	41.34312	5.0	0.012404	13.640914000000002	4.0	45.202373
31.0	2.0	56.695631999999996	81.582102	69.991051	9.868489	0.6658569999999999	0.572485	0.615474	0.814859	41.615355	4.0	33.339783000000004	15.709732999999998	1.0	0.013486000000000001	7.518363000000001	4.0	64.45371	55.560085	5.0	72.896594	28.618294	6.0	0.014861000000000001	2.170255	6.0	94.30055899999999
43.0	2.0	95.495882	52.911013	37.758049	47.019998	0.977411	0.23935399999999998	0.894122	0.311742	49.339488	3.0	97.982585	36.540842	2.0	0.260938	16.770311	5.0	14.962822000000001	29.413744	4.0	2.484872	4.487316000000001	6.0	0.03171	12.136108	6.0	27.650446000000002
49.0	2.0	47.846796999999995	93.071922	12.9196	16.953201	0.556134	0.835731	0.8468030000000001	0.276321	36.439174	4.0	30.6729	23.262806	4.0	0.027752999999999996	8.412202	6.0	57.186298	50.330203000000004	5.0	92.97511	2.3707130000000003	2.0	0.035317	3.991289	2.0	92.84849200000001
50.0	2.0	75.91543399999999	55.905391	17.977283	5.961745	0.310724	0.725721	0.717592	0.41753900000000005	53.572385	4.0	64.364813	34.984046	5.0	0.014473	18.304961	2.0	96.51673000000001	26.644972999999997	6.0	51.502445	14.958877	3.0	0.013347999999999999	12.380424	4.0	95.887969
53.0	2.0	33.224367	14.233718	58.22846	8.878815	0.331719	0.177012	0.525104	0.809225	11.9978	3.0	86.5146	28.92708	4.0	0.024539	17.040282	4.0	62.487347	47.133449	6.0	93.745425	38.682795	4.0	0.014824	10.405380000000001	3.0	4.881549
96.0	2.0	12.089426	37.016414000000005	26.343549	68.353668	0.207134	0.957217	0.83952	0.762496	56.747285	5.0	68.063305	67.071613	4.0	0.035313	2.4084790000000003	4.0	25.741562	55.516091	5.0	39.977459	35.412748	5.0	0.010826	10.969982	1.0	63.09180500000001
97.0	2.0	29.998247999999997	20.539413	20.533184	16.779054000000002	0.9881719999999999	0.38506799999999997	0.6968340000000001	0.436472	5.757531	4.0	53.646627	7.565060000000001	5.0	0.019548	3.051488	6.0	64.86359	33.603477000000005	2.0	94.28548599999999	7.611085000000001	5.0	0.14122	12.768042999999999	4.0	41.760605
109.0	2.0	14.726645999999999	12.220189999999999	1.43024	44.372344	0.132002	0.5152	0.939427	0.570846	23.232142	4.0	80.444779	3.818639	2.0	0.01119	7.2231119999999995	4.0	26.574461	25.721766	5.0	38.139429	26.425965	5.0	0.029654000000000003	14.546341	1.0	83.523521
134.0	2.0	99.003881	85.928481	30.660927	10.990043	0.249748	0.978123	0.233796	0.8227969999999999	72.775725	4.0	76.906413	12.317416999999999	1.0	0.013237	9.432761	5.0	52.002028	54.010256999999996	3.0	77.744558	27.006237	1.0	0.016253	7.0911550000000005	1.0	39.492924
169.0	2.0	2.37562	42.665701	92.362368	35.793208	0.151897	0.28681100000000004	0.225537	0.782401	31.885702000000002	6.0	93.818113	30.781771000000003	2.0	0.036774	9.544414	6.0	15.185019	61.580374	4.0	58.204791	4.040018	5.0	0.067728	14.414314000000001	1.0	22.360594
187.0	2.0	57.456027	57.845996	12.323925	40.257907	0.170768	0.178474	0.589659	0.8841690000000001	56.393238000000004	5.0	50.674774	67.54911	2.0	0.102145	17.363767000000003	4.0	88.923422	27.407970000000002	3.0	98.095477	10.841261	2.0	0.08317100000000001	17.506222	6.0	42.648307
194.0	2.0	43.567498	58.177451	12.137675999999999	42.200389	0.997877	0.613818	0.347993	0.767358	39.586591999999996	5.0	30.650927000000003	9.074786999999999	6.0	0.012512	16.867765	5.0	52.84220500000001	67.463724	6.0	85.457132	54.67616700000001	4.0	0.036479000000000004	15.266539000000002	6.0	69.046589
197.0	2.0	47.926499	58.760291	2.043934	50.156027	0.426447	0.964347	0.142381	0.315591	42.097549	5.0	1.8094009999999998	3.5660220000000002	5.0	0.010242	6.974141	1.0	5.219789	7.669494	5.0	69.24255500000001	5.755609	2.0	0.039658	1.304533	3.0	37.004451
201.0	2.0	13.152595000000002	71.823824	97.248299	3.746893	0.71082	0.26306799999999997	0.289531	0.6019140000000001	67.42111700000001	3.0	58.15994	32.36449	4.0	0.021157	14.274220999999999	6.0	47.90571	54.86660500000001	2.0	76.246712	37.787185	2.0	0.013463	17.525879	3.0	37.18013
238.0	2.0	51.799602	11.960265	37.564603000000005	10.434892	0.475534	0.10688900000000001	0.45465600000000006	0.629369	66.48540600000001	4.0	99.842724	18.596193	5.0	0.041791	10.21605	4.0	38.906446	64.576832	2.0	49.822254	57.71343100000001	5.0	0.201158	1.560589	3.0	39.20065
263.0	2.0	17.620079999999998	52.299009000000005	87.633375	14.434674	0.539201	0.12600799999999998	0.370625	0.9241389999999999	53.094193000000004	4.0	49.921539	63.061877	4.0	0.013819	15.221189	5.0	86.549359	63.662907	6.0	32.58698	50.466969	1.0	0.021171000000000002	9.761603	5.0	79.167338
305.0	2.0	95.761737	85.82111	6.0273769999999995	30.539683	0.952058	0.674479	0.9069290000000001	0.729392	35.861278000000006	6.0	98.971491	44.708508	3.0	0.022143	8.742224	2.0	44.617108	70.632863	1.0	81.763421	41.312973	3.0	0.024239	1.378333	2.0	15.040279
