uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
3.0	4.0	92.318898	96.221482	26.142121	22.590511	0.95695	0.220388	0.28526399999999996	0.21856199999999998	3.6038669999999997	5.0	45.624165000000005	10.233069	2.0	0.018061	0.6151939999999999	5.0	69.262739	5.156753	4.0	65.498324	4.369827	6.0	78.561617	4.393261	4.0	18.558802	4.5978900000000005	5.0	76.845618	3.7762089999999997	2.0	38.647044	15.048632000000001	1.0	83.335151
9.0	4.0	86.54225799999999	78.333714	26.611561	39.317267	0.456095	0.967095	0.606942	0.9104389999999999	13.436963	3.0	94.84870699999999	19.521984	2.0	0.024902	4.194285	2.0	27.338826	5.014753	1.0	30.043090999999997	9.334861	4.0	90.54385699999999	22.825582999999998	6.0	61.384254000000006	2.189527	3.0	64.996184	15.37275	6.0	25.657092000000002	1.8860860000000002	2.0	92.375897
20.0	4.0	14.795914999999999	88.271479	99.83286700000001	41.34949	0.648486	0.40792	0.476955	0.49127299999999996	17.717476	4.0	33.244507	10.793788000000001	5.0	0.132303	0.406369	2.0	61.971675	3.4085620000000003	6.0	87.888747	2.678101	3.0	16.105153	22.213129000000002	2.0	73.937374	8.798878	6.0	38.225819	5.426372	1.0	78.027715	20.406557	6.0	61.384915
26.0	4.0	31.645622999999997	98.747201	91.94868699999999	22.480483	0.460333	0.9137850000000001	0.750065	0.45722700000000005	13.10368	4.0	90.64188299999999	16.768876000000002	2.0	0.010862	1.53041	5.0	77.709936	1.182212	2.0	47.962688	5.44468	3.0	99.65258100000001	5.169012	3.0	95.241523	23.499434	3.0	88.347464	18.893182999999997	5.0	52.000105	3.533707	2.0	49.442725
27.0	4.0	22.241683	46.273659	21.296364	22.816451999999998	0.8288690000000001	0.163653	0.950305	0.931366	9.224210000000001	3.0	62.510388	20.8545	1.0	0.011169	0.47915399999999997	5.0	45.991431	4.254283999999999	6.0	25.669544000000002	19.653615	3.0	92.111851	5.175944	6.0	4.581385	10.532893	5.0	12.039317	12.848757	6.0	38.837105	1.359446	2.0	5.105633
28.0	4.0	86.76724300000001	95.915221	78.50441	96.54784000000001	0.743428	0.9799899999999999	0.487055	0.5453100000000001	12.856024	5.0	98.421814	2.282262	6.0	0.051562000000000004	0.089277	2.0	46.712686	5.2561290000000005	2.0	83.58833	12.066756	5.0	91.775852	10.733062	4.0	33.937525	15.600932	4.0	47.700401	17.659589999999998	4.0	31.626459000000004	17.571752	1.0	56.333018
39.0	4.0	13.771026	41.090832	58.843598	58.443639000000005	0.5460020000000001	0.975475	0.666712	0.634502	9.889028	5.0	50.347947	1.579777	4.0	0.9164680000000001	4.367267	6.0	9.60957	3.3813269999999997	5.0	66.787462	6.0032309999999995	1.0	47.27637	2.09112	2.0	42.114327	18.74038	2.0	85.137439	23.936617000000002	4.0	22.071403	16.826782	6.0	46.559363
42.0	4.0	28.894338	96.037998	41.29724	69.791702	0.391241	0.103059	0.151773	0.200016	3.7021029999999997	2.0	41.805116999999996	13.92314	1.0	0.029129000000000002	2.00279	6.0	64.803546	3.246984	3.0	95.959019	8.792086	6.0	30.554717999999998	21.504742	6.0	35.647096999999995	17.408127	2.0	45.083675	13.503885999999998	4.0	71.575973	15.29437	4.0	2.833623
43.0	4.0	22.729616	40.825751000000004	99.056252	9.83436	0.17602	0.175318	0.5339659999999999	0.621451	22.351743	4.0	87.148783	6.013463	3.0	0.164602	0.074624	2.0	69.32831999999999	4.500676	4.0	87.61545500000001	23.369811	4.0	92.811013	23.461863	1.0	52.812315000000005	21.606187	4.0	47.327295	20.306171	5.0	85.08544599999999	7.025625	5.0	61.42269399999999
44.0	4.0	51.800362	75.45180500000001	42.291975	66.17983199999999	0.612383	0.748649	0.513265	0.68566	9.533945	5.0	17.487034	11.246422	1.0	0.044372	5.4362699999999995	3.0	33.787009000000005	3.8472230000000005	6.0	91.035054	23.403285999999998	3.0	88.89460799999999	25.322934	1.0	88.16899599999999	10.364575	5.0	46.181903999999996	1.423463	5.0	62.740795999999996	19.429153	6.0	4.029148999999999
48.0	4.0	69.683599	84.908823	13.215923000000002	43.837596999999995	0.28629499999999997	0.9044709999999999	0.15529	0.7035779999999999	1.727852	1.0	28.900153999999997	22.073619	4.0	0.036535000000000005	4.292304	4.0	70.12851500000001	2.008492	3.0	98.932529	10.497564	4.0	24.978351	23.682951	1.0	44.155474	22.675263	5.0	11.735933000000001	20.37111	6.0	62.5914	8.158177	6.0	62.696202
65.0	4.0	85.90052299999999	98.5896	87.49261	52.721564	0.648854	0.755467	0.146289	0.368857	14.451341000000001	1.0	86.933013	23.515654	5.0	0.126	4.508380000000001	4.0	18.032165	4.791939	1.0	56.80822	5.5622419999999995	5.0	53.865807	20.096527	5.0	54.444003	15.216911999999999	5.0	19.033794	18.556296	2.0	63.906037	16.246685	4.0	13.739998000000002
88.0	4.0	66.569137	48.722537	10.879461000000001	92.020668	0.750865	0.40894400000000003	0.45715100000000003	0.8901600000000001	0.7816770000000001	1.0	43.122803000000005	25.149829999999998	3.0	0.060315999999999995	1.8729189999999998	4.0	90.741109	1.7219740000000001	6.0	59.170722	18.871402	5.0	10.883883	2.4397130000000002	2.0	35.068791	14.591097	6.0	94.990055	10.459306	5.0	20.049694	17.876096	2.0	22.061859
100.0	4.0	71.39431	80.01094499999999	96.134777	34.879123	0.568725	0.192745	0.7053520000000001	0.393347	16.262389000000002	3.0	52.054981	18.798878	2.0	0.025	3.860649	4.0	33.2396	2.125083	3.0	29.724667999999998	22.259268	5.0	11.254031	1.787218	6.0	53.320151	17.735426999999998	2.0	98.81795100000001	8.558871	3.0	58.766906000000006	17.269558	2.0	75.395639
102.0	4.0	30.493884	67.042159	91.496452	56.204260999999995	0.277149	0.229479	0.756117	0.22725900000000002	7.0160990000000005	2.0	2.027464	10.774962	4.0	0.11163800000000001	5.005578	4.0	66.803055	1.206006	3.0	46.905652	13.72661	6.0	77.069247	0.8595520000000001	4.0	28.953574	16.597721	6.0	93.41116600000001	2.3296099999999997	1.0	15.186188000000001	13.321144	1.0	65.684903
108.0	4.0	33.875665000000005	65.65385500000001	99.81970799999999	47.980789	0.269005	0.31866	0.262495	0.39361399999999996	5.259449	2.0	68.844432	21.414832	3.0	0.019147	1.054344	6.0	20.607210000000002	5.498287	1.0	23.079297	22.83396	2.0	99.02776300000001	21.060342000000002	3.0	34.760886	11.433667	3.0	2.411893	19.399944	5.0	34.536114000000005	16.994583	4.0	38.585969
120.0	4.0	34.401245	6.794408	81.27973100000001	88.71435600000001	0.106098	0.21175100000000002	0.36428699999999997	0.993943	7.497458	2.0	93.392686	6.859980999999999	2.0	0.022616999999999998	2.173563	6.0	9.677800999999999	4.138985	6.0	61.855926000000004	2.838366	4.0	42.406094	11.111312	1.0	4.684444	22.364929999999998	4.0	49.569612	4.553774	6.0	14.313545000000001	2.3669580000000003	5.0	60.935566
125.0	4.0	74.914001	25.819494	85.693282	30.3492	0.287106	0.7492	0.13513699999999998	0.916551	3.486272	6.0	74.305173	15.646098	4.0	0.010622	4.924567	4.0	77.966033	5.555755	5.0	15.821978	8.49928	3.0	57.57601	8.446809	5.0	95.059375	22.641638	2.0	33.679938	1.632757	3.0	94.560349	4.055282	5.0	36.200564
133.0	4.0	37.736289	12.654948	24.822794000000002	99.190351	0.624935	0.288655	0.45426700000000003	0.47934899999999997	14.169308	5.0	6.767828999999999	22.741654999999998	1.0	0.013184	1.848412	5.0	43.035540999999995	4.710312	1.0	57.555657999999994	3.8367440000000004	5.0	1.581963	0.44281000000000004	1.0	28.820559000000003	9.292388	6.0	52.844184999999996	21.278035	3.0	56.737054	23.355175	2.0	59.596129000000005
139.0	4.0	95.05980600000001	89.75044	65.091651	56.434337	0.433626	0.749326	0.949967	0.804664	11.404344	1.0	63.090394999999994	21.74174	3.0	0.093305	5.808802	1.0	63.914338	5.191293	2.0	31.648804	5.049919	3.0	97.424018	18.902547	4.0	96.195135	5.289033	3.0	24.388141	10.217481	6.0	80.813874	10.713517999999999	6.0	55.229789000000004
140.0	4.0	44.066877000000005	30.883744	38.516923	89.79447900000001	0.371987	0.524831	0.931679	0.22651500000000002	13.295962	3.0	55.400575	13.851995	1.0	0.013519999999999999	3.132279	5.0	89.73265	3.952409	5.0	63.120599	14.656782000000002	6.0	46.109982	7.646174	4.0	73.340506	21.265644	6.0	23.941116	11.567748	4.0	81.692465	2.07118	1.0	14.509497
143.0	4.0	99.739244	40.961949	98.817841	18.929174	0.862972	0.513927	0.512944	0.370339	14.205276999999999	5.0	69.399893	8.409499	1.0	0.014049	4.772696	1.0	79.402343	1.421546	5.0	8.123482000000001	16.863941	6.0	15.505270999999999	15.092970000000001	5.0	74.58574200000001	11.654957000000001	4.0	27.062503999999997	11.065826	1.0	94.050501	10.187908	3.0	12.499689
