uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
19.0	2.0	42.240559000000005	87.39524499999999	90.241703	26.669043	0.307744	0.37866	0.161444	0.380542	9.943227	6.0	66.841701	13.178119	1.0	0.020008	5.738748999999999	4.0	63.568186	3.635007	6.0	99.176374	5.555386	5.0	11.473023	0.895433	2.0	15.022085	23.369951	5.0	15.317816	2.7508939999999997	2.0	72.126885	1.7943759999999997	3.0	10.827842
87.0	2.0	37.508423	74.445728	30.809796999999996	49.885646	0.484401	0.6874180000000001	0.7455069999999999	0.158386	10.33272	5.0	76.39184499999999	8.227181	6.0	0.061767999999999997	2.79968	2.0	36.301969	0.111036	4.0	25.583167	13.630904999999998	2.0	84.26926	2.1459490000000003	5.0	3.264821	22.146781	1.0	26.342376	21.562329000000002	5.0	11.131089	17.863674	2.0	5.831308
95.0	2.0	59.05615400000001	30.11395	65.437986	72.143827	0.34833600000000003	0.453492	0.66804	0.432625	15.154907000000001	5.0	84.618429	11.463935000000001	3.0	0.301156	5.825994000000001	6.0	79.844589	2.427018	3.0	93.383735	10.856141000000001	6.0	25.044983	16.500369	1.0	15.816656	14.356045000000002	3.0	4.136406	2.868732	4.0	25.825305	23.341144	2.0	60.392561
190.0	2.0	78.71307	96.984708	85.146388	50.447218	0.125566	0.313313	0.109606	0.286877	22.13886	2.0	31.384356	18.377824	5.0	0.019264	0.930285	1.0	75.928714	5.027591999999999	3.0	80.342608	15.296079999999998	1.0	54.211119	7.281414999999999	5.0	34.561875	0.392648	1.0	92.256293	19.218272	3.0	40.142254	7.4244580000000004	2.0	47.959203
219.0	2.0	45.477133	70.082422	74.923027	22.660631	0.960838	0.8730399999999999	0.367846	0.470211	9.322011	6.0	50.364478999999996	17.001507999999998	2.0	0.012167	1.509842	2.0	16.87973	4.612169000000001	3.0	28.546815999999996	2.384106	5.0	71.531125	1.487963	1.0	3.562064	0.9108370000000001	2.0	21.845315	11.156838	2.0	89.752912	20.640468	1.0	98.73899300000001
248.0	2.0	57.282554000000005	70.917858	27.878621000000003	61.33624399999999	0.401024	0.77117	0.617279	0.8677739999999999	12.850522	5.0	31.707282	21.320854999999998	2.0	0.112221	5.204637	4.0	80.610318	3.56572	3.0	84.901972	13.912662	5.0	96.618271	11.423209	5.0	33.145663	0.266477	1.0	99.873297	2.068134	5.0	9.667803999999999	12.151302000000001	2.0	1.9649889999999999
262.0	2.0	16.838306	59.06959200000001	27.461574	30.251052	0.11435799999999999	0.511705	0.883026	0.528458	4.651848	2.0	66.220003	10.818877	1.0	0.011448	0.29935100000000003	6.0	66.652612	2.063893	1.0	49.292224	23.228599	4.0	14.427631	15.229341	5.0	66.476899	21.403377	1.0	22.706472	15.122978	1.0	1.162886	5.1830050000000005	1.0	20.520948
273.0	2.0	12.037711	89.749703	99.815809	80.191687	0.153408	0.5262439999999999	0.7202189999999999	0.13527	11.253534	3.0	54.514849	16.939698999999997	1.0	0.016881999999999998	1.912459	5.0	74.698747	3.914251	6.0	49.274806	1.891345	2.0	50.536888	15.101896	6.0	33.160744	20.19634	1.0	64.255575	22.939635	5.0	11.747889	0.668732	4.0	69.155722
308.0	2.0	97.43078	98.44544	27.146521999999997	30.587215000000004	0.660072	0.9412280000000001	0.343862	0.156051	19.138802	3.0	44.838024	6.9884889999999995	1.0	0.014450999999999999	3.2649049999999997	1.0	88.872614	5.523048	2.0	6.53142	18.056104	4.0	13.343979999999998	2.966418	2.0	1.6932639999999999	8.555224	3.0	11.856798	20.205916000000002	1.0	42.256218	20.521797	2.0	4.266181
522.0	2.0	75.69300799999999	65.30126	78.503314	47.49301	0.314745	0.5420020000000001	0.110517	0.9624149999999999	7.685635	5.0	65.43794100000001	4.905737	3.0	0.162944	1.671707	4.0	42.309568	4.664814	3.0	90.181315	10.193417	3.0	90.237523	4.2815900000000005	3.0	9.484860000000001	14.041001999999999	1.0	47.761184	6.407127	3.0	59.248253000000005	0.726742	4.0	99.251997
