5	4	6.686023	7.281825	-7.829667	-7.592827	-6.062704	-5.106035	-5.001163	-7.592827	-6.062704	-5.106035	6.552779	2.886041	6.686023	7.281825	3.528220	2.865129
8	4	0.534617	-4.218036	7.269245	7.305541	0.534617	-4.218036	-2.753257	-4.883857	7.588273	3.403974	4.963453	7.305541	7.588273	3.403974	-5.059032	-4.883892
11	4	-6.015483	-3.513027	-7.055880	-7.292620	6.567327	5.278334	-13.248679	-7.292621	-6.015483	-3.513027	5.199504	5.727274	-6.015483	-3.513027	-1.194808	5.477979
12	4	-4.543483	-6.499165	5.139726	5.933248	-4.543483	-6.499165	-6.937878	-3.415022	7.060962	5.586550	-8.917519	-3.415022	7.060962	5.586550	2.651100	5.788887
13	4	5.937051	4.733340	-8.897839	-5.469290	-6.413129	-5.892370	-5.138048	-5.469274	-6.413129	-5.892370	0.213872	-4.697333	-6.413129	-5.892370	6.488115	5.338356
15	4	1.718471	3.765144	-6.698423	-3.049253	6.907632	5.052609	-7.458597	-3.049253	1.718471	3.765144	5.635786	5.263256	6.907632	5.052609	4.869318	5.263256
19	4	8.269168	5.385319	-8.927014	-3.243919	1.048200	-0.068801	-6.168510	-3.243907	1.048200	-0.068801	3.226042	1.783132	8.269168	5.385319	2.782316	7.725293
22	4	8.987359	6.880670	-7.993940	-5.473107	-2.854305	-2.587517	-4.927587	-5.468409	-2.854305	-2.587517	5.274907	6.954786	8.987359	6.880670	2.045293	5.773694
24	4	6.542393	5.983146	4.520618	7.208495	-3.821112	-5.176685	6.293266	7.297439	-3.821112	-5.176685	1.405589	0.003911	6.542393	5.983146	-0.425276	-1.057683
26	4	-2.611482	-3.614793	6.226618	8.250225	6.141037	1.243697	0.522603	-3.784613	6.141037	1.243697	6.195437	8.250220	6.172631	6.452379	-9.763826	-4.107899
28	4	-4.344223	-3.049923	-1.482527	5.513706	-4.344223	-3.049923	5.217759	9.802605	-4.344223	-3.049923	-3.630472	0.491892	6.911252	6.476871	-10.005350	0.491892
29	4	7.247048	8.056015	-6.797117	1.162174	7.247048	8.056015	1.979138	6.490720	-3.965213	-3.088657	6.560377	7.637163	7.247048	8.056015	-9.555388	-4.984570
35	4	5.675248	6.126082	3.487485	5.803606	-0.025967	-4.400015	6.555090	5.818886	-0.025967	-4.400015	0.531755	-3.496963	5.675248	6.126082	-8.322827	-5.840290
43	4	-5.334006	-5.625622	7.157569	6.402654	-5.334006	-5.625622	-3.544107	-3.572066	7.663935	6.587117	-6.803164	-4.509147	-5.334006	-5.625622	1.894879	-0.394247
44	4	-4.329627	-4.051749	-5.877092	-1.502130	-4.329627	-4.051749	6.370243	9.703243	6.676557	6.423650	3.055584	9.642196	6.676557	6.423650	-9.155950	-1.508727
47	4	3.076183	7.503156	-11.343115	-5.123222	-2.189913	-1.946787	-4.839744	-5.123217	5.884380	8.209854	-11.343214	-5.123222	-2.189913	-1.946787	6.522102	5.894126
48	4	-4.796484	-5.832929	4.120803	1.085102	-4.796484	-5.832929	-3.556120	-4.799642	-4.796484	-5.832929	7.976364	6.539402	5.548456	6.611795	-6.511739	-4.799652
54	4	-4.079756	-4.860148	-5.528880	2.579465	7.494860	6.662085	-7.957494	2.433526	7.494860	6.662085	3.609598	7.070944	-4.079756	-4.860148	5.950273	7.489321
56	4	6.064529	-1.354732	7.427668	7.260898	6.064529	-1.354732	5.160158	1.071599	-0.312252	-2.489837	-3.140210	-3.346032	7.696374	4.619384	-7.294489	-4.526294
57	4	2.424677	-2.562215	-3.559256	-3.196836	6.456970	7.574232	-8.329712	-3.196937	2.424677	-2.562215	7.004478	7.376920	6.456970	7.574232	2.159860	6.220283
58	4	-4.349402	-5.088833	6.255553	6.486434	-4.349402	-5.088833	-3.870053	-1.397799	7.129724	3.933373	0.922248	6.372943	7.129724	3.933373	-5.165023	3.905149
59	4	-0.743069	-5.121759	4.451169	-0.949974	-0.743069	-5.121759	-0.588007	-7.135923	8.180299	5.994577	-6.293164	-7.141113	-0.743069	-5.121759	6.439565	3.927486
63	4	-1.410550	0.475549	6.737005	4.740524	-4.016137	-3.552154	6.737372	4.740524	-4.016137	-3.552154	-4.981540	-1.691778	5.935916	6.709180	-8.614469	-1.691778
72	4	5.907169	1.586430	-5.844754	-4.091033	5.907169	1.586430	6.739411	6.312955	7.518726	7.594018	-11.773765	-4.091045	1.582207	1.265204	-5.844536	-4.091033
