uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
132.0	4.0	28.527182	93.562436	64.44160500000001	38.780902000000005	0.961176	0.343061	0.32369699999999996	0.35543	13.359682000000001	6.0	41.431819	53.331436	2.0	0.023816999999999998	12.505719000000001	4.0	20.600434	3.887373	6.0	18.213108	45.885269	4.0	53.335863	10.775507000000001	1.0	0.058008000000000004	18.924417000000002	6.0	43.160270000000004
135.0	4.0	16.997423	85.671483	51.032613	36.718423	0.100798	0.840967	0.617246	0.856017	19.213888	3.0	42.207771	56.073368	2.0	0.010190000000000001	6.9592350000000005	6.0	6.093443	23.592829000000002	2.0	74.51002199999999	25.843731	3.0	75.86026	13.714004999999998	1.0	0.098851	3.017289	4.0	41.064775
260.0	4.0	58.11509100000001	62.938066000000006	41.479202	25.998727	0.27147899999999997	0.532213	0.329648	0.6726340000000001	1.239863	3.0	43.46094	37.363572999999995	3.0	0.012404	11.497608	6.0	77.523062	13.670666	2.0	41.986247999999996	12.440564	6.0	84.05683499999999	11.419832000000001	4.0	0.064448	4.494387000000001	5.0	31.356094
274.0	4.0	23.632769	25.786934	39.245062	51.497003	0.174849	0.353877	0.32393099999999997	0.439828	19.037603	4.0	24.638215	55.89564300000001	2.0	0.036411	17.54376	3.0	74.767511	1.892241	6.0	43.717076	27.076183	3.0	85.32288199999999	15.616732	1.0	0.065821	12.101472	5.0	54.64852
295.0	4.0	51.573978000000004	89.79356800000001	41.377061	38.582053	0.7628520000000001	0.8270850000000001	0.217194	0.507229	16.543284	3.0	45.173168	23.706816	1.0	0.012757	11.214883	2.0	61.248796999999996	11.697092999999999	4.0	7.656255000000001	32.938194	5.0	86.319176	20.254891	1.0	0.015372	14.241097	6.0	72.642925
333.0	4.0	10.272064	34.287537	89.355558	24.756679000000002	0.490692	0.214779	0.235598	0.551349	10.527894	3.0	25.167989000000002	6.010229	6.0	0.017988999999999998	8.340913	2.0	8.109829	1.5879969999999999	6.0	58.968084	33.339234999999995	4.0	46.320262	6.202672	1.0	0.017391	18.151081	5.0	77.558332
386.0	4.0	80.303574	29.093533	71.71205	43.449288	0.386882	0.881345	0.450341	0.463946	8.198571000000001	4.0	57.91027	27.440859000000003	5.0	0.011075	1.9509040000000002	5.0	51.54702	11.145679	4.0	53.336479000000004	32.462319	4.0	81.337226	12.4835	2.0	0.020923	17.704635999999997	4.0	85.284479
481.0	4.0	32.555386999999996	55.709988	40.996055	47.460440999999996	0.38703699999999996	0.43217799999999995	0.149526	0.649265	17.559082	6.0	47.564353999999994	59.273903000000004	2.0	0.031838	12.160974000000001	1.0	36.027799	13.105634	5.0	82.274284	73.64214399999999	5.0	46.19124	24.346584	1.0	0.014775	7.9966479999999995	6.0	48.720514
487.0	4.0	44.09749	33.133595	62.460685999999995	34.913321999999994	0.443011	0.712647	0.10858699999999999	0.329472	2.2097830000000003	2.0	35.609777	65.468028	3.0	0.012167	3.306002	1.0	27.411714	15.738102	2.0	36.41584	55.097131999999995	6.0	77.96449399999999	23.644847	2.0	0.023525	17.938267	5.0	74.823189
667.0	4.0	61.967043000000004	77.68966999999999	48.489076000000004	36.518692	0.841916	0.889668	0.738096	0.765259	14.476581	6.0	7.405447000000001	20.677108999999998	3.0	0.018158	0.850616	4.0	43.597233	24.192241	2.0	79.140794	10.654328	3.0	86.144926	21.692892999999998	1.0	0.021879	8.493185	5.0	88.749597
672.0	4.0	39.076963	18.331508	51.355996999999995	25.881072	0.564517	0.576813	0.416754	0.251847	8.748607000000002	3.0	98.28542900000001	40.833012	2.0	0.012709999999999999	6.234266000000001	4.0	73.17814	3.6495620000000004	6.0	85.15454100000001	30.066775	5.0	83.645634	18.112938	1.0	0.015795	18.761939	6.0	85.494624
878.0	4.0	92.21238100000001	81.255619	55.36193299999999	47.803576	0.195405	0.7341300000000001	0.563484	0.280516	23.025493	2.0	60.359238	24.208358	3.0	0.03375	1.398916	3.0	87.208533	22.696109	5.0	33.792486	37.976388	3.0	78.111521	13.458174	3.0	0.393426	3.596592	5.0	68.681386
883.0	4.0	63.144615	78.582983	22.264292	47.592911	0.324685	0.430464	0.874326	0.206909	19.600020999999998	1.0	28.812534000000003	9.1305	5.0	0.047306	17.643221	4.0	29.847516	2.079931	4.0	96.289135	8.702955000000001	5.0	65.785857	22.440697	5.0	0.288614	12.455897	6.0	51.091877000000004
975.0	4.0	76.26631400000001	83.285395	63.08724300000001	96.700383	0.971131	0.649049	0.47638	0.341064	15.532271	2.0	16.917053	74.70831	1.0	0.038486	6.814839	1.0	31.756116	18.212772	6.0	40.452602	62.977999	4.0	31.033167	1.648249	3.0	0.118527	8.979695	6.0	78.555187
995.0	4.0	5.252783	80.12038000000001	29.144196	46.08125	0.278906	0.192679	0.47290699999999997	0.785219	5.492505	6.0	88.228101	20.348091	5.0	0.024604	10.009021	4.0	38.135331	0.8637020000000001	4.0	79.53629699999999	16.482474	3.0	66.296725	19.456278	3.0	0.025495	14.571935	6.0	77.903662
1090.0	4.0	78.336138	19.356505	71.08188	84.39218100000001	0.178037	0.138104	0.702879	0.221088	10.104091	5.0	20.736503	27.182709000000003	1.0	0.01544	3.7844330000000004	3.0	81.282083	21.277704	6.0	62.532146	44.636581	5.0	36.711803	14.399763	3.0	0.281404	9.326861	5.0	82.532567
1121.0	4.0	12.395321000000001	82.906094	58.915195	30.294970000000003	0.786591	0.744258	0.8405799999999999	0.8268129999999999	7.8366679999999995	4.0	23.678043	72.09185500000001	1.0	0.113728	9.670063	4.0	99.368477	1.9709240000000001	3.0	7.524521000000001	21.355625	3.0	41.713151	19.945065	1.0	0.292775	10.728244	5.0	59.48285500000001
