HH	HH	HH	0.02245	51	2272
HH	HH	HL	0.08935	203	2272
HH	HH	LH	0.04313	98	2272
HH	HH	LL	0.10607	241	2272
HH	HL	HL	0.01276	29	2272
HH	HL	LH	0.06734	153	2272
HH	HL	LL	0.39833	905	2272
HH	LH	LH	0.02333	53	2272
HH	LH	LL	0.07394	168	2272
HH	LL	LL	0.00968	22	2272
HL	HL	HL	0.00044	1	2272
HL	HL	LH	0.00132	3	2272
HL	HL	LL	0.00352	8	2272
HL	LH	LH	0.00088	2	2272
HL	LH	LL	0.08011	182	2272
HL	LL	LL	0.03081	70	2272
LH	LH	LH	0.00132	3	2272
LH	LH	LL	0.01585	36	2272
LH	LL	LL	0.01849	42	2272
LL	LL	LL	0.00088	2	2272
