HH	HH	HH	0.10239	137	1338
HH	HH	HL	0.06876	92	1338
HH	HH	LH	0.07698	103	1338
HH	HH	LL	0.07549	101	1338
HH	HL	HL	0.03438	46	1338
HH	HL	LH	0.03139	42	1338
HH	HL	LL	0.07698	103	1338
HH	LH	LH	0.0583	78	1338
HH	LH	LL	0.15172	203	1338
HH	LL	LL	0.02541	34	1338
HL	HL	HL	0.00374	5	1338
HL	HL	LH	0.02541	34	1338
HL	HL	LL	0.0441	59	1338
HL	LH	LH	0.00299	4	1338
HL	LH	LL	0.07474	100	1338
HL	LL	LL	0.03438	46	1338
LH	LH	LH	0.01644	22	1338
LH	LH	LL	0.0583	78	1338
LH	LL	LL	0.02392	32	1338
LL	LL	LL	0.0142	19	1338
