index_no	uid	no_of_states	HH	HL	LH	LL	
1	86	3	0.042	0.245	0.713	0	
2	91	3	0.256	0.507	0.237	0	
3	206	3	0.202	0.595	0.203	0	
4	237	3	0.086	0.117	0.797	0	
5	269	3	0	0.796	0.204	0	
6	275	3	0.288	0.231	0.481	0	
7	342	3	0	0.128	0.872	0	
8	391	3	0.564	0.145	0.291	0	
9	393	3	0.367	0.332	0.301	0	
10	446	3	0.34	0.31	0.35	0	
11	480	3	0.187	0.614	0.199	0	
12	512	3	0.106	0.744	0.15	0	
13	518	3	0.325	0.223	0.452	0	
14	524	3	0.395	0.274	0.331	0	
15	545	3	0.363	0.22	0.417	0	
16	546	3	0	0.645	0.355	0	
17	604	3	0.377	0.398	0.225	0	
18	625	3	0.208	0.22	0.572	0	
19	630	3	0.122	0.19	0.688	0	
20	712	3	0.46	0.258	0.282	0	
21	723	3	0	0.51	0.49	0	
22	765	3	0.289	0.141	0.57	0	
23	883	3	0.256	0.42	0.324	0	
24	944	3	0	0.184	0.816	0	
25	947	3	0.154	0.153	0.693	0	
26	958	3	0	0.262	0.643	0.095	
27	969	3	0.186	0.262	0.552	0	
28	977	3	0.176	0.649	0.175	0	
29	1004	3	0.362	0.349	0.289	0	
30	1011	3	0.538	0.276	0.186	0	
31	1014	3	0	0.752	0.248	0	
32	1024	3	0.399	0.126	0.475	0	
33	1047	3	0.305	0.126	0.569	0	
34	1071	3	0.468	0.252	0.28	0	
35	1082	3	0.359	0.38	0.261	0	
36	1088	3	0.077	0.835	0.088	0	
37	1104	3	0.479	0.142	0.379	0	
38	1209	3	0.367	0.195	0.438	0	
39	1220	3	0	0.316	0.684	0	
40	1275	3	0.284	0.104	0.612	0	
41	1307	3	0.259	0.148	0.593	0	
42	1310	3	0.392	0.385	0.223	0	
43	1351	3	0.382	0.351	0.267	0	
44	1368	3	0.286	0.407	0.307	0	
45	1425	3	0.112	0.815	0.073	0	
46	1455	3	0	0.27	0.73	0	
47	1475	3	0	0.359	0.641	0	
48	1486	3	0.21	0.199	0.591	0	
49	1507	3	0.171	0.095	0.734	0	
50	1591	3	0.343	0.437	0.22	0	
51	1605	3	0.324	0.125	0.551	0	
52	1674	3	0.242	0.153	0.605	0	
53	1701	3	0.411	0.344	0.245	0	
54	1716	3	0.194	0.158	0.648	0	
55	1741	3	0.164	0.729	0.107	0	
56	1753	3	0.054	0.216	0.73	0	
57	1769	3	0.451	0.378	0.171	0	
58	1791	3	0.325	0.526	0.149	0	
59	1814	3	0.164	0.197	0.639	0	
60	1943	3	0.162	0.694	0.144	0	
61	1952	3	0.196	0.368	0.436	0	
62	1976	3	0.462	0.245	0.293	0	
63	2035	3	0.294	0.37	0.336	0	
64	2043	3	0.359	0.488	0.153	0	
65	2114	3	0.447	0.225	0.328	0	
66	2117	3	0.33	0.093	0.577	0	
67	2142	3	0.266	0.235	0.499	0	
68	2158	3	0.005	0.305	0.69	0	
