index_no	uid	no_of_states	HH	HL	LH	LL	
1	34	2	0	0.569	0	0.431	
2	39	2	0	0.359	0	0.641	
3	84	2	0	0.585	0	0.415	
4	105	2	0	0.555	0	0.445	
5	108	2	0	0.168	0	0.832	
6	119	2	0	0.559	0	0.441	
7	127	2	0	0.552	0	0.448	
8	165	2	0	0.466	0	0.534	
9	176	2	0	0.291	0	0.709	
10	196	2	0	0.313	0	0.687	
11	205	2	0	0.415	0	0.585	
12	211	2	0	0.341	0	0.659	
13	225	2	0	0.41	0	0.59	
14	229	2	0	0.366	0	0.634	
15	284	2	0	0.441	0	0.559	
16	289	2	0	0.175	0	0.825	
17	291	2	0	0.724	0.095	0.181	
18	293	2	0	0.623	0	0.377	
19	329	2	0	0.375	0	0.625	
20	366	2	0	0.335	0	0.665	
21	372	2	0	0.694	0	0.306	
22	397	2	0	0.611	0	0.389	
23	417	2	0	0.552	0	0.448	
24	438	2	0	0.545	0	0.455	
25	448	2	0	0.642	0.078	0.28	
26	457	2	0	0.322	0	0.678	
27	475	2	0	0.744	0	0.256	
28	506	2	0	0.337	0	0.663	
29	556	2	0	0.662	0	0.338	
30	564	2	0	0.311	0	0.689	
31	588	2	0	0.563	0	0.437	
32	597	2	0	0.441	0	0.559	
33	598	2	0	0.612	0	0.388	
34	637	2	0	0.568	0	0.432	
35	643	2	0	0.447	0	0.553	
36	645	2	0	0.432	0	0.568	
37	648	2	0	0.315	0	0.685	
38	660	2	0	0.563	0	0.437	
39	704	2	0	0.681	0	0.319	
40	727	2	0	0.664	0	0.336	
41	743	2	0	0.424	0	0.576	
42	761	2	0	0.117	0	0.883	
43	794	2	0	0.115	0	0.885	
44	830	2	0	0.412	0	0.588	
45	832	2	0	0.566	0.16	0.274	
46	851	2	0	0.605	0	0.395	
47	855	2	0	0.787	0	0.213	
48	858	2	0	0.308	0	0.692	
49	864	2	0	0.322	0	0.678	
50	872	2	0	1	0	0	
51	898	2	0	1	0	0	
52	899	2	0	0.435	0	0.565	
53	905	2	0	1	0	0	
54	922	2	0	0.428	0	0.572	
55	939	2	0	0.37	0	0.63	
56	943	2	0	0.406	0.216	0.378	
57	972	2	0	0.741	0	0.259	
58	1000	2	0	0.664	0	0.336	
59	1010	2	0	0.634	0	0.366	
60	1025	2	0	0.623	0	0.377	
61	1033	2	0	0.706	0	0.294	
62	1063	2	0	0.427	0	0.573	
63	1079	2	0	0.575	0	0.425	
64	1113	2	0	0.621	0	0.379	
65	1115	2	0	0.594	0	0.406	
66	1125	2	0	0.479	0	0.521	
