index_no	uid	no_of_states	HH	HL	LH	LL	
1	4	2	0	0.785	0.215	0	
2	6	2	0	0.832	0.168	0	
3	17	2	0	0.707	0.293	0	
4	24	2	0	0.209	0.791	0	
5	27	2	0	0.845	0.155	0	
6	37	2	0	0.553	0.447	0	
7	56	2	0	0.481	0.519	0	
8	59	2	0	0.537	0.463	0	
9	73	2	0	0.426	0.574	0	
10	77	2	0	0.218	0.782	0	
11	117	2	0	0.79	0.21	0	
12	143	2	0	0.729	0.271	0	
13	160	2	0	0.74	0.26	0	
14	161	2	0	0.147	0.853	0	
15	164	2	0	0.631	0.369	0	
16	182	2	0	0.631	0.369	0	
17	187	2	0	0.854	0.146	0	
18	190	2	0	0.124	0.876	0	
19	201	2	0	0.865	0.135	0	
20	210	2	0	0.575	0.425	0	
21	214	2	0	0.228	0.772	0	
22	250	2	0	0.219	0.781	0	
23	257	2	0	0.841	0.159	0	
24	259	2	0	0.597	0.403	0	
25	281	2	0	0.363	0.637	0	
26	295	2	0	0.74	0.26	0	
27	297	2	0	0.351	0.649	0	
28	319	2	0	0.931	0.069	0	
29	340	2	0	0.685	0.315	0	
30	344	2	0	0.768	0.232	0	
31	371	2	0	0.663	0.337	0	
32	375	2	0	0.744	0.256	0	
33	380	2	0	0.295	0.705	0	
34	386	2	0	0.754	0.246	0	
35	388	2	0	0.852	0.148	0	
36	406	2	0	0.447	0.553	0	
37	424	2	0	0.671	0.329	0	
38	425	2	0	0.86	0.14	0	
39	427	2	0	0.943	0.057	0	
40	443	2	0	0.766	0.234	0	
41	447	2	0	0.706	0.294	0	
42	464	2	0	0.885	0.115	0	
43	465	2	0	0.17	0.83	0	
44	468	2	0	0.3	0.7	0	
45	481	2	0	0.2	0.8	0	
46	482	2	0	0.374	0.626	0	
47	483	2	0	0.305	0.695	0	
48	484	2	0	0.131	0.869	0	
49	501	2	0	0.252	0.748	0	
50	502	2	0	0.221	0.779	0	
51	513	2	0	0.55	0.45	0	
52	515	2	0	0.894	0.106	0	
53	517	2	0	0.18	0.82	0	
54	526	2	0	0.487	0.513	0	
55	535	2	0	0.075	0.925	0	
56	547	2	0	0.435	0.565	0	
57	558	2	0	0.555	0.445	0	
58	561	2	0	0.816	0.184	0	
59	576	2	0	0.638	0.362	0	
60	600	2	0	0.196	0.804	0	
61	602	2	0.116	0	0.884	0	
62	608	2	0	0.286	0.714	0	
63	613	2	0	0.546	0.454	0	
64	631	2	0	0.217	0.783	0	
65	649	2	0	0.381	0.619	0	
66	658	2	0	0.147	0.853	0	
67	662	2	0	0.377	0.623	0	
68	666	2	0.664	0.336	0	0	
69	671	2	0	0.297	0.703	0	
70	681	2	0	0.817	0.183	0	
71	687	2	0	0.255	0.745	0	
72	695	2	0	0.379	0.621	0	
73	698	2	0	0.161	0.839	0	
74	699	2	0	0.073	0.927	0	
75	706	2	0	0.265	0.735	0	
76	710	2	0	0.308	0.692	0	
77	730	2	0	0.747	0.253	0	
78	731	2	0	0.798	0.202	0	
79	739	2	0	0.873	0.127	0	
80	741	2	0	0.676	0.324	0	
81	754	2	0	0.31	0.69	0	
82	756	2	0	0.188	0.812	0	
83	763	2	0	0.354	0.646	0	
84	767	2	0	0.818	0.182	0	
85	769	2	0	0.799	0.201	0	
86	781	2	0	0.062	0.938	0	
87	796	2	0	0.802	0.198	0	
88	815	2	0	0.569	0.431	0	
89	818	2	0	0.879	0.121	0	
90	822	2	0	0.689	0.311	0	
91	826	2	0	0.582	0.418	0	
92	843	2	0	0.215	0.785	0	
93	845	2	0	0.182	0.818	0	
94	856	2	0	0.874	0.126	0	
95	857	2	0	0.142	0.858	0	
96	865	2	0	0.758	0.242	0	
97	874	2	0	0.1	0.9	0	
98	875	2	0	0.393	0.607	0	
99	877	2	0	0.153	0.847	0	
100	887	2	0	0.818	0.182	0	
101	907	2	0	0.869	0.131	0	
102	914	2	0	0.351	0.649	0	
103	920	2	0	0.7	0.3	0	
104	929	2	0	0.077	0.923	0	
105	965	2	0	0.883	0.117	0	
106	975	2	0	0.211	0.789	0	
107	979	2	0	0.117	0.883	0	
108	988	2	0	0.156	0.844	0	
109	992	2	0	0.174	0.826	0	
110	995	2	0	0.229	0.771	0	
111	997	2	0	0.213	0.787	0	
112	1006	2	0	0.171	0.829	0	
113	1018	2	0	0.895	0.105	0	
114	1041	2	0	0.584	0.416	0	
115	1043	2	0	0.358	0.642	0	
116	1044	2	0	0.796	0.204	0	
117	1051	2	0	0.131	0.869	0	
118	1055	2	0	0.628	0.372	0	
119	1057	2	0	0.793	0.207	0	
120	1093	2	0	0.206	0.794	0	
121	1109	2	0	0.575	0.425	0	
122	1114	2	0	0.818	0.182	0	
123	1117	2	0	0.223	0.777	0	
124	1124	2	0	0.665	0.335	0	
125	1128	2	0	0.675	0.325	0	
126	1134	2	0	0.129	0.871	0	
127	1141	2	0	0.462	0.538	0	
128	1144	2	0	0.427	0.573	0	
129	1159	2	0	0.185	0.815	0	
130	1163	2	0	0.769	0.231	0	
131	1173	2	0	0.433	0.567	0	
132	1200	2	0	0.649	0.351	0	
133	1208	2	0	0.074	0.926	0	
134	1210	2	0	0.657	0.343	0	
135	1223	2	0	0.749	0.251	0	
136	1224	2	0	0.837	0.163	0	
137	1228	2	0	0.601	0.399	0	
138	1234	2	0	0.282	0.718	0	
139	1240	2	0	0.152	0.848	0	
140	1251	2	0	0.172	0.828	0	
141	1255	2	0	0.746	0.254	0	
142	1257	2	0	0.671	0.329	0	
143	1264	2	0	0.45	0.55	0	
144	1272	2	0	0.738	0.262	0	
145	1284	2	0	0.192	0.808	0	
146	1295	2	0	0.27	0.73	0	
147	1300	2	0	0.722	0.278	0	
148	1312	2	0	0.797	0.203	0	
149	1314	2	0	0.928	0.072	0	
150	1319	2	0	0.421	0.579	0	
151	1320	2	0	0.104	0.896	0	
152	1338	2	0	0.154	0.846	0	
153	1349	2	0	0.495	0.505	0	
154	1355	2	0	0.797	0.203	0	
155	1362	2	0	0.708	0.292	0	
156	1367	2	0	0.611	0.389	0	
157	1371	2	0	0.109	0.891	0	
158	1385	2	0	0.605	0.395	0	
159	1398	2	0	0.424	0.576	0	
160	1399	2	0	0.873	0.127	0	
161	1405	2	0	0.67	0.33	0	
162	1411	2	0	0.89	0.11	0	
163	1421	2	0	0.561	0.439	0	
164	1429	2	0	0.741	0.259	0	
165	1434	2	0	0.593	0.407	0	
166	1438	2	0	0.769	0.231	0	
167	1444	2	0	0.124	0.876	0	
168	1446	2	0	0.206	0.794	0	
169	1484	2	0.597	0.403	0	0	
170	1489	2	0	0.867	0.133	0	
171	1498	2	0	0.138	0.862	0	
172	1514	2	0	0	0.531	0.469	
173	1519	2	0	0.449	0.551	0	
174	1535	2	0	0.271	0.729	0	
175	1539	2	0	0.245	0.755	0	
176	1548	2	0	0.439	0.561	0	
177	1553	2	0	0.354	0.646	0	
178	1555	2	0	0.67	0.33	0	
179	1557	2	0	0.808	0.192	0	
180	1569	2	0	0.135	0.865	0	
181	1583	2	0	0.117	0.883	0	
182	1587	2	0	0.69	0.31	0	
183	1602	2	0	0.098	0.902	0	
184	1604	2	0	0.171	0.829	0	
185	1639	2	0	0.812	0.188	0	
186	1642	2	0	0.391	0.609	0	
187	1648	2	0	0.114	0.886	0	
188	1654	2	0	0.121	0.879	0	
189	1657	2	0	0.795	0.205	0	
190	1663	2	0	0.419	0.581	0	
191	1672	2	0	0.166	0.834	0	
192	1673	2	0	0.301	0.699	0	
193	1681	2	0	0.586	0.414	0	
194	1683	2	0	0.872	0.128	0	
195	1688	2	0	0.793	0.207	0	
196	1696	2	0	0.596	0.404	0	
197	1708	2	0	0.62	0.38	0	
198	1711	2	0	0.412	0.588	0	
199	1713	2	0	0.919	0.081	0	
200	1719	2	0	0.665	0.335	0	
201	1722	2	0	0.734	0.266	0	
202	1749	2	0	0.703	0.297	0	
203	1754	2	0	0.119	0.881	0	
204	1764	2	0	0.234	0.766	0	
205	1777	2	0	0.218	0.782	0	
206	1785	2	0	0.312	0.688	0	
207	1790	2	0	0.404	0.596	0	
208	1807	2	0	0.761	0.239	0	
209	1817	2	0	0.454	0.546	0	
210	1825	2	0	0.929	0.071	0	
211	1826	2	0	0.354	0.646	0	
212	1827	2	0	0.799	0.201	0	
213	1831	2	0	0.331	0.669	0	
214	1860	2	0	0.238	0.762	0	
215	1861	2	0	0.149	0.851	0	
216	1862	2	0	0.147	0.853	0	
217	1873	2	0	0.887	0.113	0	
218	1885	2	0	0.137	0.863	0	
219	1887	2	0	0.279	0.721	0	
220	1891	2	0	0.062	0.938	0	
221	1898	2	0	0.23	0.77	0	
222	1926	2	0	0.729	0.271	0	
223	1938	2	0.586	0.414	0	0	
224	1966	2	0	0.394	0.606	0	
225	1968	2	0.182	0	0.818	0	
226	1972	2	0	0.163	0.837	0	
227	1978	2	0	0.815	0.185	0	
228	1990	2	0	0.163	0.837	0	
229	1993	2	0	0.423	0.577	0	
230	1994	2	0	0.791	0.209	0	
231	1995	2	0	0.162	0.838	0	
232	2013	2	0	0.659	0.341	0	
233	2015	2	0	0.717	0.283	0	
234	2038	2	0	0.839	0.161	0	
235	2056	2	0	0.781	0.219	0	
