index_no	uid	no_of_states	HH	HL	LH	LL	
1	1	3	0	0.264	0.505	0.231	
2	7	3	0	0.41	0.479	0.111	
3	8	3	0	0.748	0.252	0	
4	11	3	0	0.243	0.675	0.082	
5	16	3	0	0.471	0.332	0.197	
6	22	3	0	0.517	0.395	0.088	
7	25	3	0.088	0.236	0.446	0.23	
8	29	3	0	0.295	0.351	0.354	
9	32	3	0	0.215	0.608	0.177	
10	33	3	0	0.572	0.248	0.18	
11	35	3	0	0.083	0.587	0.33	
12	36	3	0	0.54	0.355	0.105	
13	41	3	0	0.417	0.382	0.201	
14	44	3	0	0.761	0.239	0	
15	47	3	0	0.54	0.379	0.081	
16	48	3	0	0.233	0.674	0.093	
17	51	3	0	0.375	0.168	0.457	
18	52	3	0	0.32	0.166	0.514	
19	54	3	0	0.647	0.195	0.158	
20	60	3	0	0.598	0.222	0.18	
21	61	3	0	0.536	0.282	0.182	
22	62	3	0	0.293	0.437	0.27	
23	63	3	0	0.13	0.332	0.538	
24	66	3	0	0.611	0.191	0.198	
25	71	3	0	0.449	0.349	0.202	
26	72	3	0	0.546	0.262	0.192	
27	75	3	0	0.824	0.176	0	
28	89	3	0	0.595	0.236	0.169	
29	94	3	0	0.605	0.174	0.221	
30	97	3	0	0.173	0.617	0.21	
31	100	3	0	0.197	0.412	0.391	
32	101	3	0	0.6	0.21	0.19	
33	102	3	0	0.309	0.464	0.227	
34	104	3	0	0.296	0.311	0.393	
35	123	3	0	0.429	0.343	0.228	
36	126	3	0	0.23	0.519	0.251	
37	129	3	0	0.159	0.189	0.652	
38	135	3	0	0.601	0.224	0.175	
39	138	3	0	0.626	0.279	0.095	
40	139	3	0	0.298	0.166	0.536	
41	142	3	0	0.354	0.514	0.132	
42	145	3	0	0.201	0.546	0.253	
43	148	3	0	0.088	0.655	0.257	
44	149	3	0.254	0.746	0	0	
45	154	3	0	0.295	0.443	0.262	
46	155	3	0	0.519	0.296	0.185	
47	156	3	0	0.135	0.718	0.147	
48	158	3	0	0.152	0.627	0.221	
49	166	3	0	0.223	0.698	0.079	
50	167	3	0	0.364	0.497	0.139	
51	169	3	0	0.569	0.197	0.234	
52	183	3	0	0.316	0.35	0.334	
53	194	3	0	0.619	0.282	0.099	
54	199	3	0	0.303	0.338	0.359	
55	209	3	0	0.637	0.178	0.185	
56	213	3	0	0.426	0.422	0.152	
57	215	3	0	0.446	0.554	0	
58	218	3	0	0.508	0.402	0.09	
59	220	3	0	0.671	0.186	0.143	
60	224	3	0	0.293	0.154	0.553	
61	226	3	0	0.357	0.508	0.135	
62	228	3	0	0.211	0.621	0.168	
63	231	3	0	0.244	0.669	0.087	
64	233	3	0	0.353	0.332	0.315	
65	235	3	0	0.134	0.724	0.142	
66	238	3	0	0.196	0.619	0.185	
67	248	3	0	0.217	0.444	0.339	
68	249	3	0	0.465	0.535	0	
69	251	3	0	0.814	0.186	0	
70	262	3	0	0.27	0.569	0.161	
71	264	3	0	0.095	0.509	0.396	
72	266	3	0	0.183	0.751	0.066	
73	270	3	0	0.12	0.572	0.308	
74	272	3	0	0.664	0.336	0	
75	276	3	0	0.16	0.657	0.183	
76	278	3	0	0.539	0.114	0.347	
77	282	3	0	0.593	0.177	0.23	
78	286	3	0	0.588	0.294	0.118	
79	288	3	0	0.26	0.651	0.089	
80	290	3	0	0.506	0.325	0.169	
81	294	3	0	0.271	0.453	0.276	
82	298	3	0	0.201	0.571	0.228	
83	300	3	0	0.225	0.683	0.092	
84	301	3	0	0.511	0.316	0.173	
85	303	3	0	0.406	0.492	0.102	
86	307	3	0	0.393	0.222	0.385	
87	308	3	0	0.397	0.436	0.167	
88	315	3	0	0.23	0.648	0.122	
89	320	3	0	0.379	0.538	0.083	
90	322	3	0	0.191	0.655	0.154	
91	327	3	0	0.318	0.332	0.35	
92	328	3	0	0.156	0.518	0.326	
93	335	3	0	0.41	0.507	0.083	
94	337	3	0	0.166	0.589	0.245	
95	338	3	0	0.405	0.481	0.114	
96	341	3	0	0.554	0.213	0.233	
97	345	3	0	0.436	0.455	0.109	
98	349	3	0	0.642	0.213	0.145	
99	357	3	0	0.642	0.169	0.189	
100	359	3	0	0.601	0.235	0.164	
101	361	3	0	0.293	0.707	0	
102	362	3	0	0.262	0.412	0.326	
103	365	3	0	0.414	0.379	0.207	
104	367	3	0	0.179	0.248	0.573	
105	368	3	0	0.208	0.572	0.22	
106	373	3	0	0.524	0.321	0.155	
