uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
22.0	3.0	37.787804	78.481623	24.204534	44.151594	0.350069	0.560844	0.5084529999999999	0.7981050000000001	76.226464	4.0	20.857785	42.166998	4.0	0.010039	11.772782000000001	6.0	23.390147	39.70556	6.0	32.65085	23.046008	4.0	0.019785	2.217668	5.0	98.296684
58.0	3.0	6.687983999999999	53.08884200000001	34.238944000000004	49.616688	0.936573	0.101485	0.41232299999999994	0.8804	43.494474	3.0	44.844704	33.997223	3.0	0.341667	7.879548	4.0	28.501624	17.014363	5.0	74.686947	31.196248999999998	3.0	0.047041	2.226193	6.0	45.060134000000005
106.0	3.0	35.620463	35.19983	4.6280790000000005	75.021918	0.9778889999999999	0.7920189999999999	0.31099099999999996	0.7701479999999999	28.671570000000003	2.0	59.998828	6.37359	6.0	0.014071	8.182727	2.0	93.018487	33.81674	5.0	15.151777	38.540645	4.0	0.039454	2.829011	6.0	23.830454
137.0	3.0	97.683672	86.205321	32.698997	63.445678	0.45296099999999995	0.8831829999999999	0.525949	0.350777	73.000095	4.0	99.303952	48.339077	2.0	0.033217	14.487339000000002	5.0	87.035216	33.487878	2.0	83.238485	15.10651	1.0	0.013322	6.250856	6.0	76.076438
152.0	3.0	77.564243	85.379302	72.08890600000001	32.325661	0.992793	0.8757030000000001	0.5777399999999999	0.9867239999999999	53.167937	5.0	47.174918	6.550544	3.0	0.043429	10.821645	6.0	43.347198999999996	23.428937	4.0	36.205756	66.082667	2.0	0.01542	17.058042999999998	5.0	59.657059
157.0	3.0	46.104927	32.378999	36.778889	27.693493	0.763378	0.974447	0.306821	0.679129	19.038611	2.0	99.860685	12.773211	1.0	0.055121	10.827286	6.0	76.76753199999999	35.183475	3.0	76.900173	47.536736	1.0	0.1084	7.202863000000001	4.0	8.606302000000001
209.0	3.0	90.199628	40.664787	11.507750999999999	47.851757	0.974187	0.344052	0.47279099999999996	0.584283	44.966784999999994	5.0	89.05369499999999	24.993232	4.0	0.011420999999999999	10.318100999999999	4.0	27.362897999999998	25.486985	5.0	38.639108	26.009217	4.0	0.017915	8.759963	3.0	84.15572399999999
225.0	3.0	88.26615	46.567681	68.23625600000001	71.912203	0.774278	0.841505	0.6536569999999999	0.8839610000000001	38.242286	4.0	58.930924	39.079003	5.0	0.038294999999999996	7.967606	6.0	35.307721	33.918468	2.0	58.827943999999995	77.163264	6.0	0.014667	12.38508	5.0	22.285394
241.0	3.0	37.350369	81.22574399999999	81.46641	5.21645	0.9076540000000001	0.359858	0.228798	0.592956	34.133124	4.0	9.912335	8.343817	2.0	0.012921	9.257421	5.0	66.035862	10.273308	4.0	89.24153299999999	48.257484999999996	2.0	0.059571000000000006	8.490373	3.0	28.959221999999997
268.0	3.0	23.039982000000002	73.921961	8.714319	94.40580899999999	0.864783	0.5704130000000001	0.626959	0.183309	76.13105300000001	4.0	57.418676	13.354272	5.0	0.016766	2.507995	2.0	43.670633	65.245265	4.0	59.732028	73.571298	2.0	0.011622	5.852208999999999	5.0	86.222977
300.0	3.0	13.562173000000001	50.535546000000004	99.374119	18.335587	0.855599	0.659929	0.596428	0.466528	31.998276	4.0	70.795007	34.634471000000005	2.0	0.028129	7.884183	1.0	22.764443	40.698311	4.0	65.106297	30.07378	2.0	0.022344	8.069242	4.0	34.094381
311.0	3.0	38.523379	38.889635	96.57361800000001	30.27305	0.975425	0.30073099999999997	0.9746520000000001	0.37895500000000004	66.650922	5.0	54.478598999999996	46.658665	2.0	0.018375	16.175632999999998	3.0	66.946027	32.867065000000004	3.0	40.454004	15.916787	4.0	0.010905	10.708001	3.0	57.134862
351.0	3.0	47.593786	37.200492	69.37482800000001	35.297661	0.68928	0.6370359999999999	0.9093200000000001	0.548508	21.225959	5.0	82.331806	44.982046000000004	3.0	0.013472	16.554529000000002	6.0	92.522094	48.177585	4.0	20.835676	73.693912	3.0	0.383821	10.215858	6.0	26.745538
352.0	3.0	18.871263	10.470423	66.083247	95.20315500000001	0.416311	0.31904	0.362306	0.338793	44.394057000000004	1.0	67.371589	11.231969	1.0	0.022036	6.5551070000000005	6.0	11.289133999999999	33.110828999999995	3.0	55.817733999999994	69.37106700000001	2.0	0.06425399999999999	17.969649	6.0	39.432334999999995
360.0	3.0	7.791085000000001	44.435553000000006	21.440385	46.999396999999995	0.933459	0.19614700000000002	0.31846599999999997	0.7211850000000001	39.177531	3.0	33.535056	10.79538	1.0	0.019434	1.8893380000000002	6.0	66.153053	66.716103	6.0	15.246839999999999	35.588915	2.0	0.159707	10.683672	5.0	78.15849200000001
364.0	3.0	5.469094	47.942708	85.29974200000001	19.560517	0.369345	0.218504	0.9881709999999999	0.994389	63.173141	2.0	15.058689999999999	66.658383	5.0	0.079737	10.556844	3.0	31.283082	33.730031	2.0	89.647162	51.630679	3.0	0.011529000000000001	3.9446160000000003	5.0	60.984542000000005
367.0	3.0	31.535313000000002	22.990686	74.93073100000001	20.469518	0.563982	0.5045689999999999	0.6502859999999999	0.365054	20.99243	3.0	51.363983000000005	41.010353	5.0	0.022987	5.466986	4.0	54.735873	57.048376	5.0	81.412148	30.225921000000003	3.0	0.012079000000000001	11.506178	2.0	89.916555
373.0	3.0	91.645534	26.050304999999998	67.209236	57.54172	0.9999399999999999	0.688232	0.9414680000000001	0.348666	40.043126	2.0	59.769152000000005	49.482502000000004	6.0	0.015184999999999999	6.454675	4.0	22.012866	29.511678999999997	5.0	66.16501099999999	78.092897	2.0	0.013392	10.058667	6.0	50.573009000000006
380.0	3.0	35.397036	46.948359	25.049964000000003	96.467288	0.626225	0.816884	0.5037699999999999	0.8890530000000001	7.769692	3.0	26.877437	22.175002	3.0	0.029724	17.883441	5.0	76.832577	44.679466999999995	4.0	80.93203000000001	34.736199	2.0	0.034491	12.090722999999999	5.0	36.365551
381.0	3.0	35.997772	95.102122	26.820784999999997	34.517976000000004	0.718495	0.166127	0.833981	0.52265	77.697781	6.0	93.171214	60.04699599999999	3.0	0.013068000000000001	4.709126	6.0	88.652744	17.186535	5.0	7.150119	13.382546	5.0	0.012919	10.014574	5.0	23.310285
426.0	3.0	18.56496	48.072154	13.344707999999999	84.091359	0.223019	0.169496	0.748971	0.524288	17.469842	3.0	34.327146	66.116351	5.0	0.013538	17.350581	5.0	63.435246	34.437948999999996	3.0	41.802772999999995	30.250885999999998	4.0	0.012121	8.400164	3.0	93.48037
483.0	3.0	50.055222	46.36527	9.209632000000001	43.958049	0.5286390000000001	0.361743	0.321502	0.22140300000000002	76.44253	3.0	53.831336	25.251635999999998	1.0	0.026157	8.903552000000001	6.0	85.52138000000001	61.457751	3.0	36.093193	65.53079100000001	4.0	0.036785000000000005	6.64832	6.0	68.728555
502.0	3.0	49.882646	93.669889	49.316642	75.55675	0.362205	0.574576	0.772025	0.171706	55.020776	5.0	24.442377	25.842966	6.0	0.033995	10.069556	6.0	60.00318000000001	23.579069	4.0	49.866037	19.172067000000002	6.0	0.014984	12.610091	6.0	58.446681999999996
527.0	3.0	63.34595600000001	42.195256	79.162777	53.213537	0.50595	0.656307	0.90328	0.661593	57.044777	3.0	52.965880000000006	10.578947	3.0	0.036871	10.627737	3.0	39.248905	67.695081	4.0	71.04987	3.28284	6.0	0.010064	15.334556	5.0	75.96021999999999
556.0	3.0	41.8971	97.991823	63.285747	31.964346000000003	0.899749	0.982261	0.42355	0.559466	62.255609	5.0	77.97755500000001	55.922652	1.0	0.012169	5.971097	4.0	84.070274	36.087692	3.0	64.960514	39.128496000000005	5.0	0.01143	4.694504	5.0	65.282011
566.0	3.0	91.48294200000001	98.812916	10.021363000000001	65.91575999999999	0.340619	0.475125	0.6872689999999999	0.74354	52.263095	4.0	96.588581	28.031658	5.0	0.021766999999999998	16.63363	5.0	53.266614000000004	56.643280000000004	2.0	95.817291	76.024961	3.0	0.240763	3.940576	2.0	39.170324
594.0	3.0	94.886457	69.399999	55.77671899999999	72.74494	0.370197	0.911164	0.435434	0.40604	52.013162	6.0	75.19111099999999	73.017121	6.0	0.088767	9.199950999999999	6.0	38.424959	45.315521000000004	6.0	38.227545	19.739158	5.0	0.010373	13.037355	3.0	14.272184
603.0	3.0	8.549611	77.553399	23.437854	69.601426	0.289669	0.6970310000000001	0.771676	0.428196	47.083068	5.0	13.272632000000002	22.728997	2.0	0.038069	17.425351000000003	4.0	24.27775	52.266861999999996	5.0	45.104279	35.568839000000004	4.0	0.012634999999999999	1.704234	5.0	29.105964
614.0	3.0	48.349396999999996	55.092907999999994	92.78559200000001	29.170503999999998	0.969527	0.95478	0.396896	0.194963	40.226744000000004	6.0	76.63628299999999	56.618384	1.0	0.026529	13.968164000000002	2.0	24.212877	59.148281000000004	6.0	86.160226	1.74563	1.0	0.010728	2.63645	4.0	18.148943
629.0	3.0	99.453806	84.81361899999999	34.560005	43.034948	0.7537729999999999	0.932816	0.49568100000000004	0.666809	57.227725	6.0	43.054853	66.29718299999999	1.0	0.05218	15.879454999999998	4.0	21.337512	43.924037	2.0	13.384064000000002	36.521459	3.0	0.016669	14.16414	4.0	40.44305
641.0	3.0	30.283141999999998	95.989075	10.898033	55.658516000000006	0.49652700000000005	0.6445029999999999	0.778626	0.222363	73.267076	2.0	59.241589000000005	64.27877	3.0	0.039692000000000005	9.094214	4.0	73.02779	68.52314399999999	5.0	24.947715	7.923652000000001	5.0	0.020308	5.443480999999999	3.0	23.82958
