uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
19.0	2.0	67.62597	43.282402000000005	45.798142	11.996450999999999	0.986775	0.232199	0.796363	0.753091	24.143434	5.0	69.172494	19.468177999999998	6.0	62.559891	5.908335	2.0	95.594921	1.115869	1.0	81.21011	21.072717	5.0	42.729609	23.50357	6.0	0.027277999999999997	0.9133110000000001	6.0	72.425168	5.043456	5.0	37.684788	14.917389000000002	1.0	61.025991000000005
21.0	2.0	62.148295999999995	80.22796600000001	77.470558	16.228153	0.5174479999999999	0.658592	0.327239	0.763969	15.143370999999998	6.0	68.597406	1.024741	4.0	59.211951	14.373338	6.0	78.00801	11.499506	6.0	86.617067	4.7877410000000005	5.0	73.85777399999999	14.321369	3.0	0.016174	3.565986	5.0	82.524412	0.43887	2.0	12.183387	22.343444	3.0	95.27099
32.0	2.0	12.570456	94.595563	78.14397199999999	10.265251	0.896389	0.939959	0.946003	0.688652	6.071051000000001	3.0	73.607063	3.3223519999999995	3.0	93.91927	3.602532	2.0	74.636234	18.057282999999998	4.0	79.068795	23.663095000000002	5.0	79.637703	8.207654	6.0	0.018768	3.894625	1.0	58.519498999999996	4.951368	5.0	82.622149	17.64911	4.0	91.794567
41.0	2.0	20.072809	37.454995000000004	65.762649	6.963928	0.406673	0.41885900000000004	0.988408	0.906708	23.930015	3.0	99.595446	7.616891000000001	2.0	50.853141	4.471081	6.0	96.810774	3.777846	5.0	62.432563	9.302717	2.0	64.73781600000001	2.479184	5.0	0.010204000000000001	3.617576	3.0	89.79860500000001	1.683772	5.0	49.618552	19.239592000000002	4.0	37.520227
47.0	2.0	61.66739200000001	87.72437099999999	98.127894	10.215206	0.819801	0.8285399999999999	0.632778	0.981202	10.751708	2.0	54.767953000000006	19.513373	6.0	60.962816000000004	4.46494	2.0	83.235136	15.036907999999999	1.0	59.384857	5.477272	3.0	96.259695	16.737902	6.0	0.050808	2.197315	1.0	20.923938	5.915608	4.0	32.75653	21.602755	2.0	9.863835
57.0	2.0	12.85369	25.109567000000002	24.722483	2.089934	0.297673	0.23789699999999997	0.299159	0.842951	11.23311	6.0	11.57064	12.2126	4.0	40.625818	3.265778	5.0	30.355224	14.010744	5.0	38.559645	21.150114000000002	6.0	16.503851	4.698003	3.0	0.015202	5.615004	5.0	56.559917000000006	4.660315	5.0	14.592369	16.675984	2.0	24.266465
86.0	2.0	1.388334	60.031726	44.608096	4.494665	0.181114	0.170244	0.6249279999999999	0.584873	13.137334	3.0	12.529311	4.08054	6.0	59.377038	18.691916	1.0	23.121760000000002	10.8604	4.0	19.579511	22.840982	5.0	97.755853	13.403929000000002	5.0	0.013912	1.523404	6.0	65.407041	4.466598	5.0	23.243484	2.944035	1.0	65.327548
90.0	2.0	75.39168000000001	49.607718	29.565065999999998	2.188381	0.5286609999999999	0.717942	0.7626029999999999	0.5497350000000001	6.8143139999999995	1.0	63.355263	11.980262	1.0	56.276598	6.715375	4.0	66.410129	5.600943	2.0	63.439765	10.225799	1.0	68.589087	6.254362	1.0	0.020547	3.383425	4.0	75.134407	2.598292	2.0	5.682335	7.689316000000001	4.0	62.045978000000005
95.0	2.0	51.077849	85.202017	10.146108	18.711948	0.963932	0.109024	0.693196	0.957369	16.19687	1.0	91.338748	8.93827	5.0	65.88903499999999	9.929102	4.0	82.873498	10.728288000000001	1.0	73.61970600000001	19.653389	5.0	20.396434	18.684462	1.0	0.029912	0.959909	6.0	8.90345	5.5185830000000005	3.0	36.039957	7.703171	3.0	59.775291
104.0	2.0	91.01659699999999	50.57015	79.519133	2.003731	0.929508	0.333592	0.796795	0.272099	8.766086	4.0	92.048727	10.893158	4.0	60.615736	3.810108	3.0	42.978055	13.691065	4.0	10.586027	2.5526459999999997	3.0	14.016122	0.8818440000000001	4.0	0.083333	5.087443	4.0	18.687956	0.736112	3.0	10.601426	15.567070999999999	2.0	23.839866
125.0	2.0	73.685745	63.824668	93.800318	5.359307	0.522246	0.474711	0.8498889999999999	0.495172	11.438464999999999	6.0	51.3575	16.290937	1.0	33.180882000000004	5.908572	4.0	99.29486800000001	10.527424	3.0	81.605806	0.324154	6.0	54.401965000000004	9.417843	2.0	0.043970999999999996	4.514582	4.0	9.246876	1.626159	4.0	44.413146000000005	16.720669	4.0	82.022759
133.0	2.0	79.840786	32.997873	6.540444	2.560052	0.338358	0.754384	0.992682	0.143447	0.47537700000000005	4.0	60.779644	1.83187	4.0	62.098721999999995	16.315118	2.0	5.4983889999999995	13.774522	5.0	12.101535	1.563479	3.0	49.911563	13.569239000000001	3.0	0.156014	4.2710040000000005	1.0	1.234176	5.328728	4.0	75.03716700000001	25.135273	2.0	95.697788
136.0	2.0	8.433910000000001	86.857668	3.2783290000000003	7.639175999999999	0.16251600000000002	0.37194699999999997	0.8952030000000001	0.577418	19.147904	5.0	30.474141999999997	8.464779	5.0	41.02004	4.99635	5.0	60.525838	7.257494	3.0	88.622625	17.129631	6.0	19.802226	3.3755550000000003	3.0	0.010637	4.91622	2.0	68.7568	5.199939	6.0	22.281644	20.352941	4.0	48.98704
148.0	2.0	69.986652	28.520286	3.633636	44.748301	0.263304	0.836693	0.571391	0.8641780000000001	4.75549	5.0	84.87838599999999	17.99905	4.0	50.743443	2.778352	2.0	21.145582	17.000115	6.0	92.757529	15.764166000000001	2.0	36.592708	19.613001	4.0	0.020154	3.9287410000000005	1.0	61.83133	1.720209	1.0	64.34389399999999	24.809018	1.0	49.783583
174.0	2.0	52.28255	91.061988	93.089611	20.081753	0.585905	0.53795	0.9402510000000001	0.8439620000000001	11.899833000000001	1.0	95.150778	2.573579	5.0	26.991891	16.068072	4.0	29.68187	9.817183	5.0	2.258512	3.5488089999999994	4.0	99.60820600000001	10.736702000000001	6.0	0.010384000000000001	3.04483	1.0	83.87465999999999	2.123	6.0	89.974773	20.45809	4.0	69.39161899999999
177.0	2.0	56.58017099999999	47.051936	22.599510000000002	11.45106	0.132536	0.6145109999999999	0.564975	0.519756	9.499346000000001	4.0	75.79429	18.931210999999998	2.0	29.87785	16.028159	6.0	51.088221000000004	12.695428	1.0	13.320286999999999	13.975508999999999	6.0	64.956108	19.489984	5.0	0.017606999999999998	4.267025	2.0	35.363076	5.139488	2.0	2.859379	20.146494	1.0	54.451443999999995
211.0	2.0	57.234072	28.362334000000004	14.572964	12.679373	0.25281	0.793654	0.291856	0.515096	23.017908	3.0	86.959246	4.350639	2.0	36.302673999999996	8.784609	6.0	57.619551	10.295558	6.0	65.512045	24.788245	5.0	68.201955	4.149479	1.0	0.465546	3.6631839999999998	1.0	78.74418100000001	3.875622	1.0	40.182476	6.3114989999999995	6.0	11.438627
224.0	2.0	94.643688	12.669210000000001	27.787187	15.587385000000001	0.7024859999999999	0.90902	0.829649	0.849208	12.496616	2.0	60.273541	6.309695	2.0	50.25636	3.945204	6.0	68.079654	5.585026999999999	1.0	51.807004	6.129112	5.0	94.67660500000001	9.073155999999999	5.0	0.014472	0.23353800000000002	5.0	62.04834399999999	1.4231209999999999	6.0	21.816775	12.421622	6.0	89.060064
293.0	2.0	70.144593	75.002687	4.722485	33.367408000000005	0.214206	0.72102	0.153685	0.9705719999999999	17.697793	3.0	88.6314	13.674666	2.0	38.232159	3.24059	6.0	60.984276	20.89969	2.0	45.389551000000004	12.117939999999999	3.0	32.873281	5.4243809999999995	1.0	0.010968	4.714107	1.0	65.838599	3.5915760000000003	2.0	26.838210999999998	17.753854	6.0	89.967776
294.0	2.0	84.78353299999999	36.462756	5.6123400000000006	30.237138	0.757379	0.752737	0.531079	0.944448	5.549459	6.0	72.872974	10.089329	3.0	5.330293	9.365925	5.0	48.186962	1.588933	3.0	63.479932	22.258476	4.0	22.167920000000002	15.561031	4.0	0.20081500000000002	3.6666	5.0	15.593847	5.749973000000001	4.0	64.931736	13.316276	4.0	29.367307
301.0	2.0	88.62579699999999	26.364599	95.385662	4.1866330000000005	0.343254	0.63484	0.7024199999999999	0.349583	19.237083	2.0	96.32859300000001	5.552104	3.0	64.83491500000001	17.985057	5.0	19.069372	20.726436	5.0	20.086194	15.330797	3.0	34.102763	12.858443	2.0	0.055879	4.41672	4.0	86.791634	5.4630220000000005	4.0	63.12572900000001	8.052522	2.0	32.966937
307.0	2.0	35.040807	49.17351	33.613682	3.6959410000000004	0.352939	0.24224899999999996	0.602981	0.8120229999999999	24.075665	2.0	18.156477	7.187243	4.0	39.506927000000005	21.505956	5.0	72.646833	20.838735	1.0	9.865563	1.725805	2.0	52.793554	1.131702	3.0	0.020365	4.93699	1.0	97.337335	5.921648	4.0	90.401951	7.495624	6.0	55.798441000000004
316.0	2.0	56.098698999999996	61.345848	37.427042	12.930146	0.662258	0.654686	0.802321	0.993375	6.574607	2.0	32.325989	12.49308	2.0	2.528419	7.942367999999999	5.0	97.425567	5.331213	4.0	46.506842999999996	23.780134	2.0	79.250062	17.969877	4.0	0.016137000000000002	5.372325	1.0	22.886803	4.94416	2.0	73.689304	6.493108	3.0	45.459848
334.0	2.0	62.277211	43.972675	60.944926	10.863828	0.6262939999999999	0.937781	0.62108	0.643362	10.992957	3.0	97.425403	19.975234	5.0	72.566486	20.84018	3.0	74.28975	12.946974	3.0	60.84058	8.471827000000001	2.0	81.565696	12.608571000000001	2.0	0.010849	3.234526	1.0	28.351419	2.877222	2.0	3.493286	11.343174000000001	4.0	32.907874
385.0	2.0	94.50841700000001	27.915384000000003	1.8597860000000002	14.182742999999999	0.723382	0.37845	0.659525	0.197006	14.56435	4.0	74.537834	20.884672	1.0	41.160086	13.105086	5.0	82.539604	23.008439000000003	1.0	27.110837	1.5251299999999999	4.0	81.617467	18.646597	6.0	0.029376999999999997	4.96574	3.0	16.479375	4.951384	6.0	66.792888	25.157737	1.0	10.39162
404.0	2.0	80.31701	77.233903	24.133083	11.664452	0.406593	0.13481600000000002	0.700518	0.533311	5.584516000000001	3.0	52.511669	12.471277	6.0	24.674743	19.057354	2.0	61.164326	6.4025360000000004	2.0	46.793689	24.276067	5.0	56.36454200000001	17.627856	5.0	0.010387	2.560432	4.0	67.55847299999999	2.137166	1.0	82.602535	18.801068	3.0	20.286310999999998
442.0	2.0	51.921352	49.993753999999996	2.123744	33.669883	0.49611099999999997	0.852767	0.304108	0.11098699999999999	17.319649	4.0	10.333594	21.073453	1.0	27.676448999999998	13.605027	3.0	30.025686	15.572051	1.0	34.651613	0.880916	3.0	51.385821	16.546052	3.0	0.023898	5.723093	5.0	6.414384	3.044737	3.0	90.584193	17.392722	5.0	68.95976999999999
490.0	2.0	63.979082999999996	97.949173	8.97374	10.967630999999999	0.279917	0.305856	0.60512	0.607974	16.943	4.0	47.137928	6.293286	1.0	78.96776700000001	11.04447	4.0	58.247417000000006	4.728757	5.0	54.467369999999995	13.129807999999999	6.0	69.11614300000001	10.062028	1.0	0.1871	2.606244	5.0	93.51508100000001	4.683054	6.0	76.462009	6.545468	1.0	27.400969
500.0	2.0	96.417138	31.852613	63.074268000000004	8.176095	0.11858800000000001	0.245864	0.110078	0.48034499999999997	11.437498	6.0	50.710570000000004	19.652568	1.0	65.178685	0.5621510000000001	2.0	35.255554	19.160106	4.0	61.739564	2.012871	2.0	52.510982999999996	1.023228	5.0	0.010926	0.7133109999999999	4.0	15.168207	4.801389	4.0	85.64715699999999	24.487331	6.0	51.05413
516.0	2.0	39.545018	57.148439	66.954463	15.535389000000002	0.781724	0.651777	0.33823000000000003	0.375109	12.567314999999999	2.0	73.359475	5.496981	5.0	17.647801	9.644617	5.0	52.418771	21.124891	2.0	85.503229	12.710057	2.0	89.96198000000001	0.5602659999999999	1.0	0.020899	3.658511	4.0	75.626733	5.045522	2.0	76.157995	24.925596	4.0	57.105278000000006
