uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
14.0	2.0	20.072765	80.01114	10.792836999999999	13.954796	0.550977	0.698152	0.707709	0.396779	18.224884	2.0	54.72271800000001	20.029326	2.0	81.507807	19.651772	3.0	96.2661	23.285144	2.0	11.329405	24.665454999999998	6.0	94.840809	6.029447	5.0	0.059065	4.121754	3.0	96.740938	0.507467	4.0	35.423446999999996	6.835941	2.0	92.923162
27.0	2.0	10.828864999999999	49.110844	92.409997	91.019533	0.9594520000000001	0.682616	0.699638	0.8569610000000001	5.177423999999999	5.0	60.580755	19.970802	4.0	91.03423599999999	17.016041	4.0	86.839787	6.51698	5.0	15.083896	23.706628	1.0	63.531538	21.554116	1.0	0.010662999999999999	4.593882	4.0	77.96474599999999	3.074282	2.0	81.150326	7.52875	5.0	98.951141
29.0	2.0	15.751797	20.939111999999998	24.512457	69.028153	0.73038	0.517546	0.19179100000000002	0.579091	14.673316	1.0	88.389201	11.229666	6.0	58.936416	17.086085999999998	4.0	90.454886	15.293682999999998	4.0	54.75261999999999	16.069182	6.0	49.169144	20.599318	2.0	0.015742	3.467537	4.0	72.925662	2.47887	2.0	90.85629899999999	1.340852	1.0	71.052228
35.0	2.0	5.817189	26.788384000000004	51.938416	55.556141000000004	0.749848	0.68018	0.699195	0.73978	2.399782	1.0	10.816483	5.737191	1.0	28.197283000000002	1.807036	4.0	4.336894999999999	21.127392999999998	6.0	90.123397	7.632772999999999	2.0	89.015117	16.151507000000002	5.0	0.051338999999999996	5.579007	4.0	65.310702	5.656844	6.0	33.875292	15.995674	3.0	63.580628000000004
39.0	2.0	2.845503	21.843127	50.745787	61.937422999999995	0.426675	0.7612899999999999	0.522393	0.889106	21.895599	2.0	96.267119	6.391255999999999	2.0	56.081867	0.295709	3.0	34.290957	2.7896549999999998	6.0	26.153997	6.585111	2.0	73.58586899999999	4.642631	1.0	0.017653	2.2071330000000002	3.0	70.847413	2.321238	2.0	34.459776	12.377844	3.0	54.027436
52.0	2.0	38.097737	8.866404	17.422646	74.42025699999999	0.305053	0.9445479999999999	0.162947	0.9079309999999999	12.227177000000001	6.0	33.075618	12.173942	6.0	91.94624300000001	13.950007999999999	4.0	55.655947	4.476113	3.0	6.85209	21.363706	2.0	21.615884	4.414466	3.0	0.010106	3.491797	4.0	79.192824	0.6620119999999999	5.0	46.677227	8.971689	5.0	80.486193
60.0	2.0	11.121284	14.611087	8.762983	22.817646	0.9498190000000001	0.22869099999999998	0.246475	0.417962	13.175004999999999	2.0	82.62270699999999	19.783133	1.0	37.262336	22.041721	1.0	48.86588	18.800864999999998	2.0	68.41794200000001	8.693750999999999	2.0	7.941363000000001	7.022473	5.0	0.025236	3.4319260000000003	6.0	38.936484	0.12401	3.0	32.385699	5.183096	2.0	12.5145
83.0	2.0	21.47135	23.600267000000002	43.867057	45.92331	0.46188999999999997	0.950842	0.7357279999999999	0.78459	10.638156	3.0	43.829812	19.469307	3.0	79.768783	20.182095	1.0	93.798525	5.620959	4.0	42.752268	16.866474	4.0	19.200667000000003	11.737115	2.0	0.068249	4.495385	2.0	50.033943	3.7372690000000004	1.0	18.232608	21.634822	6.0	75.638692
97.0	2.0	2.052981	21.385066000000002	80.18262800000001	49.941102	0.793587	0.9276700000000001	0.255753	0.764146	9.549548	4.0	68.103858	6.53562	1.0	10.70552	11.185601	3.0	43.228010999999995	6.953678	2.0	25.823334	8.889961	1.0	82.92720899999999	2.747468	4.0	0.404885	4.870391000000001	5.0	98.75731999999999	3.7112830000000003	5.0	80.39474	12.826691	1.0	63.601218
101.0	2.0	1.541128	5.278097	13.581129	64.39381800000001	0.176292	0.960123	0.205783	0.882357	21.81791	2.0	35.234079	7.242374000000001	2.0	13.361044	5.733667	6.0	76.843952	3.241277	6.0	57.992534	7.903753	6.0	73.156513	6.788253999999999	3.0	0.010362	5.540051	1.0	45.707575	0.7355550000000001	5.0	49.855734000000005	15.783197	2.0	90.969115
