uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
121.0	2.0	52.794667000000004	55.876872999999996	46.036609000000006	86.71346199999999	0.34987199999999996	0.898943	0.276344	0.537898	11.369619	6.0	7.913902	45.033612	2.0	0.0405	1.43601	4.0	90.234296	3.169755	1.0	76.811226	1.225535	5.0	69.708534	23.895636	6.0	28.106765000000003	18.3808	5.0	0.48210600000000003	1.5932629999999999	3.0	97.122886	2.755799	3.0	4.6148739999999995
136.0	2.0	47.154971	96.561214	87.326939	40.243318	0.139195	0.635857	0.557656	0.838501	8.232699	6.0	51.374087	58.725972	3.0	0.030919	2.012496	5.0	80.941313	1.642338	2.0	23.969138	2.790518	6.0	79.827424	36.173186	6.0	11.913317	4.596406	4.0	0.581229	5.7191980000000004	3.0	2.799214	4.27415	5.0	92.27265
177.0	2.0	94.628772	53.469007999999995	94.226034	76.400763	0.285921	0.25759099999999996	0.25426	0.624171	14.432173	2.0	89.691683	4.447279	6.0	0.020822	0.299685	5.0	78.978491	2.688376	4.0	45.032658000000005	7.506361	1.0	5.11238	4.102874	4.0	29.261086	18.406114000000002	2.0	0.018029	0.22460500000000003	3.0	9.079813	0.991949	4.0	15.714478
212.0	2.0	58.065121999999995	32.020519	14.161141	46.757690999999994	0.7981699999999999	0.23433600000000002	0.412975	0.947219	16.986411	5.0	21.927089000000002	64.17384	1.0	0.107242	2.541855	2.0	25.520834	1.7297360000000002	4.0	87.006755	1.9098439999999999	3.0	72.064258	60.683535	5.0	1.057224	15.273094	3.0	0.269959	0.563766	4.0	75.62248000000001	3.954264	4.0	89.332988
353.0	2.0	35.07257	57.780954	56.300134	99.507812	0.45498999999999995	0.7186520000000001	0.741356	0.323139	17.506255	1.0	59.43079300000001	61.761706999999994	2.0	0.011233	0.23867800000000003	1.0	69.54190200000001	1.752977	6.0	16.355467	6.940597	1.0	58.687792	27.038759999999996	5.0	17.485793	23.198615	2.0	0.020384	5.142907	4.0	2.037801	3.0495970000000003	1.0	60.618136
361.0	2.0	44.902876	31.598703999999998	97.950204	54.084986	0.30869	0.6333979999999999	0.194476	0.8437610000000001	1.478889	3.0	38.786311	39.41537	5.0	0.010341	5.683211	6.0	14.394882	3.526299	2.0	95.304475	19.473244	3.0	76.618953	72.326947	1.0	14.237584	3.138513	5.0	0.011207	0.570227	6.0	2.302705	0.086879	2.0	54.971916
367.0	2.0	97.464315	66.22579300000001	50.867487	89.04719899999999	0.470112	0.116682	0.8000229999999999	0.518608	15.403466	6.0	22.442286	60.80445600000001	1.0	0.163011	1.09543	4.0	46.216597	6.116045	1.0	13.852444	19.262719	3.0	59.03993199999999	42.891196	6.0	6.179557	14.723633999999999	3.0	0.054809000000000004	0.076021	4.0	79.02902900000001	0.090173	1.0	13.84265
394.0	2.0	81.189361	82.420518	38.478749	54.394404	0.61802	0.642023	0.752171	0.802701	7.028975999999999	4.0	80.752629	64.592611	2.0	0.022018	5.871293	6.0	42.869315	5.0465800000000005	5.0	30.965571	17.752014000000003	4.0	21.11409	63.285828	5.0	1.6801540000000001	19.923368	5.0	0.113472	1.3612360000000001	1.0	27.434446	4.619298000000001	1.0	49.762890999999996
474.0	2.0	87.86888	35.894597999999995	51.261227000000005	63.878772999999995	0.3787	0.968776	0.8427450000000001	0.220402	1.189344	4.0	33.006617	1.390939	3.0	0.024141	4.693157	5.0	4.169303	4.9694139999999996	1.0	30.801503999999998	3.626524	2.0	72.694334	55.033868000000005	5.0	51.834955	8.759981	4.0	0.026382	1.696116	5.0	94.762889	4.4624	1.0	2.200748
477.0	2.0	61.069701	27.151426	90.560288	28.084224	0.8382139999999999	0.747585	0.7388979999999999	0.550298	16.83004	5.0	94.33013299999999	61.69335400000001	2.0	0.011075	0.873425	3.0	21.356951000000002	1.338334	2.0	38.523821999999996	10.233053	4.0	29.875433	61.312042000000005	1.0	78.67769	11.977348	2.0	0.014683000000000002	1.514048	1.0	49.337406	2.6639779999999997	2.0	4.10343
