uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
144.0	3.0	26.142926	96.610232	73.222196	32.645378	0.257957	0.239923	0.331431	0.107825	10.657174000000001	4.0	22.655946	23.109586	6.0	0.044971	0.60226	3.0	42.924212	1.3439809999999999	3.0	98.61533299999999	1.308756	3.0	95.653257	23.935462	2.0	95.40060600000001	18.475969	3.0	0.014825999999999999	4.127426	6.0	21.526523	13.04583	2.0	71.360699
192.0	3.0	76.326059	46.570879	22.807019	3.9831870000000005	0.132218	0.290534	0.404764	0.327438	20.967592	3.0	40.077063	16.63609	1.0	0.067322	4.372883	4.0	36.621221000000006	5.084381	2.0	32.590654	18.182137	4.0	39.071616999999996	15.220776	1.0	39.568107	21.526849	6.0	0.014524	3.0411200000000003	2.0	78.699556	17.316513	1.0	3.7530989999999997
209.0	3.0	40.400238	31.305823999999998	77.967902	10.283782	0.569912	0.220439	0.348244	0.571837	23.537894	4.0	54.172931000000005	13.602234	4.0	0.036156	3.9889339999999995	4.0	57.511763	4.528074	3.0	10.036324	2.2760599999999998	5.0	48.716627	18.664007	2.0	29.854687	15.147910999999999	6.0	0.019548	1.325813	5.0	20.697459	3.8361660000000004	1.0	24.651006
264.0	3.0	36.77987	39.77433	36.24756	63.221577	0.39308899999999997	0.46812700000000007	0.11128199999999999	0.548469	20.179527	5.0	42.399342	6.755703	6.0	0.013248	0.066703	2.0	13.939692	1.714087	3.0	9.370731	2.527244	3.0	54.652561	16.757268	5.0	45.510221	11.910364999999999	6.0	0.016392	14.257038	2.0	87.008843	6.003273	1.0	81.625008
294.0	3.0	52.330421	30.481996000000002	58.641073999999996	72.120999	0.576016	0.84349	0.8034789999999999	0.18598299999999998	6.645466000000001	1.0	5.095885	7.959703	4.0	0.019634	0.600123	5.0	11.777992999999999	1.510473	3.0	80.577689	0.508973	6.0	8.056802000000001	1.256484	3.0	94.383365	17.249858	4.0	0.019824	9.616693	1.0	14.689847	24.732312	4.0	82.27324300000001
297.0	3.0	51.061914	92.38401400000001	84.708026	27.976643	0.491833	0.219744	0.5357649999999999	0.634102	15.400375	5.0	16.262603	1.832744	3.0	0.022861000000000003	4.934896	5.0	11.338592	0.422516	2.0	42.555198	22.022626000000002	2.0	29.660422999999998	18.256232999999998	2.0	46.317477000000004	3.9086230000000004	5.0	0.183918	4.4088330000000004	2.0	18.887929999999997	13.716415	5.0	22.139441
310.0	3.0	90.38154399999999	24.336363000000002	71.578266	44.832221999999994	0.449597	0.17013699999999998	0.5769989999999999	0.8302799999999999	6.929221000000001	5.0	14.613183	7.280347999999999	1.0	0.020442	5.944732	1.0	55.070526	0.9066350000000001	4.0	74.018727	12.230378	2.0	80.43520600000001	15.237217000000001	3.0	61.664238	17.279914	1.0	0.019941999999999998	5.879036	5.0	36.406608	21.818147	3.0	16.575563
322.0	3.0	51.153405	89.215868	44.894653999999996	63.396129	0.645423	0.7481770000000001	0.195366	0.62563	0.33460700000000004	1.0	52.227323	24.1359	2.0	0.019216	2.109892	2.0	83.147526	4.85147	3.0	55.132199	5.639468	4.0	12.399002000000001	15.997404999999999	1.0	25.081576000000002	22.72585	1.0	0.0103	13.859025	5.0	10.648029	15.247673	4.0	14.656591
350.0	3.0	97.951066	20.58967	84.10621	57.332853	0.320391	0.316285	0.161236	0.453005	22.260016	3.0	34.767192	18.080497	3.0	0.039625	3.431365	2.0	27.453162	2.6996450000000003	5.0	32.135409	6.897848	1.0	43.881625	12.599058	5.0	21.801714	23.034671	1.0	0.011909000000000001	12.919178	4.0	35.689985	1.350611	5.0	75.731278
473.0	3.0	6.340953	35.098618	61.228615000000005	48.294154	0.13023900000000002	0.8716200000000001	0.9839209999999999	0.8924489999999999	6.781998	5.0	86.585898	19.135676	2.0	0.046183999999999996	6.230313	4.0	2.040244	0.33026300000000003	6.0	56.207273	0.247131	6.0	66.721056	23.808828	2.0	59.685997	20.113435	1.0	0.014587000000000001	3.332115	3.0	20.588238	19.364942000000003	5.0	14.204977
