uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
15.0	2.0	53.664649	87.62766500000001	47.596387	72.616709	0.9307469999999999	0.852384	0.241623	0.402956	1.775451	6.0	11.568615	16.446858	3.0	0.014955000000000001	4.464135	3.0	2.805247	5.28055	5.0	52.23142	3.936282	4.0	63.826831000000006	61.172102	1.0	45.317214	0.6467189999999999	6.0	0.011601	4.56986	5.0	27.986411999999998	2.021198	3.0	87.121438
16.0	2.0	31.601741999999998	93.573713	41.043024	44.064902000000004	0.948734	0.679127	0.739843	0.116204	18.569235	6.0	31.543869	71.774495	1.0	0.012329999999999999	1.6704330000000003	5.0	51.034905	1.870742	3.0	88.372713	2.637077	3.0	38.389795	2.482685	4.0	6.593941	9.158445	2.0	0.021228999999999998	1.844498	3.0	69.218243	1.074503	2.0	18.455492
18.0	2.0	20.786467000000002	52.196665	31.692228000000004	5.281893	0.969211	0.764154	0.511642	0.102539	19.333738	4.0	17.110871	31.086401000000002	4.0	0.024715	1.488586	4.0	70.29451999999999	4.231521	3.0	13.668644	5.786226	5.0	64.842069	31.167678999999996	6.0	3.6449599999999998	11.486137	5.0	0.036503	1.79788	4.0	30.030309000000003	0.567321	4.0	57.282766
21.0	2.0	10.718219	89.770814	96.67407	48.558044	0.48223999999999995	0.25053600000000004	0.44883999999999996	0.43459899999999996	6.245471	5.0	3.028119	70.322733	1.0	0.019530000000000002	4.489202	6.0	69.188779	0.7944869999999999	5.0	92.299593	19.210504999999998	3.0	53.88223299999999	62.12491	3.0	65.624119	2.955299	4.0	0.015366999999999999	0.252693	2.0	58.718588000000004	3.163421	4.0	3.866358
23.0	2.0	44.382670000000005	64.87594	50.621913	63.286857	0.35873299999999997	0.677391	0.212815	0.190282	19.041377999999998	6.0	43.232409999999994	44.089166999999996	2.0	0.012481	5.990604	6.0	53.914207999999995	3.6135379999999997	3.0	74.46883299999999	12.655602	3.0	68.565611	16.948086	4.0	80.834713	8.19442	5.0	0.07324	0.35234099999999996	5.0	78.10259	4.338773000000001	2.0	50.857595
26.0	2.0	92.739971	71.15826700000001	54.933512	28.453181	0.808613	0.381414	0.947924	0.71149	13.687983	1.0	69.314044	20.972998999999998	5.0	0.016626	4.496205000000001	2.0	52.902246999999996	0.695919	2.0	12.602587	12.931911	1.0	76.13279399999999	38.056953	3.0	66.911792	6.402407	6.0	0.285279	5.6347879999999995	3.0	49.224365999999996	0.633045	6.0	71.442144
42.0	2.0	14.587829000000001	23.438623	35.225599	70.808207	0.366077	0.169774	0.382155	0.774366	5.959804	5.0	84.081349	18.529626	1.0	0.020391	5.164072	4.0	37.722008	5.2063	4.0	68.536688	1.505252	2.0	40.934093	33.018665000000006	1.0	26.048642	16.216955	6.0	0.014428999999999999	1.44984	5.0	8.298986	5.534962	1.0	80.91975699999999
61.0	2.0	61.278096999999995	44.195474	19.3759	88.32310600000001	0.528895	0.377274	0.193405	0.391117	13.784548999999998	6.0	63.18972900000001	28.750407	5.0	0.017725	3.899549	2.0	17.697211	3.6959989999999996	4.0	78.881722	8.017155	5.0	96.842244	53.024038	1.0	83.37968599999999	13.799408999999999	3.0	0.011045000000000001	5.677279	1.0	55.077668	1.257483	5.0	78.508724
63.0	2.0	38.294921	95.080148	87.056657	47.812946000000004	0.5130779999999999	0.60546	0.813682	0.501992	0.627073	2.0	66.83636	72.539604	4.0	0.016309999999999998	1.54807	5.0	32.875695	5.358261	5.0	85.62779	12.063138	2.0	9.007327	19.447244	1.0	44.584447	7.7139880000000005	4.0	0.011881999999999998	1.6494259999999998	5.0	47.798068	1.501311	3.0	8.522518
67.0	2.0	94.995446	59.527787	36.042866	68.24440600000001	0.6280060000000001	0.36647399999999997	0.117725	0.40542100000000003	16.902143	5.0	72.500439	49.581302	4.0	0.011741	3.357365	5.0	50.696571999999996	5.015217	6.0	81.445084	22.153862	6.0	36.531174	51.589541	3.0	18.854862	0.686408	2.0	0.021516999999999998	0.634968	4.0	9.814009	4.140639	6.0	90.616781
