bifurcation_parameter	HH	HL	LH	LL	
2.5	929	0	0	1	0	
2.5	920	0	0	1	0	
2.5	917	0	0	1	0	
2.5	939	0	0	1	0	
2.5	942	0	0	1	0	
2.5	924	0	0	1	0	
2.5	916	0	0	1	0	
2.5	933	0	0	1	0	
2.5	924	0	0	1	0	
2.5	925	0	0	1	0	
2.51	908	0	0	1	0	
2.51	928	0	0	1	0	
2.51	927	0	0	1	0	
2.51	927	0	0	1	0	
2.51	926	0	0	1	0	
2.51	933	0	0	1	0	
2.51	915	0	0	1	0	
2.51	928	0	0	1	0	
2.51	944	0	0	1	0	
2.51	937	0	0	1	0	
2.52	921	0	0	1	0	
2.52	934	0	0	1	0	
2.52	946	0	0	1	0	
2.52	949	0	0	1	0	
2.52	937	0	0	1	0	
2.52	928	0	0	1	0	
2.52	945	0	0	1	0	
2.52	941	0	0	1	0	
2.52	940	0	0	1	0	
2.52	927	0	0	1	0	
2.53	910	0	0	1	0	
2.53	931	0	0	1	0	
2.53	936	0	0	1	0	
2.53	938	0	0	1	0	
2.53	940	0	0	1	0	
2.53	924	0	0	1	0	
2.53	929	0	0	1	0	
2.53	937	0	0	1	0	
2.53	931	0	0	1	0	
2.53	942	0	0	1	0	
2.54	925	0	0	1	0	
2.54	935	0	0	1	0	
2.54	952	0	0	1	0	
2.54	947	0	0	1	0	
2.54	935	0	0	1	0	
2.54	936	0	0	1	0	
2.54	921	0	0	1	0	
2.54	934	0	0	1	0	
2.54	948	0	0	1	0	
2.54	941	0	0	1	0	
2.55	939	0	0	1	0	
2.55	935	0	0	1	0	
2.55	924	0	0	1	0	
2.55	938	0	0	1	0	
2.55	938	0	0	1	0	
2.55	926	0	0	1	0	
2.55	944	0	0	1	0	
2.55	948	0	0	1	0	
2.55	930	0	0	1	0	
2.55	947	0	0	1	0	
2.56	934	0	0	1	0	
2.56	933	0	0	1	0	
2.56	912	0	0	1	0	
2.56	938	0	0	1	0	
2.56	938	0	0	1	0	
2.56	917	0	0	1	0	
2.56	927	0	0	1	0	
2.56	922	0	0	1	0	
2.56	932	0	0	1	0	
2.56	920	0	0	1	0	
2.57	930	0	0	1	0	
2.57	928	0	0	1	0	
2.57	927	0	0	1	0	
2.57	930	0	0	1	0	
