bifurcation_parameter	PPARG_Steady_state_values	
0.01	11	
0.02	10	
0.03	9.4	
0.04	9	
0.05	8.7	
0.06	8.4	
0.07	8.2	
0.08	8	
0.09	0.3	7.8	
0.1	0.1	7.7	
0.11	-0	7.5	
0.12	-0.2	7.4	
0.13	-0.3	7.3	
0.14	-0.4	7.2	
0.15	7.1	
0.16	-0.6	7	
0.17	-0.7	6.9	
0.18	-0.8	6.8	
0.19	-0.9	6.7	
0.2	-0.9	6.7	
0.21	-1	6.6	
0.22	-1.1	6.5	
0.23	-1.1	6.5	
0.24	-1.2	6.4	
0.25	-1.3	6.3	
0.26	-1.3	6.3	
0.27	-1.4	6.2	
0.28	-1.4	6.2	
0.29	-1.5	6.1	
0.3	-1.5	6.1	
0.31	-1.6	6	
0.32	-1.6	6	
0.33	-1.7	5.9	
0.34	-1.7	5.9	
0.35	-1.8	5.9	
0.36	-1.8	5.8	
0.37	-1.8	5.8	
0.38	-1.9	5.7	
0.39	-1.9	5.7	
0.4	-2	5.7	
0.41	-2	5.6	
0.42	-2	5.6	
0.43	-2.1	5.6	
0.44	-2.1	5.5	
0.45	-2.1	5.5	
0.46	-2.2	5.5	
0.47	-2.2	5.4	
0.48	-2.2	5.4	
0.49	-2.2	5.4	
0.5	-2.3	5.3	
0.51	-2.3	5.3	
0.52	-2.3	5.3	
0.53	-2.4	5.3	
0.54	-2.4	5.2	
0.55	-2.4	5.2	
0.56	-2.4	5.2	
