bifurcation_parameter	steady_state	
0.0001	14.1247	16.7694	14.9598	
0.0201	14.1549	14.1301	15.3206	
0.0401	14.124	14.1572	14.1243	
0.0601	16.569	14.1264	14.1242	
0.0801	14.2231	14.1196	14.1346	
0.1001	14.1229	14.2308	14.324	
0.1201	14.1219	15.1625	14.1287	
0.1401	14.1208	14.1247	14.8616	
0.1601	14.1206	14.1324	17.2822	
0.1801	16.0446	14.121	15.6627	
0.2001	14.2845	16.3107	14.1231	
0.2201	14.1261	16.2864	14.1321	
0.2401	14.1195	14.2277	14.4224	
0.2601	16.4911	14.164	14.1204	
0.2801	14.1569	14.1239	14.121	
0.3001	14.3392	14.1252	14.1174	
0.3201	14.1161	14.125	17.8107	
0.3401	14.1242	14.1156	14.133	
0.3601	15.0288	14.3405	14.1213	
0.3801	14.1169	17.5991	15.0818	
0.4001	14.1376	14.1817	16.2218	
0.4201	14.123	14.2043	14.2608	
0.4401	14.3935	14.1407	14.7389	
0.4601	14.2169	15.458	14.1291	
0.4801	14.127	14.1217	14.128	
