uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
6.0	2.0	82.88247	31.562661	16.399484	68.48505300000001	0.218705	0.547177	0.529679	0.310225	58.12638199999999	4.0	71.25395400000001	19.327515	3.0	0.038161	4.41144	6.0	72.253631	7.743378	6.0	21.771245	51.823864	5.0	0.012463	6.644597999999999	6.0	31.397804999999998	7.238146	1.0	53.52066
7.0	2.0	22.339292	82.853161	62.983986	82.722934	0.6215729999999999	0.399016	0.8001699999999999	0.9486870000000001	30.061983	3.0	59.75564	17.154673000000003	2.0	0.024055	9.842677	1.0	96.433677	5.779082	1.0	56.745592	50.69451	1.0	0.017744	1.112741	6.0	53.460831999999996	23.674701000000002	4.0	39.062057
10.0	2.0	43.618269	42.207522999999995	69.569498	34.922057	0.871532	0.656778	0.692634	0.8484440000000001	60.554373999999996	5.0	10.843518	2.833402	3.0	0.241914	3.363373	3.0	24.31065	19.607956	6.0	16.01923	56.524506	3.0	0.032456	14.706026000000001	4.0	66.26558299999999	1.9956490000000002	6.0	65.047012
12.0	2.0	7.73481	27.044165999999997	4.55443	34.933559	0.336987	0.17089300000000002	0.2679	0.430109	25.981046	1.0	15.721323000000002	3.8180449999999997	4.0	0.017648	7.816267	2.0	56.962485	13.904056	3.0	30.763933	73.874001	6.0	0.010106	8.029963	4.0	55.610547	12.367255	2.0	89.00340200000001
15.0	2.0	12.213465	73.01024	39.474229	87.775863	0.9029530000000001	0.685272	0.812552	0.539988	38.717461	1.0	6.5332	4.871738	6.0	0.013580000000000002	4.687402	5.0	99.322549	5.770905	1.0	83.752626	39.638511	5.0	0.026907	9.76928	5.0	5.71873	6.0056970000000005	3.0	83.13183000000001
16.0	2.0	36.693702	98.046915	20.430132999999998	56.719524	0.388018	0.44520299999999996	0.606534	0.185573	27.093737	2.0	47.352094	4.50701	2.0	0.011902	16.947060999999998	3.0	59.178121	22.905891	2.0	53.610191	36.969755	2.0	0.041591	13.025078	5.0	45.984809999999996	15.974846	5.0	88.90685400000001
30.0	2.0	99.608591	72.272871	56.269211999999996	93.369848	0.716306	0.263399	0.7953939999999999	0.618423	70.80067700000001	1.0	60.268170999999995	7.422972	6.0	0.011470000000000001	15.588544	1.0	94.623138	14.534718	2.0	63.79685500000001	68.646394	6.0	0.11330599999999999	8.877017	2.0	78.239135	15.054744	6.0	40.554062
32.0	2.0	38.389216999999995	24.183265	2.289574	74.567133	0.22166799999999998	0.626255	0.187115	0.116039	50.82266	1.0	50.972404	17.195823	2.0	0.015257	2.23513	3.0	96.747015	6.913695	3.0	22.5249	16.621332000000002	2.0	0.037527	7.632332000000001	3.0	39.938445	20.971487	1.0	23.917498000000002
36.0	2.0	10.548374	23.625939000000002	59.66385699999999	3.365156	0.220073	0.206828	0.6515270000000001	0.192093	6.877928	3.0	67.63319399999999	11.547419999999999	3.0	0.014324000000000002	8.083561999999999	2.0	95.47573100000001	12.296244999999999	3.0	33.83174	53.249589	6.0	0.012389	1.841291	2.0	60.190963	6.964888	6.0	45.231053
42.0	2.0	49.412384	19.518651000000002	33.949982	98.730387	0.211353	0.171051	0.5510470000000001	0.6428689999999999	10.901874000000001	6.0	76.048817	8.188674	5.0	0.010879999999999999	8.448938	4.0	23.691844	9.444527	5.0	71.257307	24.128031	5.0	0.016194999999999998	12.415092	1.0	27.093911	5.541199	5.0	76.987615
