uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
5.0	2.0	54.531812	21.058351000000002	53.645697999999996	81.61888	0.766929	0.45371999999999996	0.981598	0.92025	67.64256800000001	6.0	8.205900999999999	10.002930000000001	5.0	0.014797	11.615289	2.0	81.228208	19.783043	5.0	83.588942	55.877153	1.0	0.08354099999999999	10.240403	5.0	32.958103	17.052618	2.0	8.471923
21.0	2.0	35.694805	6.31451	10.135302000000001	92.077724	0.8319200000000001	0.802389	0.9653709999999999	0.370262	69.628889	5.0	50.405322999999996	8.339189	2.0	0.021064	14.092455	2.0	4.575569000000001	0.425799	4.0	58.834359	70.580538	3.0	0.014091999999999999	17.92396	5.0	69.337153	0.5972569999999999	5.0	62.50275
33.0	2.0	35.754896	21.885658	27.783353	97.606794	0.27050599999999997	0.9373049999999999	0.9549559999999999	0.178341	41.335118	1.0	16.519047	10.280308999999999	2.0	0.010799	4.0022459999999995	3.0	35.543092	17.177834	6.0	72.410618	24.495282999999997	3.0	0.093543	13.065717	4.0	75.209362	22.943533	5.0	98.01196999999999
44.0	2.0	43.867796999999996	14.833398999999998	34.483863	64.914148	0.302917	0.41606800000000005	0.9314	0.22567600000000002	65.374037	3.0	64.767791	13.887604000000001	6.0	0.012915000000000001	10.775057	3.0	71.566672	21.425371	3.0	7.402938000000001	39.900377	1.0	0.012393000000000001	7.465945	2.0	67.71380500000001	14.773195999999999	5.0	41.967209000000004
51.0	2.0	75.974659	31.728902	93.151483	55.259578000000005	0.747196	0.795046	0.917545	0.931112	47.236878000000004	6.0	60.140898	15.119504999999998	1.0	0.013763999999999998	6.0361400000000005	1.0	52.095813	17.60598	3.0	43.092236	57.168705	2.0	0.011879	18.153888000000002	4.0	40.776097	3.26675	2.0	43.939531
55.0	2.0	1.126409	93.55708	89.83570300000001	9.06891	0.797233	0.313923	0.715272	0.23890799999999998	19.356809	4.0	94.151259	4.163389	3.0	0.017636000000000002	5.686046	6.0	28.939315	5.4722919999999995	4.0	79.031706	38.625116	4.0	0.033968	3.6597980000000003	4.0	42.501553	0.288286	4.0	77.374718
80.0	2.0	85.60484	13.7754	57.027859	66.223005	0.257141	0.978826	0.605905	0.42266000000000004	45.320959	3.0	39.056409	22.655262	2.0	0.015265	15.694447	6.0	43.784951	17.645871	2.0	72.439214	65.083477	4.0	0.014556999999999999	4.829021	3.0	96.145067	22.539917000000003	6.0	89.691998
94.0	2.0	33.267851	3.9367900000000002	22.374236	57.899931	0.5229729999999999	0.32219200000000003	0.31711100000000003	0.483121	75.834965	1.0	16.15631	18.971876	1.0	0.012248	3.493447	4.0	97.418878	12.674503	3.0	97.894677	42.242894	1.0	0.035578	18.29309	3.0	67.996473	8.425299	4.0	90.284141
111.0	2.0	24.689529999999998	20.545236	94.835759	34.485959	0.9366770000000001	0.6127	0.888028	0.704432	56.876146	6.0	63.478306	8.55033	2.0	0.011043	7.179301	1.0	67.5061	23.524851	6.0	47.595214	28.031407	4.0	0.012894	10.484157000000002	5.0	82.57263499999999	7.8701289999999995	6.0	20.475923
112.0	2.0	45.884125	27.229828	12.382317	39.321026	0.655149	0.910682	0.389056	0.322119	51.471286	3.0	82.092897	8.95187	1.0	0.010467	14.071123000000002	2.0	67.918639	15.922804000000001	6.0	82.50188399999999	72.578696	3.0	0.011907	6.028052	4.0	97.556219	18.381432	4.0	5.447843
115.0	2.0	13.170722	1.620301	91.864777	22.203553	0.718076	0.18258	0.752498	0.9070229999999999	37.579621	2.0	54.160416000000005	22.496968	5.0	0.026514999999999997	5.311227	1.0	67.99602800000001	8.219094	2.0	71.765126	76.59530500000001	4.0	0.035436	14.345857999999998	3.0	62.78064499999999	8.331909	1.0	54.814716000000004
116.0	2.0	26.135365	69.697903	80.981377	16.915907	0.926833	0.42141999999999996	0.8995049999999999	0.18343099999999998	67.741122	2.0	62.891686	22.761829000000002	5.0	0.03007	17.758304000000003	4.0	54.55034200000001	5.757351	3.0	75.329278	47.834458000000005	3.0	0.018269	7.8548979999999995	5.0	94.447053	14.344920000000002	4.0	1.909661
