uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
142.0	3.0	53.116604	30.256985999999998	7.148632000000001	54.11196700000001	0.207873	0.373157	0.18141300000000002	0.647097	24.40016	6.0	54.067809	20.46176	6.0	0.015085	2.287808	2.0	86.373671	7.1623	4.0	4.757065	70.070521	5.0	0.030187000000000002	5.434428	1.0	17.765316000000002	14.670019	3.0	29.657373
145.0	3.0	86.158472	94.976502	93.406092	31.017863000000002	0.7620680000000001	0.394536	0.259581	0.987815	54.73327	4.0	45.011707	14.876482999999999	2.0	0.01658	3.198214	2.0	62.108565000000006	3.628143	6.0	57.504851	67.948615	1.0	0.017519	0.7590859999999999	5.0	65.168554	7.636918	4.0	77.23314599999999
147.0	3.0	75.051798	36.077815	16.606011	44.761161	0.11284100000000001	0.38831	0.122366	0.9525950000000001	62.585789	4.0	33.759655	17.614608	6.0	0.016339	12.858399	4.0	60.800557	4.226107	4.0	10.939356	19.59609	5.0	0.137151	17.172081	6.0	80.05836500000001	9.846994	2.0	90.891951
172.0	3.0	84.87689	52.490191	98.101878	34.679983	0.502372	0.290125	0.711098	0.945817	10.398019999999999	2.0	72.590949	10.329724	1.0	0.016804	16.724181	6.0	82.94260899999999	8.189644	2.0	42.246116	46.494917	1.0	0.118104	5.913537	4.0	96.57710300000001	19.133803	6.0	87.256853
212.0	3.0	35.954843	89.574333	99.604247	20.965935	0.305152	0.717169	0.22683699999999998	0.56353	57.244485	3.0	10.304661999999999	16.800393	1.0	0.036886	17.800698	6.0	64.353259	3.525435	1.0	49.784428000000005	11.580339	6.0	0.062084	17.096777	3.0	42.676319	4.103023	6.0	54.76681899999999
244.0	3.0	71.905827	39.858406	55.798258999999995	57.078011	0.335021	0.9281360000000001	0.738795	0.754476	15.811026000000002	3.0	95.825342	14.035595	6.0	0.054988	8.346924000000001	3.0	51.697432	12.399817	4.0	59.730204	71.429836	1.0	0.041837	4.291005	2.0	51.526995	22.422219000000002	6.0	66.373616
306.0	3.0	64.794057	21.88484	45.110135	27.720924	0.336608	0.656979	0.490208	0.543221	2.115627	5.0	61.122032999999995	13.076538000000001	6.0	0.026146	1.977932	4.0	87.72110699999999	16.473520999999998	5.0	85.3663	35.377565000000004	5.0	0.017256	6.166921	3.0	91.63024399999999	13.784147	4.0	69.544815
381.0	3.0	95.5383	41.369539	31.158393	93.951562	0.672879	0.834659	0.736858	0.542381	13.283922	3.0	25.168738	14.787711999999999	1.0	0.014731000000000001	10.951792999999999	5.0	33.71007	11.484453	6.0	69.153415	39.16295	1.0	0.029372000000000002	10.752588000000001	2.0	67.437423	9.776626	2.0	13.791475
463.0	3.0	93.442414	89.841511	48.722865999999996	49.831882	0.659259	0.681838	0.37297199999999997	0.941466	18.426573	4.0	35.854965	13.519519	4.0	0.017633000000000003	16.368641	1.0	46.874536	1.623808	4.0	78.167335	52.847418000000005	4.0	0.020311000000000003	14.95375	6.0	19.52642	23.463532999999998	2.0	46.471378
615.0	3.0	78.231712	52.072243	76.004039	87.110584	0.742984	0.279961	0.56319	0.805998	49.113186999999996	2.0	53.232634	8.555428	1.0	0.017929	6.383586	6.0	69.600863	18.159506	2.0	85.447321	77.63886600000001	2.0	0.019662	3.2363869999999997	5.0	4.231096	12.278189	6.0	13.589476999999999
625.0	3.0	49.335225	80.906301	75.95328	34.858063	0.48950299999999997	0.852784	0.353279	0.45954700000000004	78.169149	4.0	22.906563000000002	17.665186	3.0	0.54576	11.068439999999999	6.0	13.558623999999998	12.591969	4.0	23.801458	15.871435	2.0	0.034729	6.86952	6.0	21.852403	3.4418830000000002	3.0	39.447265
646.0	3.0	79.143394	32.820118	43.559581	49.955798	0.6036560000000001	0.772804	0.8541280000000001	0.331958	17.615407	6.0	42.020945000000005	11.799457	1.0	0.017159	0.786245	6.0	45.510457	17.662322	4.0	4.064063	22.401965	2.0	0.038054000000000004	18.642326999999998	2.0	63.296898	4.074895	2.0	48.38033
648.0	3.0	48.865697	99.033839	97.134878	17.615751	0.21780700000000003	0.914957	0.37285100000000004	0.2288	31.154582	3.0	65.362098	6.170472	5.0	0.06573999999999999	16.652165	1.0	41.56566	6.744208	3.0	8.398128	27.573565000000002	3.0	0.010994	1.944869	1.0	19.946921	19.129949	5.0	16.314109
693.0	3.0	93.706423	42.334965000000004	54.999703000000004	82.465731	0.551191	0.465322	0.735259	0.36090900000000004	32.296383	2.0	54.020799	6.51932	1.0	0.012852	7.2507600000000005	1.0	92.085472	17.419373	5.0	83.851463	74.428815	5.0	0.025289	17.23039	5.0	98.61727900000001	10.770938000000001	2.0	73.454555
710.0	3.0	16.644203	96.754947	75.616015	40.996588	0.183841	0.8461360000000001	0.176798	0.246469	23.897373	4.0	52.010042	22.565078	2.0	0.03057	3.420665	3.0	69.620514	20.961246	3.0	38.143903	42.761332	2.0	0.012343000000000002	18.468851	2.0	37.979923	7.466019	3.0	75.09709699999999
732.0	3.0	93.007921	50.896723	56.44851	41.657338	0.321382	0.502709	0.525252	0.132321	25.453722	5.0	52.200119	8.362017999999999	4.0	0.14106	16.297725	3.0	68.982271	19.905604999999998	3.0	32.75215	57.767132999999994	4.0	0.044525	2.1607790000000002	2.0	26.247545000000002	5.578121	4.0	51.788171000000006
809.0	3.0	64.836799	66.297366	68.35244	30.363825	0.392888	0.6000260000000001	0.441346	0.11337799999999999	72.991208	1.0	84.157829	1.3776329999999999	3.0	0.14131	5.76056	4.0	96.066388	14.710184	4.0	94.768112	39.844646999999995	3.0	0.017613999999999998	4.51864	4.0	30.87412	9.689919	5.0	14.311257000000001
849.0	3.0	73.154912	70.867428	72.546808	98.139626	0.320827	0.17436300000000002	0.6602899999999999	0.31153600000000004	15.335745000000001	6.0	93.603798	8.316567	4.0	0.024908	7.282839	6.0	67.906211	0.9445370000000001	2.0	76.321617	46.579463	2.0	0.027904	8.522052	3.0	37.750744	22.083220999999998	2.0	34.400913
866.0	3.0	55.266886	19.605718	87.116799	72.849556	0.529131	0.405988	0.665925	0.9320139999999999	13.671901	6.0	86.94201	5.887133	1.0	0.030192	3.065474	1.0	16.047728	13.203591000000001	4.0	91.852537	17.487472	1.0	0.130521	9.94156	5.0	73.200339	8.173776	3.0	32.631665999999996
891.0	3.0	58.77615600000001	18.608004	34.370477	85.199331	0.24798800000000001	0.375273	0.93227	0.823484	63.608176	4.0	24.900528	15.486464999999999	1.0	0.026636	3.8644540000000003	4.0	35.017327	16.750076999999997	1.0	67.68610799999999	60.377613000000004	4.0	0.022212	3.448297	3.0	36.401266	4.582375	5.0	68.72254699999999
913.0	3.0	61.156693999999995	42.642337	71.64598199999999	29.007052	0.507662	0.495438	0.23897100000000002	0.43599399999999994	19.060377	1.0	10.372539999999999	5.043174	4.0	0.011117	16.890644	5.0	9.310805	1.928289	6.0	72.016615	70.549014	5.0	0.344368	9.583131	6.0	93.840358	19.830099	5.0	43.523967999999996
916.0	3.0	80.65235200000001	73.54808	93.473437	80.568224	0.28055599999999997	0.655145	0.673665	0.9302799999999999	22.634361	6.0	67.379908	20.864437	4.0	0.016484	6.632556	1.0	80.666539	18.048486999999998	5.0	36.216799	30.857838	1.0	0.024218	8.437331	6.0	96.916811	13.849103	4.0	67.63438199999999
1006.0	3.0	87.550285	37.778959	72.829511	73.461381	0.8374370000000001	0.24268299999999998	0.200628	0.163381	47.103659	4.0	85.740593	13.304935	3.0	0.067872	3.147586	3.0	88.75607600000001	15.301466	3.0	70.987401	70.965835	4.0	0.152141	6.50076	5.0	49.061355	1.6658169999999999	4.0	85.826261
1017.0	3.0	11.607594	98.279536	96.342005	58.769318000000005	0.192476	0.353071	0.11261199999999999	0.813684	25.49031	5.0	79.155773	13.754785	6.0	0.053444000000000005	0.785936	5.0	49.101702	22.180788	6.0	30.274393	24.781503	5.0	0.025499	13.801055999999999	2.0	71.102257	20.940595000000002	2.0	1.037989
