uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
17.0	3.0	8.841349000000001	75.06696099999999	98.874243	24.635063	0.8670540000000001	0.543912	0.709785	0.12113399999999999	20.942539	4.0	4.629415	0.799532	6.0	0.027145999999999997	1.798979	5.0	85.368951	1.247495	3.0	59.52413000000001	16.615151	2.0	76.68889	9.353477999999999	3.0	98.90871800000001	7.546139	2.0	0.014109	8.914507	4.0	84.214201	15.834614000000002	6.0	59.30381800000001
21.0	3.0	77.819896	75.802432	91.050563	81.63492099999999	0.48073699999999997	0.462434	0.925616	0.272806	8.442300999999999	5.0	25.082795	1.294825	5.0	0.022325	4.787537	3.0	7.378645	5.169429	4.0	38.075005	21.970247	6.0	87.21611999999999	16.243205	4.0	53.184337	6.9742	6.0	0.024742	15.339935	6.0	99.408078	18.590138	1.0	99.25264
30.0	3.0	23.355127	52.668634	43.660603	25.281071	0.809211	0.48923900000000003	0.590144	0.427184	3.5339669999999996	2.0	46.969581	18.922937	6.0	0.010895	0.257554	2.0	66.324515	4.781637	2.0	38.688096	20.445914000000002	3.0	13.551074	5.076667	1.0	52.397617	6.315779	1.0	0.023201	18.849373	6.0	14.374992	11.189391	6.0	54.336835
31.0	3.0	7.018043	86.305527	53.148720999999995	14.635017000000001	0.179849	0.949103	0.367431	0.23086700000000002	9.320530999999999	3.0	82.788441	13.565025	5.0	0.7564770000000001	3.986796	5.0	4.564794	3.422707	5.0	60.09370500000001	20.961869	4.0	38.527877000000004	24.25816	3.0	73.576712	21.322305	6.0	0.012518000000000001	5.336313	1.0	71.620683	18.447712	3.0	7.176251
33.0	3.0	20.46053	98.31421	50.274689	46.834469	0.257101	0.427145	0.6104430000000001	0.485104	22.621016	6.0	44.620401	24.571054	4.0	0.010244	4.617493	1.0	45.649364	6.082986	2.0	88.237713	12.560078	2.0	80.045401	10.210612	6.0	94.4989	7.298355	6.0	0.024025	5.96882	5.0	21.254058999999998	22.939881	4.0	22.180034
42.0	3.0	9.537024	33.230847999999995	43.931213	57.18656800000001	0.5909300000000001	0.963512	0.71116	0.98113	11.834328	6.0	1.972332	22.189042	4.0	0.013861000000000002	6.197128	5.0	29.881860999999997	2.260884	5.0	72.503242	10.568284	3.0	51.711960999999995	0.711658	4.0	27.780807	11.356902	6.0	0.011658	18.241021	5.0	80.926163	15.706951	1.0	48.579106
47.0	3.0	7.916139	38.546261	9.044051	82.61432099999999	0.376363	0.6741060000000001	0.688199	0.29675300000000004	17.474326	2.0	67.415577	6.063393	3.0	0.032853	6.048847	3.0	96.519544	2.4361919999999997	5.0	76.310992	21.700015	5.0	21.860974	4.5703059999999995	4.0	47.912841	22.565596	3.0	0.018883	17.695702999999998	2.0	18.876772	12.007702	3.0	71.346866
48.0	3.0	13.869060999999999	98.218862	53.012827	40.934453999999995	0.283727	0.458129	0.885109	0.727377	2.574161	5.0	77.775449	22.326419	5.0	0.022834	1.105537	1.0	40.486777000000004	3.363748	2.0	94.330213	18.997465	5.0	99.904124	10.862803	1.0	71.38739100000001	23.161954	4.0	0.010153	8.753124	2.0	39.271735	15.900744	5.0	39.754144000000004
53.0	3.0	67.818411	97.819078	39.830857	42.430008	0.614152	0.677953	0.298675	0.4194	15.427926000000001	6.0	80.99454899999999	5.105624	3.0	0.150887	5.08669	1.0	76.77099399999999	3.145548	1.0	66.005445	9.940669999999999	6.0	94.893664	12.906971	3.0	88.261136	21.662428	4.0	0.011063	16.321791	4.0	25.181104	7.248382	6.0	50.445510999999996
59.0	3.0	20.227504	35.366743	50.737251	90.165971	0.889408	0.41126899999999994	0.175387	0.658058	15.29812	5.0	62.940073999999996	5.787314	6.0	0.014374000000000001	2.937668	2.0	95.488343	5.074322	1.0	63.54889	16.122186	5.0	90.72336800000001	9.161398	5.0	53.837789	21.843272	6.0	0.013455000000000002	19.134867	6.0	95.039728	24.98011	3.0	91.596411
