uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
41.0	2.0	16.028148	92.416771	74.052274	83.371542	0.184803	0.995508	0.633914	0.9365479999999999	2.954992	3.0	40.031128	20.932616	5.0	0.01314	18.315541	1.0	46.916332000000004	0.377359	4.0	73.11917700000001	60.833955	4.0	98.991623	20.468007999999998	1.0	0.046196	12.647326	3.0	91.703147
76.0	2.0	98.008696	82.21015200000001	87.013244	49.339808000000005	0.331949	0.221467	0.39406599999999997	0.24637199999999998	17.872764	1.0	27.256277	36.869262	1.0	0.010458	3.74084	6.0	98.678412	12.668159	1.0	17.702963	15.914587	6.0	65.081567	11.188042999999999	1.0	0.010383	16.973148000000002	1.0	88.78345999999999
158.0	2.0	44.915676	52.335594	98.862794	37.99001	0.252391	0.327653	0.828267	0.48861499999999997	15.147741	3.0	75.50778000000001	7.658964999999999	2.0	0.012302	14.823539000000002	4.0	3.027285	6.821325999999999	3.0	15.335662	28.198442	4.0	89.338918	17.578505	1.0	0.052824	5.053038	4.0	10.466692
169.0	2.0	34.651545	68.416724	28.835306	19.298282	0.41165100000000004	0.38313800000000003	0.707608	0.17077	19.319309	1.0	4.350187	33.921248	4.0	0.133153	17.934983	4.0	16.501665	0.6211369999999999	2.0	5.74022	10.602439	1.0	93.00359	24.064291	2.0	0.069977	7.9435970000000005	4.0	16.28572
223.0	2.0	20.534564000000003	99.279016	51.414679	51.840151	0.780433	0.45370200000000005	0.438852	0.391262	15.178624	5.0	98.139569	31.570427000000002	2.0	0.045791000000000005	3.702497	2.0	23.337923999999997	2.098792	1.0	3.174656	56.329315	6.0	76.54861899999999	6.700499000000001	6.0	0.011564	6.420612	5.0	16.822537
232.0	2.0	81.273012	95.976885	85.813739	33.553069	0.759338	0.704852	0.49683999999999995	0.6079140000000001	1.092235	2.0	33.007474	57.206171999999995	3.0	0.011488	4.487987	4.0	6.430667	14.120548999999999	3.0	61.614922	25.216088	3.0	97.031909	1.206265	1.0	0.046127	0.345415	3.0	75.522159
377.0	2.0	47.474066	68.30066500000001	83.63998199999999	45.288802000000004	0.667572	0.763441	0.351147	0.85995	4.2957220000000005	3.0	36.453606	73.695645	4.0	0.024012000000000002	12.588901	1.0	21.663462	4.167868	1.0	1.757941	25.815334	4.0	99.67969699999999	18.503547	1.0	0.018899000000000003	5.252058	4.0	15.159595000000001
387.0	2.0	72.48909	22.235028	47.857171	88.083908	0.19384500000000002	0.235485	0.114497	0.5286350000000001	9.512056	4.0	11.669239	19.668036999999998	6.0	0.196377	1.8706939999999999	2.0	49.351403000000005	9.596486	3.0	19.278092	75.430272	2.0	51.186298	11.911758	2.0	0.017564	7.037578	2.0	83.867527
421.0	2.0	14.510128	43.780176000000004	51.327467	39.0745	0.9582459999999999	0.683573	0.427076	0.501602	14.231701000000001	1.0	1.483466	49.050075	4.0	0.022609999999999998	9.072583	5.0	7.450564999999999	1.1920549999999999	2.0	52.75721	32.33357	3.0	72.08838100000001	21.458716	4.0	0.396879	6.085401999999999	2.0	32.323671999999995
437.0	2.0	63.718320999999996	28.961835999999998	70.78911	17.426734	0.9793350000000001	0.269364	0.271548	0.44012299999999993	20.962055	6.0	4.867576000000001	60.760441	2.0	0.197466	5.298446	5.0	43.479741	10.795896	2.0	64.703795	6.775347999999999	2.0	28.648545000000002	15.801179999999999	2.0	0.046153	18.310817999999998	2.0	22.54419
