HH	HH	HH	HH	0.0	0	2406
HH	HH	HH	HL	0.00166	4	2406
HH	HH	HH	LH	0.00042	1	2406
HH	HH	HH	LL	0.0	0	2406
HH	HH	HL	HL	0.00623	15	2406
HH	HH	HL	LH	0.01663	40	2406
HH	HH	HL	LL	0.00083	2	2406
HH	HH	LH	LH	0.0079	19	2406
HH	HH	LH	LL	0.00083	2	2406
HH	HH	LL	LL	0.0	0	2406
HH	HL	HL	HL	0.00291	7	2406
HH	HL	HL	LH	0.02993	72	2406
HH	HL	HL	LL	0.00748	18	2406
HH	HL	LH	LH	0.0478	115	2406
HH	HL	LH	LL	0.18911	455	2406
HH	HL	LL	LL	0.00333	8	2406
HH	LH	LH	LH	0.00457	11	2406
HH	LH	LH	LL	0.00623	15	2406
HH	LH	LL	LL	0.0079	19	2406
HH	LL	LL	LL	0.0	0	2406
HL	HL	HL	HL	0.00125	3	2406
HL	HL	HL	LH	0.00457	11	2406
HL	HL	HL	LL	0.00083	2	2406
HL	HL	LH	LH	0.01164	28	2406
HL	HL	LH	LL	0.11721	282	2406
HL	HL	LL	LL	0.00914	22	2406
HL	LH	LH	LH	0.02244	54	2406
HL	LH	LH	LL	0.21945	528	2406
HL	LH	LL	LL	0.2394	576	2406
HL	LL	LL	LL	0.00416	10	2406
LH	LH	LH	LH	0.00125	3	2406
LH	LH	LH	LL	0.00582	14	2406
LH	LH	LL	LL	0.02328	56	2406
LH	LL	LL	LL	0.0054	13	2406
LL	LL	LL	LL	0.00042	1	2406
