uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
1.0	2.0	29.779401	3.9867660000000003	36.898344	66.954953	0.264135	0.525047	0.7870520000000001	0.83185	67.81496800000001	2.0	36.370087	11.313323	5.0	0.013982	5.258349	4.0	31.898740000000004	5.581633999999999	1.0	75.578654	6.516392	6.0	26.905539	77.08405	1.0	0.01732	3.604075	6.0	5.853971	20.358234	3.0	57.478079
23.0	2.0	6.770267	8.511956	20.837312	81.248722	0.389435	0.9757290000000001	0.9584520000000001	0.789918	27.189375	2.0	81.38516899999999	3.766749	1.0	0.095187	2.008928	2.0	29.7527	3.062708	6.0	52.406084	13.241506	6.0	63.075844999999994	16.682260999999997	3.0	0.015921	0.803583	5.0	26.353096	17.291301	4.0	35.140068
27.0	2.0	8.347856	6.541494	50.431596	6.02604	0.32003200000000004	0.695231	0.561511	0.16103399999999998	26.73576	2.0	46.308682	25.162969	6.0	0.031243	2.148929	1.0	80.338634	1.3294270000000001	4.0	13.371762	11.609434	3.0	85.104752	62.759865000000005	2.0	0.011073999999999999	5.528294	2.0	91.272188	21.778088	1.0	60.005499
43.0	2.0	1.531281	85.738313	29.001815	40.124719	0.41969300000000004	0.252391	0.54367	0.724013	30.650716	6.0	52.79926999999999	15.493301999999998	6.0	0.049984	1.893152	2.0	32.570257	4.627473	1.0	44.613071999999995	6.057619	6.0	89.022467	12.35774	3.0	0.011679	7.6923699999999995	5.0	51.728637	15.770310999999998	3.0	62.990747
45.0	2.0	84.11923399999999	12.953382000000001	93.59651099999999	48.825267	0.951994	0.504456	0.8496670000000001	0.21287399999999998	63.622226	4.0	75.869559	19.230454	3.0	0.020566	0.599164	2.0	89.419376	5.4828790000000005	1.0	96.583112	9.645589999999999	3.0	44.311719000000004	57.332664	2.0	0.018580000000000003	11.576964	6.0	11.41288	13.244786999999999	2.0	71.940873
65.0	2.0	80.68985699999999	11.569828999999999	23.408602	75.95345999999999	0.699913	0.685287	0.832234	0.5172869999999999	77.13164499999999	3.0	81.76185100000001	20.482138	6.0	0.011946	4.696866	5.0	98.173413	5.862812	4.0	24.712706	20.615044	4.0	25.074648999999997	28.716875	3.0	0.029929	9.413706	3.0	21.847131	19.371273000000002	1.0	46.210390999999994
66.0	2.0	10.20854	2.4940330000000004	52.191554	10.193878	0.8095399999999999	0.8357209999999999	0.315219	0.209878	17.896415	1.0	38.457739000000004	21.659881	1.0	0.012087	0.8965879999999999	2.0	76.134316	1.999473	4.0	28.706508000000003	4.369368	6.0	67.907179	69.550124	4.0	0.010103000000000001	2.448807	3.0	8.204384	21.234161	3.0	75.159743
81.0	2.0	92.896836	1.071593	18.24185	88.90032	0.8809309999999999	0.670197	0.765363	0.347831	76.463693	6.0	58.051705000000005	4.675503	2.0	0.033519	3.422706	3.0	80.37337	3.205669	4.0	83.271064	25.256414000000003	2.0	84.133509	25.803079999999998	5.0	0.014374000000000001	7.423118	3.0	47.766020000000005	7.6579559999999995	1.0	29.491326
110.0	2.0	29.296057	3.626664	33.856769	71.11232	0.9044629999999999	0.930502	0.623657	0.49196000000000006	77.793873	4.0	76.237099	8.16517	6.0	0.015750999999999998	3.431882	1.0	17.39829	0.198203	3.0	33.476003000000006	2.1305709999999998	5.0	49.287245	58.505618000000005	2.0	0.013191999999999999	14.918652999999999	5.0	51.821801	9.776504	2.0	90.362301
116.0	2.0	37.935854	6.479748000000001	46.227881	23.491087	0.366126	0.685045	0.759796	0.133306	1.1932450000000001	3.0	56.11261999999999	11.858907	6.0	0.018047999999999998	6.170392	3.0	39.035095	5.945561	5.0	66.268064	1.946709	2.0	14.164473000000001	23.901526	2.0	0.6259899999999999	12.560864	4.0	83.484734	9.866067999999999	1.0	57.846058
