index_no	uid	no_of_states	HH	HL	LH	LL	
1	86	3	0.025	0.04	0.935	0	
2	91	3	0.871	0.095	0.034	0	
3	206	3	0.757	0.181	0.062	0	
4	237	3	0.689	0.057	0.254	0	
5	269	3	0	1	0	0	
6	275	3	0.504	0.372	0.124	0	
7	342	3	0	0	1	0	
8	391	3	1	0	0	0	
9	393	3	0.955	0	0.045	0	
10	446	3	0.023	0.45	0.527	0	
11	480	3	0.798	0.166	0.036	0	
12	512	3	0.698	0.26	0.042	0	
13	518	3	0.897	0.025	0.078	0	
14	524	3	0.998	0	0.002	0	
15	545	3	0.176	0.002	0.822	0	
16	546	3	0	0.275	0.725	0	
17	604	3	0.958	0.039	0.003	0	
18	625	3	0.822	0.025	0.153	0	
19	630	3	0.804	0.028	0.168	0	
20	712	3	1	0	0	0	
21	723	3	0	0.9	0.1	0	
22	765	3	0.804	0.007	0.189	0	
23	883	3	0.765	0.066	0.169	0	
24	944	3	0	0.003	0.997	0	
25	947	3	0.736	0.002	0.262	0	
26	958	3	0	0.019	0.981	0	
27	969	3	0.662	0.031	0.307	0	
28	977	3	0.648	0.311	0.041	0	
29	1004	3	0.938	0.008	0.054	0	
30	1011	3	1	0	0	0	
31	1014	3	0	1	0	0	
32	1024	3	0.925	0	0.075	0	
33	1047	3	0.88	0	0.12	0	
34	1071	3	0.971	0.021	0.008	0	
35	1082	3	0.954	0.002	0.044	0	
36	1088	3	0.391	0.609	0	0	
37	1104	3	0.995	0.002	0.003	0	
38	1209	3	0.813	0	0.187	0	
39	1220	3	0	0.027	0.973	0	
40	1275	3	0.779	0.003	0.218	0	
41	1307	3	0.906	0	0.094	0	
42	1310	3	0.938	0.052	0.01	0	
43	1351	3	0.943	0.034	0.023	0	
44	1368	3	0.889	0.083	0.028	0	
45	1425	3	0.702	0.293	0.005	0	
46	1455	3	0	0.025	0.975	0	
47	1475	3	0	0.01	0.99	0	
48	1486	3	0.121	0.62	0.259	0	
49	1507	3	0.858	0	0.142	0	
50	1591	3	0.795	0.195	0.01	0	
51	1605	3	0.918	0.001	0.081	0	
52	1674	3	0.618	0.015	0.367	0	
53	1701	3	0.967	0.018	0.015	0	
54	1716	3	0.516	0.032	0.452	0	
55	1741	3	0.336	0.664	0	0	
56	1753	3	0.148	0.047	0.805	0	
57	1769	3	0.975	0.024	0.001	0	
58	1791	3	0.922	0.078	0	0	
59	1814	3	0.687	0.028	0.285	0	
60	1943	3	0.808	0.19	0.002	0	
61	1952	3	0.107	0.678	0.215	0	
62	1976	3	0.952	0.029	0.019	0	
