index_no	uid	no_of_states	HH	HL	LH	LL	
1	28	4	0.686	0.26	0.054	0	
2	31	4	0.652	0.333	0.015	0	
3	46	4	0.77	0.024	0.205	0.001	
4	184	4	0	0.001	0.999	0	
5	188	4	0.782	0.214	0.004	0	
6	198	4	0.851	0.078	0.064	0.007	
7	200	4	0.751	0.004	0.245	0	
8	202	4	0.988	0.001	0.011	0	
9	219	4	0.917	0.073	0.01	0	
10	221	4	0.758	0.113	0.129	0	
11	222	4	0.497	0.114	0.37	0.019	
12	243	4	0.496	0.159	0.339	0.006	
13	252	4	0.439	0.235	0.289	0.037	
14	265	4	0.092	0.445	0.463	0	
15	287	4	0.921	0.063	0.015	0.001	
16	304	4	0.769	0.011	0.22	0	
17	311	4	0.538	0.162	0.3	0	
18	426	4	0.803	0.067	0.13	0	
19	436	4	0.922	0.005	0.073	0	
20	493	4	0.775	0.083	0.139	0.003	
21	528	4	0	0.828	0.17	0.002	
22	548	4	0.595	0.17	0.234	0.001	
23	568	4	0.849	0.119	0.032	0	
24	575	4	0.805	0.019	0.176	0	
25	615	4	0.921	0.003	0.076	0	
26	672	4	0.992	0.005	0.003	0	
27	685	4	0.763	0.079	0.148	0.01	
28	705	4	0.971	0.015	0.014	0	
29	733	4	0.827	0.15	0.022	0.001	
30	737	4	0.832	0.138	0.03	0	
31	740	4	0.491	0.285	0.217	0.007	
32	764	4	0.541	0.391	0.068	0	
33	768	4	0.7	0.21	0.085	0.005	
34	791	4	0.081	0.808	0.111	0	
35	792	4	0	0.892	0.108	0	
36	808	4	0.821	0.167	0.012	0	
37	840	4	0.795	0.007	0.198	0	
38	868	4	0.772	0.02	0.208	0	
39	891	4	0.876	0.105	0.019	0	
40	906	4	0	0.799	0.201	0	
41	908	4	0.949	0.017	0.034	0	
42	912	4	0.865	0.003	0.132	0	
43	932	4	0.668	0.088	0.233	0.011	
44	976	4	0	0.669	0.331	0	
45	980	4	0.815	0.005	0.18	0	
46	989	4	0.847	0	0.153	0	
47	1061	4	0.349	0.153	0.498	0	
48	1087	4	0.546	0.261	0.193	0	
49	1095	4	0	0.364	0.559	0.077	
50	1116	4	0	0.02	0.98	0	
51	1147	4	0.982	0	0.018	0	
52	1150	4	0	0.965	0.035	0	
53	1216	4	0.968	0.032	0	0	
54	1217	4	0.896	0.03	0.074	0	
55	1267	4	0.861	0	0.139	0	
56	1348	4	0	0.539	0.461	0	
57	1403	4	0.67	0.317	0.008	0.005	
58	1408	4	0.75	0.122	0.128	0	
59	1439	4	0.642	0.308	0.05	0	
60	1443	4	0	0	0.789	0.211	
61	1449	4	0.705	0.152	0.136	0.007	
62	1513	4	0.951	0.049	0	0	
63	1546	4	0.91	0.09	0	0	
64	1570	4	0.929	0.011	0.06	0	
65	1572	4	0.79	0.119	0.091	0	
66	1581	4	0.933	0.021	0.046	0	
67	1585	4	0	0.708	0.292	0	
68	1684	4	0.804	0.011	0.185	0	
69	1685	4	0.976	0.024	0	0	
70	1705	4	0	0.001	0.999	0	
71	1727	4	0.804	0.19	0.006	0	
72	1792	4	0.924	0.072	0.004	0	
73	1796	4	0.805	0.024	0.171	0	
74	1844	4	0.871	0.04	0.089	0	
75	1925	4	0.884	0.113	0.003	0	
76	1953	4	0.501	0.116	0.337	0.046	
77	1982	4	0.889	0.003	0.108	0	
78	2002	4	0.822	0.176	0.002	0	
79	2005	4	0.845	0.029	0.123	0.003	
80	2062	4	0.862	0.128	0.01	0	
81	2083	4	0.852	0.055	0.093	0	
82	2116	4	0.431	0.324	0.22	0.025	
83	2119	4	0.918	0.062	0.02	0	
84	2131	4	0	0.154	0.846	0	
85	2133	4	0.71	0.046	0.244	0	
86	2156	4	0.72	0.02	0.26	0	
87	2157	4	0	0.048	0.952	0	
88	2159	4	0	0.852	0.148	0	
89	2176	4	0.151	0.044	0.805	0	
90	2201	4	0.651	0.155	0.194	0	
91	2209	4	0.783	0.181	0.036	0	
92	2239	4	0.757	0	0.243	0	
93	2275	4	0.869	0.114	0.017	0	
94	2278	4	0.915	0.001	0.084	0	
95	2279	4	0.688	0.236	0.076	0	
96	2299	4	0.974	0.026	0	0	
97	2327	4	0.873	0.032	0.095	0	
98	2361	4	0.949	0.029	0.022	0	
99	2385	4	0.634	0.318	0.048	0	
100	2395	4	0.612	0.337	0.048	0.003	
101	2452	4	0.567	0.121	0.312	0	
102	2465	4	0.849	0.142	0.009	0	
103	2576	4	0	0.857	0.139	0.004	
104	2626	4	0.946	0.015	0.039	0	
105	2630	4	0.62	0.321	0.055	0.004	
106	2703	4	0.925	0.026	0.049	0	
107	2725	4	0.842	0.115	0.043	0	
108	2732	4	0.695	0.19	0.115	0	
109	2744	4	0.985	0	0.015	0	
110	2767	4	0.69	0.249	0.061	0	
111	2795	4	0.957	0.011	0.032	0	
112	2797	4	0.943	0.028	0.029	0	
113	2805	4	0.966	0.013	0.021	0	
114	2859	4	0.877	0.031	0.092	0	
115	2879	4	0	0.677	0.323	0	
116	2909	4	0.982	0.01	0.008	0	
117	2911	4	0	0.996	0.004	0	
118	2918	4	0.794	0.206	0	0	
119	2966	4	0.523	0.293	0.184	0	
120	2996	4	0.592	0	0.408	0	
121	3021	4	0.6	0.235	0.165	0	
122	3027	4	0.464	0.225	0.239	0.072	
123	3053	4	0.617	0.194	0.189	0	
124	3062	4	0.188	0.237	0.574	0.001	
125	3070	4	0.898	0.029	0.073	0	
126	3074	4	0.059	0.85	0.091	0	
127	3094	4	0.858	0.043	0.099	0	
128	3174	4	0	0.953	0.047	0	
129	3176	4	0.56	0.155	0.277	0.008	
130	3203	4	0.752	0.147	0.101	0	
131	3216	4	0	0.717	0.283	0	
132	3240	4	0	0.936	0.064	0	
133	3270	4	0	0	1	0	
134	3304	4	0.82	0.014	0.166	0	
135	3317	4	0	0.001	0.999	0	
136	3342	4	0	0.175	0.145	0.68	
137	3361	4	0.96	0.007	0.032	0.001	
138	3362	4	0.967	0.016	0.017	0	
139	3387	4	0	0.558	0.442	0	
140	3407	4	0.823	0.088	0.089	0	
141	3491	4	0.88	0.005	0.115	0	
142	3495	4	0.911	0.063	0.026	0	
143	3503	4	0.852	0.103	0.045	0	
144	3507	4	0.845	0.152	0.003	0	
145	3520	4	0.785	0.152	0.056	0.007	
146	3529	4	0	0	0.171	0.829	
147	3551	4	0.768	0.229	0.003	0	
148	3616	4	0.95	0.016	0.034	0	
149	3626	4	0.178	0.072	0.75	0	
150	3651	4	0	0.08	0.787	0.133	
151	3653	4	1	0	0	0	
152	3683	4	0	0.021	0.979	0	
153	3707	4	0.745	0.066	0.189	0	
154	3744	4	0.935	0.063	0.002	0	
155	3772	4	0.38	0.005	0.615	0	
156	3803	4	0.874	0.003	0.123	0	
157	3817	4	0	0.979	0.021	0	
158	3880	4	0.085	0.054	0.861	0	
159	3893	4	0	0.103	0.528	0.369	
160	3914	4	0.85	0.087	0.063	0	
161	3922	4	0	0.004	0.996	0	
162	3923	4	0.607	0.069	0.324	0	
163	3926	4	0.472	0.049	0.478	0.001	
164	3989	4	0.198	0.199	0.561	0.042	
165	4006	4	0.885	0.034	0.081	0	
166	4044	4	0	0.039	0.799	0.162	
167	4082	4	0	0.139	0.86	0.001	
168	4086	4	0.939	0.044	0.017	0	
169	4159	4	0.774	0.175	0.051	0	
170	4215	4	0.815	0.069	0.115	0.001	
171	4266	4	0.711	0.13	0.159	0	
172	4286	4	0.882	0.096	0.022	0	
173	4289	4	0.907	0.05	0.043	0	
174	4296	4	0.632	0.145	0.223	0	
175	4331	4	0.59	0.009	0.401	0	
176	4352	4	0	0.866	0.126	0.008	
177	4373	4	0.925	0.062	0.013	0	
178	4390	4	0.945	0	0.055	0	
179	4417	4	0.802	0.002	0.196	0	
180	4424	4	0.479	0.495	0.026	0	
181	4430	4	0	0.078	0.917	0.005	
182	4509	4	0.596	0.398	0.006	0	
183	4577	4	0	0.016	0.983	0.001	
184	4601	4	0.843	0.074	0.083	0	
185	4632	4	0	0.075	0.557	0.368	
186	4661	4	0.587	0.162	0.251	0	
187	4662	4	0.984	0.003	0.013	0	
188	4679	4	0.393	0.224	0.38	0.003	
189	4731	4	0.319	0.104	0.577	0	
190	4752	4	0.534	0.167	0.298	0.001	
191	4754	4	0.714	0.085	0.201	0	
192	4762	4	0	0.062	0.938	0	
193	4788	4	0	0.876	0.124	0	
194	4800	4	0.853	0.024	0.123	0	
195	4832	4	0	0.065	0.917	0.018	
196	4842	4	0.955	0.043	0.002	0	
197	4870	4	0	0.507	0.493	0	
198	4873	4	0	0.535	0.465	0	
199	4890	4	0	0.03	0.806	0.164	
200	4894	4	0.813	0.046	0.14	0.001	
201	4932	4	0	1	0	0	
202	4976	4	0.868	0.132	0	0	
203	4992	4	0.446	0.495	0.058	0.001	
204	4993	4	0.932	0.068	0	0	
205	5010	4	0.995	0.005	0	0	
206	5013	4	0.516	0.217	0.248	0.019	
207	5060	4	0.802	0.187	0.011	0	
208	5061	4	0.802	0.103	0.094	0.001	
209	5065	4	0.899	0.101	0	0	
210	5103	4	0.589	0.396	0.015	0	
211	5109	4	0	0	0.329	0.671	
212	5127	4	0.871	0.013	0.116	0	
213	5137	4	0.984	0	0.016	0	
214	5177	4	0.824	0.101	0.075	0	
215	5230	4	0.987	0.005	0.008	0	
216	5254	4	0	0.381	0.42	0.199	
217	5284	4	0.472	0.232	0.261	0.035	
218	5307	4	0.603	0.002	0.395	0	
219	5355	4	0.804	0.084	0.112	0	
220	5379	4	0.922	0.016	0.061	0.001	
221	5387	4	0.883	0.045	0.072	0	
222	5395	4	0.858	0.105	0.036	0.001	
223	5406	4	0.125	0.238	0.637	0	
224	5420	4	0.854	0.047	0.098	0.001	
225	5448	4	0.933	0.014	0.053	0	
226	5509	4	0.577	0.346	0.077	0	
227	5539	4	0	0.351	0.649	0	
228	5554	4	0.583	0.172	0.213	0.032	
229	5572	4	0.82	0.034	0.146	0	
230	5591	4	0.859	0.01	0.128	0.003	
231	5620	4	0	0.913	0.087	0	
232	5651	4	0.988	0.009	0.003	0	
233	5661	4	0.439	0.509	0.052	0	
234	5685	4	0.136	0.021	0.843	0	
235	5686	4	0.479	0.139	0.381	0.001	
236	5723	4	0	0.338	0.656	0.006	
237	5742	4	0	0.089	0.911	0	
238	5797	4	0.733	0.025	0.242	0	
239	5894	4	0.117	0.098	0.779	0.006	
240	5910	4	0.633	0.01	0.357	0	
241	5925	4	0.886	0	0.114	0	
242	5951	4	0.519	0.052	0.429	0	
243	5954	4	0.824	0.157	0.017	0.002	
244	5980	4	0.875	0.041	0.084	0	
245	6006	4	0.883	0.024	0.093	0	
246	6022	4	0.331	0.434	0.235	0	
247	6074	4	0.992	0.008	0	0	
248	6101	4	0	0.127	0.873	0	
249	6107	4	0.687	0.208	0.098	0.007	
250	6108	4	0	0.075	0.925	0	
251	6136	4	0.825	0	0.175	0	
252	6243	4	0.283	0.534	0.183	0	
253	6247	4	0.903	0.009	0.088	0	
254	6253	4	0	0.217	0.783	0	
255	6263	4	0.648	0.184	0.168	0	
256	6289	4	0.784	0.019	0.197	0	
257	6302	4	0	0.563	0.051	0.386	
258	6305	4	0.918	0	0.082	0	
259	6334	4	0.86	0.001	0.139	0	
260	6347	4	0.911	0.086	0.002	0.001	
261	6389	4	0.415	0.556	0.028	0.001	
262	6413	4	0.816	0.179	0.004	0.001	
263	6424	4	0.816	0.027	0.157	0	
264	6440	4	0.532	0.247	0.194	0.027	
265	6471	4	0	0.105	0.89	0.005	
266	6490	4	0.892	0.055	0.053	0	
267	6519	4	0.684	0.201	0.097	0.018	
268	6582	4	0.72	0.185	0.094	0.001	
269	6633	4	0.836	0.002	0.162	0	
270	6645	4	0.618	0.148	0.234	0	
271	6660	4	0.535	0.334	0.111	0.02	
272	6673	4	0.459	0.139	0.402	0	
273	6716	4	0.948	0.052	0	0	
