index_no	uid	no_of_states	HH	HL	LH	LL	
1	9	2	0	0.544	0.456	0	
2	64	2	0	0.876	0.124	0	
3	78	2	0	0	0.89	0.11	
4	115	2	0	0.986	0.014	0	
5	136	2	0.999	0.001	0	0	
6	175	2	0.933	0.067	0	0	
7	178	2	0	0.979	0.021	0	
8	255	2	0	0.913	0.087	0	
9	256	2	0.592	0.408	0	0	
10	333	2	0.538	0.462	0	0	
11	354	2	0.701	0.299	0	0	
12	408	2	0.988	0.012	0	0	
13	557	2	0	0.069	0.931	0	
14	565	2	0	0.966	0.034	0	
15	726	2	0	0.017	0.983	0	
16	747	2	1	0	0	0	
17	751	2	0	0.117	0.883	0	
18	785	2	1	0	0	0	
19	806	2	0.254	0.231	0.515	0	
20	870	2	0	0.92	0.08	0	
21	987	2	0	0	1	0	
22	1077	2	0.28	0.72	0	0	
23	1094	2	0	0.104	0.896	0	
24	1110	2	0	0	1	0	
25	1119	2	0.992	0.008	0	0	
26	1131	2	0.756	0.244	0	0	
27	1204	2	0	0.047	0.953	0	
28	1236	2	0.913	0.087	0	0	
29	1285	2	0	0.972	0.028	0	
30	1457	2	0	0.181	0.819	0	
31	1478	2	0	0.004	0.996	0	
32	1533	2	0	0.983	0.017	0	
33	1589	2	0.803	0.197	0	0	
34	1607	2	0.98	0.02	0	0	
35	1808	2	0	0.213	0.787	0	
36	1839	2	0	0.226	0.774	0	
37	1923	2	0.753	0.247	0	0	
38	2076	2	0.973	0.027	0	0	
39	2141	2	0.817	0.183	0	0	
40	2294	2	0.922	0.078	0	0	
41	2434	2	0.967	0.033	0	0	
42	2650	2	0	0.217	0.783	0	
43	2708	2	1	0	0	0	
44	2727	2	0.802	0.198	0	0	
45	2764	2	0	0.147	0.853	0	
46	3002	2	0	0.117	0.883	0	
47	3060	2	0	0.75	0.25	0	
48	3072	2	0.845	0.155	0	0	
49	3078	2	0	0.861	0.139	0	
50	3152	2	0	1	0	0	
51	3253	2	0	0.293	0.707	0	
52	3364	2	0	0.074	0.926	0	
53	3441	2	0	0.965	0.035	0	
54	3471	2	0.968	0.032	0	0	
55	3492	2	0	0.084	0.916	0	
56	3732	2	0	0.992	0.008	0	
57	3846	2	0	0.986	0.014	0	
58	3961	2	0.981	0.019	0	0	
59	3970	2	0	0.001	0.999	0	
60	3987	2	0	0.078	0.922	0	
61	3997	2	0	0	1	0	
62	4032	2	0.968	0.032	0	0	
63	4070	2	0	0.344	0.656	0	
64	4100	2	0	0.148	0.852	0	
65	4106	2	0	0.699	0.301	0	
66	4123	2	0	0.082	0.918	0	
67	4182	2	0	0.828	0.172	0	
68	4194	2	0	0.905	0.095	0	
69	4230	2	0	0.955	0.045	0	
70	4332	2	0	0.961	0.039	0	
71	4374	2	0	0.003	0.997	0	
72	4379	2	0	0.054	0.946	0	
73	4408	2	0	0.218	0.782	0	
74	4435	2	0	0.93	0.07	0	
75	4470	2	0	0.936	0.064	0	
76	4471	2	0	0	1	0	
77	4515	2	0	1	0	0	
78	4568	2	1	0	0	0	
79	4620	2	0	0.903	0.097	0	
80	4689	2	0.8	0.2	0	0	
81	4730	2	0	0.644	0.356	0	
82	4881	2	0.797	0.203	0	0	
83	4937	2	0	1	0	0	
84	5190	2	0.779	0.221	0	0	
85	5342	2	0.76	0.24	0	0	
86	5380	2	0.995	0.005	0	0	
87	5390	2	0	0.521	0.479	0	
88	5396	2	0	0.978	0.022	0	
89	5473	2	0	0	0.08	0.92	
90	5637	2	0.856	0.144	0	0	
91	5674	2	0	0.028	0.972	0	
92	5698	2	0.997	0.003	0	0	
93	5768	2	0.828	0.172	0	0	
94	5776	2	1	0	0	0	
95	5946	2	0.955	0.045	0	0	
96	6035	2	0	0.963	0.037	0	
97	6064	2	0	0.808	0.192	0	
98	6096	2	0	0.224	0.776	0	
99	6208	2	0	0.208	0.792	0	
100	6210	2	0	0.732	0.268	0	
101	6245	2	0	0.984	0.016	0	
102	6369	2	0	0.301	0.699	0	
103	6442	2	0.815	0.185	0	0	
104	6580	2	0	0.78	0.22	0	
105	6668	2	0.83	0.17	0	0	
106	6746	2	0	1	0	0	
107	6769	2	0	0	1	0	
108	7061	2	0	0.035	0.965	0	
109	7086	2	0.924	0.076	0	0	
110	7289	2	0.836	0.164	0	0	
111	7308	2	0	0	0.622	0.378	
112	7316	2	0.903	0.097	0	0	
113	7335	2	0	0.897	0.103	0	
114	7386	2	0	0.64	0.36	0	
115	7396	2	0	0.059	0.941	0	
116	7472	2	0	0.012	0.988	0	
117	7545	2	0	0.99	0.01	0	
118	7679	2	0	0.62	0.38	0	
119	7682	2	0	0.97	0.03	0	
120	7735	2	0	0.007	0.993	0	
121	7738	2	0	0.972	0.028	0	
122	7779	2	0	0.077	0.923	0	
123	7852	2	0.917	0.083	0	0	
124	7960	2	0.823	0.177	0	0	
125	7972	2	0	0.677	0.323	0	
126	8044	2	0.976	0.024	0	0	
127	8054	2	0.025	0.975	0	0	
128	8208	2	0.764	0.236	0	0	
129	8317	2	0.827	0.173	0	0	
130	8355	2	0.835	0.165	0	0	
131	8450	2	0.786	0.214	0	0	
132	8484	2	0	0.996	0.004	0	
133	8538	2	0	0.87	0.13	0	
134	8539	2	0	0.051	0.949	0	
135	8563	2	0	1	0	0	
136	8567	2	0	0.285	0.715	0	
137	8610	2	0	0.558	0.442	0	
138	8683	2	0	0.03	0.97	0	
139	8784	2	0	0.09	0.91	0	
140	8789	2	0.931	0.069	0	0	
141	8799	2	0.978	0.022	0	0	
142	8950	2	0	0.033	0.967	0	
143	8956	2	0.974	0.026	0	0	
144	8983	2	0	0.198	0.802	0	
145	8994	2	0	0.125	0.875	0	
146	9006	2	0	0.809	0.191	0	
147	9133	2	0	0.67	0.33	0	
148	9229	2	0.954	0.046	0	0	
149	9294	2	0	0.075	0.925	0	
150	9361	2	0	0.699	0.301	0	
151	9503	2	0	1	0	0	
152	9536	2	0	0.502	0.498	0	
153	9555	2	0	0.941	0.059	0	
154	9571	2	0	0.124	0.876	0	
155	9576	2	0.983	0.017	0	0	
156	9675	2	0.994	0.006	0	0	
157	9721	2	0.933	0.067	0	0	
158	9813	2	0	0.97	0.03	0	
159	9926	2	0	1	0	0	
160	9984	2	0	0.923	0.077	0	
