index_no	uid	no_of_states	HH	HL	LH	LL	
1	1	3	0	0.698	0.297	0.005	
2	7	3	0	0.197	0.795	0.008	
3	8	3	0	0.828	0.172	0	
4	11	3	0	0.039	0.961	0	
5	16	3	0	0.381	0.585	0.034	
6	22	3	0	0.714	0.286	0	
7	25	3	0.405	0.043	0.551	0.001	
8	29	3	0	0.22	0.738	0.042	
9	32	3	0	0.105	0.892	0.003	
10	33	3	0	0.839	0.161	0	
11	35	3	0	0.008	0.812	0.18	
12	36	3	0	0.682	0.304	0.014	
13	41	3	0	0.878	0.122	0	
14	44	3	0	0.964	0.036	0	
15	47	3	0	0.714	0.286	0	
16	48	3	0	0.003	0.997	0	
17	51	3	0	0.812	0.155	0.033	
18	52	3	0	0.419	0.043	0.538	
19	54	3	0	0.987	0.013	0	
20	60	3	0	0.945	0.052	0.003	
21	61	3	0	0.785	0.212	0.003	
22	62	3	0	0.457	0.429	0.114	
23	63	3	0	0.384	0.204	0.412	
24	66	3	0	0.876	0.047	0.077	
25	71	3	0	0.239	0.76	0.001	
26	72	3	0	0.901	0.098	0.001	
27	75	3	0	0.987	0.013	0	
28	89	3	0	0.886	0.114	0	
29	94	3	0	1	0	0	
30	97	3	0	0.033	0.963	0.004	
31	100	3	0	0.683	0.199	0.118	
32	101	3	0	0.925	0.074	0.001	
33	102	3	0	0.267	0.549	0.184	
34	104	3	0	0.168	0.585	0.247	
35	123	3	0	0.213	0.657	0.13	
36	126	3	0	0.022	0.668	0.31	
37	129	3	0	0.229	0.688	0.083	
38	135	3	0	0.776	0.178	0.046	
39	138	3	0	0.975	0.025	0	
40	139	3	0	0.409	0.29	0.301	
41	142	3	0	0.547	0.453	0	
42	145	3	0	0.237	0.669	0.094	
43	148	3	0	0.058	0.941	0.001	
44	149	3	0.145	0.855	0	0	
45	154	3	0	0.816	0.159	0.025	
46	155	3	0	0.428	0.571	0.001	
47	156	3	0	0	1	0	
48	158	3	0	0.038	0.953	0.009	
49	166	3	0	0.023	0.977	0	
50	167	3	0	0.296	0.559	0.145	
51	169	3	0	0.759	0.096	0.145	
52	183	3	0	0.299	0.65	0.051	
53	194	3	0	0.939	0.061	0	
54	199	3	0	0.574	0.387	0.039	
55	209	3	0	0.967	0.033	0	
56	213	3	0	0.841	0.159	0	
57	215	3	0	0.476	0.524	0	
58	218	3	0	0.569	0.431	0	
59	220	3	0	0.986	0.014	0	
60	224	3	0	0.384	0.071	0.545	
61	226	3	0	0.139	0.859	0.002	
62	228	3	0	0.196	0.801	0.003	
63	231	3	0	0.003	0.997	0	
64	233	3	0	0.77	0.214	0.016	
65	235	3	0	0.008	0.992	0	
66	238	3	0	0.054	0.933	0.013	
67	248	3	0	0.058	0.631	0.311	
68	249	3	0	0.278	0.722	0	
69	251	3	0	0.982	0.018	0	
70	262	3	0	0.669	0.331	0	
71	264	3	0	0.042	0.582	0.376	
72	266	3	0	0	1	0	
73	270	3	0	0.135	0.823	0.042	
74	272	3	0	0.606	0.394	0	
75	276	3	0	0.043	0.926	0.031	
76	278	3	0	0.406	0.246	0.348	
77	282	3	0	0.909	0.081	0.01	
78	286	3	0	0.829	0.168	0.003	
79	288	3	0	0.027	0.973	0	
80	290	3	0	0.76	0.087	0.153	
81	294	3	0	0.401	0.5	0.099	
82	298	3	0	0.137	0.828	0.035	
83	300	3	0	0.01	0.99	0	
84	301	3	0	0.341	0.658	0.001	
85	303	3	0	0.331	0.669	0	
86	307	3	0	0.718	0.179	0.103	
87	308	3	0	0.765	0.235	0	
88	315	3	0	0.013	0.967	0.02	
89	320	3	0	0.306	0.694	0	
90	322	3	0	0.035	0.959	0.006	
91	327	3	0	0.713	0.267	0.02	
92	328	3	0	0.038	0.614	0.348	
93	335	3	0	0.241	0.759	0	
94	337	3	0	0.052	0.943	0.005	
95	338	3	0	0.165	0.729	0.106	
96	341	3	0	0.944	0.053	0.003	
97	345	3	0	0.343	0.506	0.151	
98	349	3	0	0.984	0.016	0	
99	357	3	0	0.953	0.046	0.001	
100	359	3	0	0.664	0.316	0.02	
101	361	3	0	0.22	0.78	0	
102	362	3	0	0.077	0.88	0.043	
103	365	3	0	0.343	0.654	0.003	
104	367	3	0	0.076	0.125	0.799	
105	368	3	0	0.12	0.87	0.01	
106	373	3	0	0.913	0.086	0.001	
107	374	3	0	0.064	0.936	0	
108	402	3	0	0.171	0.78	0.049	
109	409	3	0	0.595	0.297	0.108	
110	412	3	0	0.012	0.988	0	
111	415	3	0	0.094	0.843	0.063	
112	420	3	0	0.616	0.117	0.267	
113	430	3	0	0.147	0.853	0	
114	431	3	0	0.001	0.999	0	
115	433	3	0	0.934	0.055	0.011	
116	445	3	0	0	1	0	
117	453	3	0	0.288	0.677	0.035	
118	454	3	0	0.222	0.778	0	
119	456	3	0	0.359	0.572	0.069	
120	459	3	0	0.405	0.576	0.019	
121	466	3	0	0.012	0.988	0	
122	473	3	0	0.403	0.583	0.014	
123	477	3	0	0.124	0.871	0.005	
124	487	3	0	0.829	0.171	0	
125	489	3	0	0.153	0.833	0.014	
126	495	3	0	0.159	0.84	0.001	
127	497	3	0	0.923	0.064	0.013	
128	507	3	0	0.618	0.361	0.021	
129	509	3	0	0.799	0.2	0.001	
130	511	3	0	0.019	0.933	0.048	
131	516	3	0	0.049	0.522	0.429	
132	521	3	0	0.484	0.486	0.03	
133	525	3	0	0.031	0.969	0	
134	527	3	0	0.773	0.227	0	
135	529	3	0	0.151	0.684	0.165	
136	530	3	0	0.795	0.161	0.044	
137	532	3	0	1	0	0	
138	533	3	0	0.796	0.195	0.009	
139	537	3	0	0.775	0.157	0.068	
140	539	3	0	0.569	0.378	0.053	
141	542	3	0	0	1	0	
142	543	3	0	0.166	0.833	0.001	
143	550	3	0	0.015	0.985	0	
144	551	3	0	0.965	0.026	0.009	
145	552	3	0	0.018	0.982	0	
146	566	3	0	0.012	0.862	0.126	
147	570	3	0	0.025	0.975	0	
148	571	3	0	0.632	0.366	0.002	
149	577	3	0	0.58	0.393	0.027	
150	584	3	0	0.128	0.869	0.003	
151	589	3	0	0.905	0.021	0.074	
152	591	3	0	1	0	0	
153	593	3	0	0.767	0.233	0	
154	594	3	0	0.906	0.094	0	
155	596	3	0	0.338	0.431	0.231	
156	599	3	0	0.273	0.714	0.013	
157	610	3	0	0.842	0.158	0	
158	614	3	0	0.002	0.998	0	
159	617	3	0	0.282	0.6	0.118	
160	624	3	0	0.408	0.24	0.352	
161	629	3	0	0.941	0.059	0	
162	638	3	0.656	0.344	0	0	
163	640	3	0	0.155	0.818	0.027	
164	647	3	0	0.067	0.933	0	
165	651	3	0	0.274	0.703	0.023	
166	652	3	0	0	1	0	
167	653	3	0	0.406	0.594	0	
168	656	3	0	0.999	0.001	0	
169	657	3	0	0	0.178	0.822	
170	661	3	0	0.671	0.145	0.184	
171	665	3	0	0.348	0.643	0.009	
172	673	3	0	0.875	0.122	0.003	
173	674	3	0	0.854	0.093	0.053	
174	675	3	0	0.331	0.669	0	
175	676	3	0	1	0	0	
176	678	3	0.606	0.219	0.162	0.013	
177	693	3	0	0.731	0.051	0.218	
178	694	3	0	0.411	0.334	0.255	
179	700	3	0	0.88	0.12	0	
180	702	3	0.098	0.902	0	0	
181	707	3	0	0.131	0.831	0.038	
182	711	3	0	0.723	0.277	0	
183	715	3	0	0.985	0.015	0	
184	716	3	0	0.598	0.332	0.07	
185	718	3	0	0.961	0.037	0.002	
186	719	3	0	0.7	0.259	0.041	
187	725	3	0	0	1	0	
188	735	3	0	0.976	0.023	0.001	
189	736	3	0	0.053	0.947	0	
190	746	3	0	0.87	0.015	0.115	
191	749	3	0	0.797	0.198	0.005	
192	759	3	0	0.836	0.146	0.018	
193	760	3	0	0.827	0.141	0.032	
194	772	3	0	0.68	0.255	0.065	
195	773	3	0	0.603	0.397	0	
196	777	3	0.221	0.697	0.082	0	
197	779	3	0	0.152	0.198	0.65	
198	783	3	0	0.572	0.368	0.06	
199	803	3	0	0.893	0.107	0	
200	810	3	0	0.309	0.527	0.164	
201	816	3	0	0.119	0.873	0.008	
202	817	3	0	0.064	0.923	0.013	
203	819	3	0	0.334	0.437	0.229	
204	820	3	0	0.123	0.809	0.068	
205	823	3	0	0.211	0.432	0.357	
206	831	3	0	0.397	0.603	0	
207	838	3	0	0.018	0.98	0.002	
208	841	3	0	0.244	0.756	0	
209	848	3	0	0.023	0.977	0	
210	849	3	0	0.433	0.567	0	
211	850	3	0	0.815	0.185	0	
212	852	3	0	0.994	0.004	0.002	
213	854	3	0	0.684	0.29	0.026	
214	860	3	0	0.148	0.772	0.08	
215	863	3	0	0.436	0.558	0.006	
216	871	3	0	0.786	0.212	0.002	
217	873	3	0	0.034	0.966	0	
218	880	3	0	0.944	0.056	0	
219	884	3	0	0.905	0.094	0.001	
220	890	3	0	0.827	0.126	0.047	
221	892	3	0	0.002	0.998	0	
222	895	3	0	0.172	0.828	0	
223	897	3	0	0.429	0.401	0.17	
224	910	3	0	1	0	0	
225	919	3	0	0.054	0.946	0	
226	921	3	0	0.292	0.314	0.394	
227	934	3	0	0.71	0.27	0.02	
228	936	3	0	0.005	0.993	0.002	
229	940	3	0	0.009	0.991	0	
230	942	3	0	0.352	0.402	0.246	
231	945	3	0	0.191	0.788	0.021	
232	950	3	0	0.048	0.952	0	
233	951	3	0	0.126	0.644	0.23	
234	952	3	0	0.006	0.992	0.002	
235	954	3	0	0.686	0.307	0.007	
236	957	3	0	0.643	0.353	0.004	
237	961	3	0	0.018	0.982	0	
238	962	3	0	0.117	0.883	0	
239	963	3	0	0.102	0.685	0.213	
240	967	3	0	0.283	0.672	0.045	
241	971	3	0	0.106	0.889	0.005	
242	973	3	0	0.006	0.994	0	
243	974	3	0	0.351	0.546	0.103	
244	982	3	0	0.069	0.925	0.006	
245	985	3	0	0.029	0.971	0	
246	996	3	0	0.854	0.122	0.024	
247	999	3	0	0.61	0.39	0	
248	1003	3	0	0.003	0.997	0	
249	1007	3	0	0.738	0.262	0	
250	1008	3	0	0.27	0.729	0.001	
251	1009	3	0	0.026	0.971	0.003	
252	1012	3	0	0.77	0.142	0.088	
253	1013	3	0	0.029	0.971	0	
254	1015	3	0	0.101	0.898	0.001	
255	1016	3	0	0.146	0.854	0	
256	1029	3	0	0.04	0.959	0.001	
257	1032	3	0.151	0.849	0	0	
258	1048	3	0	0.943	0.041	0.016	
259	1049	3	0	0.011	0.988	0.001	
260	1074	3	0	0.162	0.593	0.245	
261	1081	3	0	0.998	0.002	0	
262	1084	3	0	0.848	0.095	0.057	
263	1086	3	0	0.068	0.932	0	
264	1089	3	0	0	1	0	
265	1101	3	0	0.274	0.726	0	
266	1103	3	0	0.196	0.804	0	
267	1107	3	0	0.447	0.47	0.083	
268	1108	3	0	0.995	0.005	0	
269	1112	3	0	0.987	0.013	0	
270	1121	3	0	0.743	0.249	0.008	
271	1123	3	0	0.349	0.589	0.062	
272	1126	3	0	0.017	0.982	0.001	
273	1129	3	0	0.738	0.257	0.005	
274	1132	3	0	0.962	0.024	0.014	
275	1149	3	0	0.637	0.277	0.086	
276	1151	3	0	0.518	0.249	0.233	
277	1152	3	0	0.058	0.942	0	
278	1154	3	0	0.83	0.17	0	
279	1155	3	0	0.856	0.077	0.067	
280	1156	3	0	0.988	0.012	0	
281	1161	3	0	0.557	0.441	0.002	
282	1171	3	0	0.987	0.012	0.001	
283	1172	3	0	0.03	0.936	0.034	
284	1177	3	0	0.098	0.896	0.006	
285	1178	3	0	0.008	0.992	0	
286	1182	3	0	0.763	0.233	0.004	
287	1185	3	0	0.906	0.087	0.007	
288	1188	3	0	0.302	0.536	0.162	
289	1189	3	0	0.746	0.236	0.018	
290	1190	3	0	0.153	0.846	0.001	
291	1192	3	0	0.108	0.881	0.011	
292	1193	3	0	0.097	0.903	0	
293	1198	3	0	0.968	0.028	0.004	
294	1203	3	0	0.983	0.017	0	
295	1218	3	0	0.943	0.057	0	
296	1221	3	0	1	0	0	
297	1222	3	0	0.542	0.435	0.023	
298	1226	3	0	0.999	0.001	0	
299	1231	3	0	0.407	0.591	0.002	
300	1239	3	0	0.542	0.441	0.017	
301	1242	3	0	0.773	0.227	0	
302	1247	3	0	0.502	0.498	0	
303	1249	3	0	0.906	0.093	0.001	
304	1250	3	0	0.805	0.19	0.005	
305	1258	3	0	0.209	0.788	0.003	
306	1268	3	0	0.254	0.582	0.164	
307	1269	3	0	0.343	0.656	0.001	
308	1278	3	0	0.155	0.828	0.017	
309	1279	3	0	0.025	0.964	0.011	
310	1281	3	0	0.587	0.279	0.134	
311	1282	3	0	0.259	0.741	0	
312	1286	3	0	0.036	0.958	0.006	
313	1292	3	0.121	0.879	0	0	
