HH	HH	HH	0.02576	70	2717
HH	HH	HL	0.04085	111	2717
HH	HH	LH	0.01546	42	2717
HH	HH	LL	0.10931	297	2717
HH	HL	HL	0.03165	86	2717
HH	HL	LH	0.00736	20	2717
HH	HL	LL	0.16158	439	2717
HH	LH	LH	0.03644	99	2717
HH	LH	LL	0.11299	307	2717
HH	LL	LL	0.0795	216	2717
HL	HL	HL	0.00368	10	2717
HL	HL	LH	0.00147	4	2717
HL	HL	LL	0.04601	125	2717
HL	LH	LH	0.00221	6	2717
HL	LH	LL	0.07398	201	2717
HL	LL	LL	0.16452	447	2717
LH	LH	LH	0.00994	27	2717
LH	LH	LL	0.03386	92	2717
LH	LL	LL	0.03092	84	2717
LL	LL	LL	0.01251	34	2717
