HH	HH	HH	HH	0.02814	48	1706
HH	HH	HH	HL	0.02931	50	1706
HH	HH	HH	LH	0.02345	40	1706
HH	HH	HH	LL	0.03927	67	1706
HH	HH	HL	HL	0.02696	46	1706
HH	HH	HL	LH	0.01817	31	1706
HH	HH	HL	LL	0.09086	155	1706
HH	HH	LH	LH	0.02696	46	1706
HH	HH	LH	LL	0.07913	135	1706
HH	HH	LL	LL	0.04396	75	1706
HH	HL	HL	HL	0.00703	12	1706
HH	HL	HL	LH	0.00586	10	1706
HH	HL	HL	LL	0.06389	109	1706
HH	HL	LH	LH	0.00821	14	1706
HH	HL	LH	LL	0.10434	178	1706
HH	HL	LL	LL	0.11372	194	1706
HH	LH	LH	LH	0.01583	27	1706
HH	LH	LH	LL	0.05803	99	1706
HH	LH	LL	LL	0.04279	73	1706
HH	LL	LL	LL	0.00821	14	1706
HL	HL	HL	HL	0.00117	2	1706
HL	HL	HL	LH	0.0	0	1706
HL	HL	HL	LL	0.00645	11	1706
HL	HL	LH	LH	0.00176	3	1706
HL	HL	LH	LL	0.01055	18	1706
HL	HL	LL	LL	0.034	58	1706
HL	LH	LH	LH	0.0	0	1706
HL	LH	LH	LL	0.034	58	1706
HL	LH	LL	LL	0.03986	68	1706
HL	LL	LL	LL	0.01524	26	1706
LH	LH	LH	LH	0.00293	5	1706
LH	LH	LH	LL	0.00234	4	1706
LH	LH	LL	LL	0.00996	17	1706
LH	LL	LL	LL	0.00586	10	1706
LL	LL	LL	LL	0.00176	3	1706
