uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
3.0	2.0	18.716417	9.051202	89.534852	23.689991	0.6133930000000001	0.49326499999999995	0.157722	0.269377	9.935879	6.0	22.599474	58.509009999999996	4.0	0.021449	5.2061720000000005	5.0	94.062424	3.778628	1.0	14.307544	16.027651000000002	5.0	9.217144000000001	36.628104	6.0	44.965381	2.7329950000000003	6.0	0.013493000000000002	3.677607	4.0	65.64796700000001	0.671952	2.0	30.130482
9.0	2.0	79.825636	1.001352	59.410371	34.500578000000004	0.44838199999999995	0.468704	0.379178	0.448034	21.950603	4.0	47.075571999999994	2.708444	2.0	0.014	3.8205690000000003	2.0	32.15631	3.634122	5.0	74.975821	5.013355000000001	5.0	1.264995	56.311776	2.0	88.589883	14.186701999999999	3.0	0.074084	1.795942	6.0	66.768199	5.347129	6.0	80.77328399999999
24.0	2.0	43.028444	24.961149	11.297858	50.265934	0.5067159999999999	0.945892	0.47040299999999996	0.860643	17.076802	5.0	72.56491700000001	69.570077	5.0	0.056685	2.268437	2.0	64.497745	6.155161	5.0	69.033601	18.652697	1.0	18.996757000000002	37.995634	2.0	49.583816999999996	6.576375	3.0	0.022763	1.569444	2.0	15.431142000000001	4.587468	3.0	76.039307
35.0	2.0	73.30788100000001	3.3583010000000004	75.312557	34.249615999999996	0.641239	0.203833	0.728787	0.17498699999999998	7.380375999999999	6.0	26.689573	68.067029	5.0	0.017422999999999998	5.242863	3.0	7.682078999999999	4.139018	6.0	19.983354000000002	19.388588000000002	3.0	18.299246	43.823861	3.0	43.199006	8.034937	2.0	0.010253	5.112908999999999	2.0	52.414634	0.151792	4.0	56.789657999999996
37.0	2.0	18.942119	8.556362	33.644126	94.43196800000001	0.310668	0.584453	0.631727	0.9816959999999999	18.790005999999998	6.0	97.402703	42.091676	4.0	0.010509000000000001	5.884053	4.0	93.55969300000001	1.067669	6.0	5.528073	10.257785	1.0	32.652345000000004	45.5491	6.0	51.636522	17.425971	1.0	0.015212	1.9344759999999999	2.0	24.256624	3.562647	4.0	29.835113
78.0	2.0	52.456013	10.037934	7.351224	58.93010400000001	0.49428599999999995	0.249953	0.15323900000000001	0.3295	23.34139	1.0	9.529206	3.935112	3.0	0.011306	1.349767	1.0	95.966588	5.157741000000001	2.0	9.771887	14.268185	4.0	35.92949	25.159015	6.0	56.783625	13.306007999999999	3.0	0.010412000000000001	2.3295369999999997	6.0	17.669929999999997	4.943537	2.0	31.837870000000002
85.0	2.0	3.766222	78.018511	45.448677	62.564629000000004	0.30683299999999997	0.451004	0.284773	0.542153	11.936013	3.0	87.02877600000001	16.557138000000002	1.0	0.07727200000000001	4.249454	5.0	83.030197	3.266073	2.0	38.015482	19.5765	5.0	17.959329999999998	31.406784000000002	3.0	88.934372	23.101248000000002	6.0	0.9987030000000001	2.913219	5.0	55.30192099999999	1.893214	3.0	35.296052
87.0	2.0	2.400635	82.96807700000001	22.955361	66.14878900000001	0.46501499999999996	0.958901	0.47047100000000003	0.141844	5.475501	1.0	84.179535	69.69027	3.0	0.011653	4.407051999999999	1.0	56.03479399999999	5.107861	5.0	85.83702	12.891139	6.0	17.635261	65.85934300000001	1.0	85.50667800000001	18.240736	2.0	0.374299	1.896004	6.0	38.570254	4.060094	2.0	60.431991000000004
138.0	2.0	74.132856	7.945614999999999	54.444223	97.249325	0.40783	0.680347	0.795475	0.271648	15.43441	3.0	39.419847	1.575407	5.0	0.011067	4.610837	1.0	96.03093299999999	6.140411	2.0	21.447881	7.092605000000001	6.0	11.593658999999999	70.759183	4.0	30.159303	13.526821	6.0	0.011826999999999999	2.918687	2.0	23.310826000000002	3.142394	4.0	38.728349
197.0	2.0	46.027167	6.7226360000000005	85.236145	56.95248	0.428083	0.945989	0.678331	0.973	7.677425	4.0	22.946232000000002	12.625747	5.0	0.016337	3.6860239999999997	1.0	44.355185	1.561244	3.0	19.310648	10.827532000000001	6.0	59.218412	33.593344	3.0	40.211456	19.852089000000003	2.0	0.023443000000000002	2.177616	2.0	65.55277199999999	2.38679	2.0	89.682523
