uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
20.0	2.0	43.606095	44.242912	77.201697	7.109096000000001	0.491022	0.159366	0.229521	0.652076	22.200352	2.0	3.601347	29.380951	4.0	0.05179500000000001	5.123703	2.0	9.471689	5.296041000000001	5.0	30.324252	6.497751999999999	2.0	83.818878	15.869797	2.0	41.857696999999995	10.191217	2.0	0.052648	2.0607330000000004	4.0	58.436682999999995	1.198528	1.0	62.916738
36.0	2.0	42.586324	95.11930699999999	63.31280600000001	23.815169	0.2591	0.535995	0.201908	0.559634	4.216309	2.0	68.02322	70.163912	6.0	0.043057	0.22807	5.0	57.614274	3.190224	1.0	3.304965	5.2416339999999995	6.0	37.710091999999996	53.973434999999995	1.0	96.733427	18.425796	1.0	0.029937000000000002	4.429187000000001	2.0	56.407525	4.546426	2.0	59.787482999999995
46.0	2.0	86.027029	76.547151	91.174886	56.39984499999999	0.44596800000000003	0.213731	0.6758	0.720414	5.099023000000001	1.0	47.373922	2.493502	4.0	0.120799	2.026048	2.0	62.080262	3.155017	1.0	1.056704	0.49884300000000004	3.0	27.482278000000004	31.265926	5.0	88.777704	15.845208	4.0	0.021818	0.11655399999999999	4.0	8.263236000000001	0.612395	3.0	74.507044
68.0	2.0	92.029432	90.894653	71.107912	23.064723	0.197026	0.473558	0.516917	0.93445	10.636918	5.0	32.793427	6.462249	6.0	0.018512999999999998	1.260757	2.0	83.198328	3.417497	5.0	21.383086	1.011707	2.0	22.012903	5.7305150000000005	5.0	47.569287	13.936138	5.0	0.010213	3.9161300000000003	3.0	55.241366000000006	0.868791	4.0	46.345281
249.0	2.0	78.80690899999999	23.126781	43.619753	91.920936	0.5239560000000001	0.174233	0.635246	0.14247100000000001	16.894866	1.0	21.410956	24.327624	3.0	0.029570999999999997	1.8378189999999999	1.0	99.990768	0.45847200000000005	6.0	9.491745	0.942365	3.0	18.471937	53.109554	5.0	89.277239	17.59147	1.0	0.01075	0.593381	3.0	39.31847	3.4196230000000005	4.0	67.35249
397.0	2.0	40.080928	59.706221	44.325401	57.604556	0.21791	0.703447	0.43924300000000005	0.9658959999999999	13.729194	2.0	1.725454	60.359541	4.0	0.015806	3.329989	1.0	50.209207	1.927713	1.0	1.0802049999999999	8.771948	3.0	20.71084	3.907182	6.0	28.440043	14.693348	2.0	0.014641999999999999	0.431453	4.0	95.28595899999999	5.909739	1.0	55.40201
434.0	2.0	52.804035	59.853987	57.95713000000001	27.945184	0.600878	0.6472640000000001	0.142127	0.8897450000000001	22.853525	3.0	42.327463	18.295078	3.0	0.43824700000000005	3.852731	4.0	80.361129	1.048894	1.0	1.6824700000000001	17.65259	1.0	54.768654000000005	55.973239	1.0	11.889722	18.182697	3.0	0.032436	5.147874	2.0	42.969774	5.06715	5.0	81.45755600000001
497.0	2.0	23.702979	95.611184	18.780668	76.522711	0.906884	0.5517920000000001	0.72429	0.173869	11.334457	4.0	2.1722349999999997	70.74594	5.0	0.013064	0.596331	3.0	40.533689	2.743325	4.0	4.146779	18.483562	1.0	45.067282	1.512856	6.0	43.890401000000004	18.353417999999998	2.0	0.041788	4.336790000000001	2.0	88.188076	0.301234	4.0	62.586142
526.0	2.0	87.025482	18.983754	88.1532	89.016363	0.498212	0.612359	0.584605	0.567175	12.128052	2.0	50.223584	11.615392	1.0	0.013129	5.613182	1.0	58.41724	5.376062	4.0	2.948555	3.5316980000000004	1.0	81.862872	36.757707	3.0	48.296819	1.901473	1.0	0.023438	3.739	5.0	37.783463	4.563084	5.0	84.853373
588.0	2.0	66.406834	90.832012	41.996165999999995	46.400565	0.410534	0.23557199999999998	0.8096760000000001	0.660567	3.247626	6.0	8.576655	15.684726999999999	4.0	0.017578	2.486395	1.0	83.933481	5.103717	2.0	3.5334519999999996	13.864442000000002	5.0	16.174739000000002	8.95067	6.0	26.809714000000003	14.889226999999998	3.0	0.211815	2.525394	2.0	4.591568	4.608421	4.0	38.855538
723.0	2.0	37.349662	55.488921	32.220818	46.383663	0.387373	0.347445	0.172489	0.379375	7.860057	5.0	80.343335	46.223113	1.0	0.019944999999999997	3.006278	3.0	77.400163	5.295151000000001	5.0	6.990212	5.206992	1.0	53.27555	10.428286	3.0	74.00909	15.859229000000001	3.0	0.036176	5.538024	3.0	59.12289200000001	4.179949	5.0	61.142555
738.0	2.0	5.3373669999999995	79.098786	94.429038	42.783905	0.181953	0.891782	0.755142	0.821157	13.296526	4.0	48.565012	31.996181	4.0	0.011276999999999999	2.860084	6.0	29.869335999999997	5.8141169999999995	6.0	3.828793	10.990742	1.0	55.950717000000004	50.027161	4.0	9.059656	5.356481	1.0	0.017065	0.718375	5.0	3.8603099999999997	1.294513	5.0	50.448403000000006
806.0	2.0	70.64908199999999	98.74225200000001	74.816637	17.991371	0.899633	0.763523	0.39116599999999996	0.41731	18.848948	2.0	89.62809	74.798103	3.0	0.016198	0.5529930000000001	2.0	74.754889	5.149838	6.0	4.854747	16.612722	1.0	17.682338	45.269221	5.0	3.670462	23.379423000000003	2.0	0.042397000000000004	0.7264189999999999	5.0	80.695167	0.498174	1.0	22.716484
857.0	2.0	20.025035	37.976906	68.09337099999999	48.31463	0.765993	0.44996800000000003	0.11694700000000001	0.846146	20.960587	2.0	2.121793	63.106692	3.0	0.035535000000000004	4.01353	1.0	3.6507080000000003	3.6398260000000002	3.0	71.277767	9.399535	2.0	69.673446	46.284129	4.0	26.972607	8.638995	5.0	0.059667	1.9201279999999998	2.0	78.283908	1.5255299999999998	1.0	99.423948
926.0	2.0	77.330914	2.452731	95.88657099999999	81.068676	0.37687800000000005	0.21851700000000002	0.321198	0.713597	12.521417999999999	2.0	15.231886	71.480644	1.0	0.01248	1.130694	4.0	20.326446	3.136654	6.0	2.4369080000000003	0.832981	2.0	97.946297	66.909047	6.0	39.854773	4.702625	1.0	0.015827	3.783409	4.0	58.056787	1.929602	6.0	78.025726
936.0	2.0	20.717882	62.103067	62.047665	87.119067	0.25772	0.21753000000000003	0.7084090000000001	0.295224	22.256307	4.0	30.634476	63.787954000000006	2.0	0.079199	6.079157	1.0	15.282564	4.978027	4.0	14.733297	8.131780000000001	1.0	35.272314	45.696212	6.0	24.654834	15.170739000000001	4.0	0.0282	0.914218	3.0	29.299314000000003	5.7731010000000005	5.0	27.296087
987.0	2.0	81.81681800000001	71.270778	26.614221999999998	39.876715999999995	0.659916	0.667859	0.127651	0.43056400000000006	2.809917	1.0	52.508345	56.343759	2.0	0.012739	1.067312	4.0	32.096802000000004	0.354025	5.0	58.867624	2.776582	6.0	6.172756	62.063993	1.0	47.609199	21.177682	6.0	0.083743	1.7986939999999998	6.0	99.01221600000001	0.328888	3.0	95.22861
1014.0	2.0	67.136774	95.88582199999999	20.141042000000002	88.33900600000001	0.635702	0.41068999999999994	0.14384	0.37206300000000003	2.778676	3.0	48.256921000000006	65.157108	3.0	0.026967	2.408362	1.0	93.969474	0.278688	2.0	80.841489	1.98681	1.0	1.2166629999999998	46.560235999999996	6.0	96.32745	19.832085	1.0	0.011287	1.736632	2.0	70.249215	2.5855759999999997	1.0	78.31424799999999
1063.0	2.0	48.287182	64.898637	84.374348	43.832065	0.573894	0.142999	0.153349	0.807824	4.707771	1.0	9.64948	29.829161	4.0	0.018054	6.049856	4.0	90.925426	3.6731059999999998	5.0	54.136867	9.246521000000001	1.0	1.524699	25.422601	1.0	6.210329	15.724923	2.0	0.011521	4.601334	2.0	33.723618	5.571623000000001	4.0	44.297105
1091.0	2.0	48.662052	42.526957	15.245022	93.532444	0.22115700000000002	0.250506	0.6546529999999999	0.87705	22.831903	4.0	20.63863	60.275826	5.0	0.099048	3.6779010000000003	1.0	69.466102	4.878189	1.0	60.861437	1.0010700000000001	1.0	49.491794	55.713013000000004	1.0	29.846683000000002	16.472053	6.0	0.013072	4.068484	4.0	64.63701400000001	5.786471	2.0	15.255582999999998
