uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
224.0	2.0	67.53609200000001	96.26257700000001	47.913128	68.00688000000001	0.30882800000000005	0.214996	0.829398	0.448175	4.542393	1.0	37.626822	23.081881	5.0	0.023334999999999998	2.692872	3.0	39.12632	3.464143	4.0	16.733938000000002	17.583138	3.0	38.663426	25.130109	4.0	9.05434	6.230308	6.0	37.825887	6.937439	5.0	28.239043	19.773321	5.0	18.122135999999998
379.0	2.0	47.707224	71.55367	84.978272	23.445025	0.587971	0.29489899999999997	0.8937	0.25109499999999996	2.053433	1.0	97.388228	4.025734	6.0	0.010305	4.3402519999999996	1.0	88.01258299999999	4.455808	5.0	74.456579	23.445426	4.0	24.277219	21.548415	5.0	35.149311	23.528122	2.0	90.646775	2.999339	6.0	4.920801	12.461959	6.0	9.35416
381.0	2.0	64.374127	54.377258	48.780635	25.56196	0.795899	0.671177	0.7572939999999999	0.302297	16.560612	6.0	15.40843	23.949609	3.0	0.01082	1.341388	2.0	51.475057	3.547825	5.0	55.2787	5.534269	6.0	7.360724	22.565487	3.0	71.523883	20.061553	3.0	39.687884999999994	5.805427	3.0	88.900987	14.82519	5.0	53.336835
442.0	2.0	29.557396999999998	89.06219200000001	61.333289	70.878	0.674027	0.768299	0.511637	0.667683	0.5695100000000001	1.0	58.066835	12.798832	3.0	0.010508	0.626152	4.0	17.068823000000002	0.633652	3.0	44.256288	7.974807000000001	6.0	5.390423999999999	14.553177999999999	1.0	75.894051	19.944879	2.0	59.267952	18.692943	1.0	90.681974	8.668544	3.0	73.486179
660.0	2.0	98.566351	90.66139799999999	64.35444100000001	25.169401999999998	0.6520520000000001	0.552131	0.8573879999999999	0.902954	9.573084	4.0	1.812254	7.448672999999999	6.0	0.014881	3.3243150000000004	4.0	61.698882999999995	3.592886	4.0	86.937822	22.447884	2.0	20.217512	14.589535999999999	2.0	44.896328000000004	19.640385000000002	6.0	92.47408	17.619973	5.0	51.180421	10.525941	1.0	62.609615000000005
677.0	2.0	68.359983	70.749741	88.132626	79.574118	0.703361	0.495562	0.62524	0.346612	9.324295	5.0	7.956364	13.288858	5.0	0.031208999999999997	1.449763	3.0	39.886070000000004	3.7528620000000004	5.0	89.30160500000001	23.542143	5.0	2.3441330000000002	18.990083	6.0	97.02580400000001	12.971575	6.0	28.786315000000002	11.859619	6.0	46.755068	23.51716	3.0	58.05915699999999
690.0	2.0	7.760736	78.011014	55.07690899999999	89.519787	0.10351199999999999	0.233569	0.40384699999999996	0.401586	1.99764	2.0	15.472829999999998	7.4452110000000005	2.0	0.010175	0.707585	3.0	36.169140000000006	2.290947	1.0	72.181828	11.598908999999999	5.0	23.558185	12.992818	2.0	96.934354	20.82167	2.0	22.970966	11.144149	1.0	35.463196999999994	5.381439	2.0	64.386224
725.0	2.0	43.981733	87.652854	15.804222	42.221826	0.360719	0.49779300000000004	0.344781	0.94089	12.712549000000001	6.0	10.346733	1.3688280000000002	2.0	0.013203999999999999	1.711739	5.0	8.479591000000001	2.2123909999999998	2.0	83.217836	16.690906	2.0	47.415956	17.609175	3.0	51.783919	16.968771	5.0	8.821482000000001	11.818308	6.0	65.628661	23.220023	6.0	37.482246999999994
755.0	2.0	98.314545	93.917836	88.12301	18.261846	0.911142	0.168363	0.506081	0.23743499999999998	17.241956	3.0	35.219085	19.250107999999997	5.0	0.01551	3.106799	4.0	1.1165610000000001	5.150109	6.0	53.407375	13.167045000000002	3.0	12.419853999999999	21.079623	4.0	1.894378	14.237065	5.0	64.173381	14.295910999999998	3.0	70.06406700000001	2.07477	3.0	13.443954000000002
788.0	2.0	51.224121999999994	49.030087	34.138517	69.48755600000001	0.31613800000000003	0.180067	0.256116	0.772724	23.835816	1.0	47.728002000000004	19.832769	5.0	0.013381	0.32598499999999997	5.0	47.646437	5.896041	6.0	51.141836	2.638646	1.0	19.734382	0.73778	6.0	46.254863	14.248101	6.0	5.192635	16.669559	5.0	70.569854	4.026224	6.0	18.197117000000002
