uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
2.0	3.0	6.113368	20.978156	33.530907	96.739409	0.309768	0.682747	0.5290600000000001	0.271546	2.6713419999999997	2.0	60.40821999999999	32.579189	3.0	0.029057	2.572396	1.0	31.472348999999998	1.380183	2.0	45.805503	4.2182889999999995	5.0	91.885699	60.175495	3.0	21.014449	12.230005	6.0	0.016636	11.79392	4.0	64.843528
3.0	3.0	74.92065699999999	71.36845699999999	74.209303	4.974711	0.921488	0.76652	0.32218600000000003	0.14064200000000002	19.317448000000002	6.0	11.581407	2.440042	1.0	0.016896	2.692545	4.0	12.812292999999999	5.63732	3.0	11.326827999999999	22.807945999999998	1.0	29.038758	29.658398	2.0	38.521421000000004	16.230331	5.0	0.018574	16.490897	5.0	37.620942
7.0	3.0	36.409026000000004	80.28094300000001	36.724837	60.141659	0.6595840000000001	0.49021000000000003	0.34906	0.321764	10.729383	5.0	57.471546	48.600767	3.0	0.016587	5.825458	6.0	48.256611	2.653739	5.0	49.775746000000005	2.112079	6.0	37.010971999999995	46.00055	2.0	51.657588	8.23503	5.0	0.054444000000000006	12.546042	4.0	68.690341
18.0	3.0	42.836904	44.135749	52.206919	31.482163	0.476621	0.8382370000000001	0.310961	0.7179260000000001	12.612583	4.0	63.043131	15.742828	6.0	0.010546	3.3029879999999996	4.0	95.421272	3.77419	3.0	8.510284	21.272294	2.0	71.150287	71.21445200000001	4.0	44.927407	15.744342999999999	4.0	0.010202	6.803895	6.0	28.023419
46.0	3.0	19.02501	32.024296	61.561312	95.313581	0.971216	0.393111	0.516649	0.68279	16.886125	3.0	7.647528	8.712002	1.0	0.016291999999999997	4.85114	4.0	58.841802	3.0152490000000003	6.0	78.157177	16.616220000000002	3.0	77.222151	49.552544	3.0	92.139715	0.689612	4.0	0.017509999999999998	3.364286	6.0	52.523024
60.0	3.0	25.228229000000002	95.598952	10.019805	95.145645	0.257728	0.9700409999999999	0.46174	0.730072	5.194757	5.0	82.840657	62.634536	6.0	0.030474	4.984196	4.0	57.541337	0.768092	2.0	96.957747	15.657304000000002	5.0	91.06180400000001	37.079971	5.0	57.664304	22.104001999999998	2.0	0.016281	14.765932000000001	4.0	78.004579
61.0	3.0	30.343969	84.097481	44.396685	32.127724	0.546094	0.403853	0.196701	0.406981	21.314304999999997	2.0	7.7070669999999994	58.880536	2.0	0.020868	4.210103	5.0	83.636043	5.879935	1.0	22.993191	13.683582000000001	1.0	47.157768	49.927405	5.0	64.700938	13.136317000000002	5.0	0.012878	11.319057	5.0	27.921801000000002
64.0	3.0	84.54160300000001	72.29276	40.696906	47.595401	0.296567	0.914243	0.627826	0.547673	20.555939000000002	5.0	55.810749	70.368125	6.0	0.06691699999999999	1.92345	1.0	11.579201	3.8640849999999998	1.0	83.659611	5.547203	4.0	64.76720999999999	58.929689	4.0	78.535989	21.451589000000002	2.0	0.01602	7.941078999999999	3.0	80.558992
79.0	3.0	50.617196	55.24845	46.293271999999995	18.792367000000002	0.835419	0.390403	0.5000939999999999	0.371936	10.026172	5.0	49.481048	19.616684	5.0	0.013375	4.764641	4.0	58.119455	4.985237000000001	6.0	36.864902	7.100103999999999	6.0	29.342713	56.578357	2.0	60.269706000000006	2.017868	5.0	0.014453	17.198272	3.0	83.521038
96.0	3.0	28.483915999999997	53.688076	62.169782999999995	20.698754	0.63957	0.658557	0.749324	0.99275	17.742182	3.0	79.88655899999999	44.716581	4.0	0.017194	3.0279130000000003	5.0	89.068765	5.844599	3.0	46.845009999999995	9.272749000000001	5.0	38.078781	21.955988	3.0	67.63602900000001	4.524963	4.0	0.012239	10.113175	4.0	43.4292
