bifurcation_parameter	HH	HL	LH	LL	
0.1	1000	0	0	1	0	
0.1001	1000	0	0	1	0	
0.1002	1000	0	0	1	0	
0.1003	1000	0	0	1	0	
0.1004	1000	0	0	1	0	
0.1005	1000	0	0	1	0	
0.1006	1000	0	0	1	0	
0.1007	1000	0	0	1	0	
0.1008	1000	0	0	1	0	
0.1009	1000	0	0	1	0	
0.101	1000	0	0	1	0	
0.1011	1000	0	0	1	0	
0.1012	1000	0	0	1	0	
0.1013	1000	0	0	1	0	
0.1014	1000	0	0	1	0	
0.1015	1000	0	0	1	0	
0.1016	1000	0	0	1	0	
0.1017	1000	0	0	1	0	
0.1018	1000	0	0	1	0	
0.1019	1000	0	0	1	0	
0.102	1000	0	0	1	0	
0.1021	1000	0	0	1	0	
0.1022	1000	0	0	1	0	
0.1023	1000	0	0	1	0	
0.1024	1000	0	0	1	0	
0.1025	1000	0	0	1	0	
0.1026	1000	0	0	1	0	
0.1027	1000	0	0	1	0	
0.1028	1000	0	0	1	0	
0.1029	1000	0	0	1	0	
0.103	1000	0	0	1	0	
0.1031	1000	0	0	1	0	
0.1032	1000	0	0	1	0	
0.1033	1000	0	0	1	0	
0.1034	1000	0	0	1	0	
0.1035	1000	0	0	1	0	
0.1036	1000	0	0	1	0	
0.1037	1000	0	0	1	0	
0.1038	1000	0	0	1	0	
0.1039	1000	0	0	1	0	
0.104	1000	0	0	1	0	
0.1041	1000	0	0	1	0	
0.1042	1000	0	0	1	0	
0.1043	1000	0	0	1	0	
0.1044	1000	0	0	1	0	
0.1045	1000	0	0	1	0	
0.1046	1000	0	0	1	0	
0.1047	1000	0	0	1	0	
0.1048	1000	0	0	1	0	
0.1049	1000	0	0	1	0	
0.105	1000	0	0	1	0	
0.1051	1000	0	0	1	0	
0.1052	1000	0	0	1	0	
0.1053	1000	0	0	1	0	
0.1054	1000	0	0	1	0	
0.1055	1000	0	0	1	0	
0.1056	1000	0	0	1	0	
0.1057	1000	0	0	1	0	
0.1058	1000	0	0	1	0	
0.1059	1000	0	0	1	0	
0.106	1000	0	0	1	0	
0.1061	1000	0	0	1	0	
0.1062	1000	0	0	1	0	
0.1063	1000	0	0	1	0	
0.1064	1000	0	0	1	0	
0.1065	1000	0	0	1	0	
0.1066	1000	0	0	1	0	
0.1067	1000	0	0	1	0	
0.1068	1000	0	0	1	0	
0.1069	1000	0	0	1	0	
0.107	1000	0	0	1	0	
0.1071	1000	0	0	1	0	
0.1072	1000	0	0	1	0	
0.1073	1000	0	0	1	0	
0.1074	1000	0	0	1	0	
0.1075	1000	0	0	1	0	
0.1076	1000	0	0	1	0	
0.1077	1000	0	0	1	0	
0.1078	1000	0	0	1	0	
0.1079	1000	0	0	1	0	
0.108	1000	0	0	1	0	
0.1081	1000	0	0	1	0	
0.1082	1000	0	0	1	0	
0.1083	1000	0	0.066	0.934	0	
0.1084	1000	0	0.086	0.914	0	
0.1085	1000	0	0.078	0.922	0	
0.1086	1000	0	0.077	0.923	0	
0.1087	1000	0	0.087	0.913	0	
0.1088	1000	0	0.079	0.921	0	
0.1089	1000	0	0.084	0.916	0	
0.109	1000	0	0.084	0.916	0	
0.1091	1000	0	0.084	0.916	0	
0.1092	1000	0	0.081	0.919	0	
0.1093	1000	0	0.079	0.921	0	
0.1094	1000	0	0.085	0.915	0	
0.1095	1000	0	0.09	0.91	0	
0.1096	1000	0	0.083	0.917	0	
