bifurcation_parameter	HH	HL	LH	LL	
0.2587	1000	0	0.154	0.846	0	
0.258701	1000	0	0.168	0.832	0	
0.258702	1000	0	0.126	0.874	0	
0.258703	1000	0	0.16	0.84	0	
0.258704	1000	0	0.159	0.841	0	
0.258705	1000	0	0.164	0.836	0	
0.258706	1000	0	0.148	0.852	0	
0.258707	1000	0	0.141	0.859	0	
0.258708	1000	0	0.156	0.844	0	
0.258709	1000	0	0.15	0.85	0	
0.25871	1000	0	0.156	0.844	0	
0.258711	1000	0	0.146	0.854	0	
0.258712	1000	0	0.164	0.836	0	
0.258713	1000	0	0.141	0.859	0	
0.258714	1000	0	0.153	0.847	0	
0.258715	1000	0	0.164	0.836	0	
0.258716	1000	0	0.142	0.858	0	
0.258717	1000	0	0.154	0.846	0	
0.258718	1000	0	0.152	0.848	0	
0.258719	1000	0	0.168	0.832	0	
0.25872	1000	0	0.144	0.856	0	
0.258721	1000	0	0.142	0.858	0	
0.258722	1000	0	0.144	0.856	0	
0.258723	1000	0	0.159	0.841	0	
0.258724	1000	0	0.152	0.848	0	
0.258725	1000	0	0.142	0.858	0	
0.258726	1000	0	0.153	0.847	0	
0.258727	1000	0	0.152	0.848	0	
0.258728	1000	0	0.155	0.845	0	
0.258729	1000	0	0.151	0.849	0	
0.25873	1000	0	0.138	0.862	0	
0.258731	1000	0	0.163	0.837	0	
0.258732	1000	0	0.161	0.839	0	
0.258733	1000	0	0.142	0.858	0	
0.258734	1000	0	0.161	0.839	0	
0.258735	1000	0	0.149	0.851	0	
0.258736	1000	0	0.154	0.846	0	
0.258737	1000	0	0.156	0.844	0	
0.258738	1000	0	0.137	0.863	0	
0.258739	1000	0	0.145	0.855	0	
0.25874	1000	0	0.136	0.864	0	
0.258741	1000	0	0.146	0.854	0	
0.258742	1000	0	0.154	0.846	0	
0.258743	1000	0	0.157	0.843	0	
0.258744	1000	0	0.168	0.832	0	
0.258745	1000	0	0.154	0.846	0	
0.258746	1000	0	0.125	0.875	0	
0.258747	1000	0	0.142	0.858	0	
0.258748	1000	0	0.141	0.859	0	
0.258749	1000	0	0.149	0.851	0	
0.25875	1000	0	0.149	0.851	0	
0.258751	1000	0	0.161	0.839	0	
0.258752	1000	0	0.145	0.855	0	
0.258753	1000	0	0.149	0.851	0	
0.258754	1000	0	0.133	0.867	0	
0.258755	1000	0	0.153	0.847	0	
0.258756	1000	0	0.138	0.862	0	
0.258757	1000	0	0.145	0.855	0	
0.258758	1000	0	0.155	0.845	0	
0.258759	1000	0	0.152	0.848	0	
0.25876	1000	0	0.14	0.86	0	
0.258761	1000	0	0.147	0.853	0	
0.258762	1000	0	0.133	0.867	0	
0.258763	1000	0	0.144	0.856	0	
0.258764	1000	0	0.144	0.856	0	
0.258765	1000	0	0.143	0.857	0	
0.258766	1000	0	0.136	0.864	0	
0.258767	1000	0	0.146	0.854	0	
0.258768	1000	0	0.154	0.846	0	
0.258769	1000	0	0.149	0.851	0	
0.25877	1000	0	0.154	0.846	0	
0.258771	1000	0	0.145	0.855	0	
0.258772	1000	0	0.155	0.845	0	
0.258773	1000	0	0.128	0.872	0	
0.258774	1000	0	0.134	0.866	0	
0.258775	1000	0	0.161	0.839	0	
0.258776	1000	0	0.161	0.839	0	
0.258777	1000	0	0.146	0.854	0	
0.258778	1000	0	0.153	0.847	0	
0.258779	1000	0	0.143	0.857	0	
0.25878	1000	0	0.155	0.845	0	
0.258781	1000	0	0.169	0.831	0	
0.258782	1000	0	0.147	0.853	0	
0.258783	1000	0	0.148	0.852	0	
0.258784	1000	0	0.15	0.85	0	
0.258785	1000	0	0.158	0.842	0	
0.258786	1000	0	0.152	0.848	0	
0.258787	1000	0	0.148	0.852	0	
0.258788	1000	0	0.164	0.836	0	
0.258789	1000	0	0.149	0.851	0	
0.25879	1000	0	0.138	0.862	0	
0.258791	1000	0	0.155	0.845	0	
0.258792	1000	0	0.16	0.84	0	
0.258793	1000	0	0.153	0.847	0	
0.258794	1000	0	0.151	0.849	0	
0.258795	1000	0	0.174	0.826	0	
0.258796	1000	0	0.154	0.846	0	
0.258797	1000	0	0.14	0.86	0	
0.258798	1000	0	0.159	0.841	0	
0.258799	1000	0	0.158	0.842	0	
0.2588	1000	0	0.157	0.843	0	
0.258801	1000	0	0.192	0.808	0	
0.258802	1000	0	0.181	0.819	0	
0.258803	1000	0	0.191	0.809	0	
0.258804	1000	0	0.165	0.835	0	
0.258805	1000	0	0.167	0.833	0	
0.258806	1000	0	0.197	0.803	0	
0.258807	1000	0	0.183	0.817	0	
0.258808	1000	0	0.207	0.793	0	
0.258809	1000	0	0.192	0.808	0	
0.25881	1000	0	0.178	0.822	0	
0.258811	1000	0	0.209	0.791	0	
0.258812	1000	0	0.229	0.771	0	
0.258813	1000	0	0.202	0.798	0	
0.258814	1000	0	0.206	0.794	0	
0.258815	1000	0	0.203	0.797	0	
0.258816	1000	0	0.212	0.788	0	
0.258817	1000	0	0.202	0.798	0	
0.258818	1000	0	0.195	0.805	0	
0.258819	1000	0	0.222	0.778	0	
0.25882	1000	0	0.23	0.77	0	
0.258821	1000	0	0.213	0.787	0	
0.258822	1000	0	0.232	0.768	0	
0.258823	1000	0	0.248	0.752	0	
0.258824	1000	0	0.23	0.77	0	
0.258825	1000	0	0.225	0.775	0	
0.258826	1000	0	0.255	0.745	0	
0.258827	1000	0	0.235	0.765	0	
0.258828	1000	0	0.261	0.739	0	
0.258829	1000	0	0.277	0.723	0	
0.25883	1000	0	0.273	0.727	0	
0.258831	1000	0	0.275	0.725	0	
0.258832	1000	0	0.283	0.717	0	
0.258833	1000	0	0.29	0.71	0	
0.258834	1000	0	0.315	0.685	0	
0.258835	1000	0	0.278	0.722	0	
0.258836	1000	0	0.332	0.668	0	
0.258837	1000	0	0.304	0.696	0	
0.258838	1000	0	0.307	0.693	0	
0.258839	1000	0	0.312	0.688	0	
0.25884	1000	0	0.341	0.659	0	
0.258841	1000	0	0.331	0.669	0	
0.258842	1000	0	0.35	0.65	0	
0.258843	1000	0	0.318	0.682	0	
0.258844	1000	0	0.346	0.654	0	
0.258845	1000	0	0.336	0.664	0	
0.258846	1000	0	0.348	0.652	0	
0.258847	1000	0	0.374	0.626	0	
0.258848	1000	0	0.344	0.656	0	
0.258849	1000	0	0.391	0.609	0	
0.25885	1000	0	0.368	0.632	0	
0.258851	1000	0	0.373	0.627	0	
0.258852	1000	0	0.405	0.595	0	
0.258853	1000	0	0.371	0.629	0	
0.258854	1000	0	0.364	0.636	0	
0.258855	1000	0	0.382	0.618	0	
0.258856	1000	0	0.407	0.593	0	
0.258857	1000	0	0.395	0.605	0	
0.258858	1000	0	0.383	0.617	0	
0.258859	1000	0	0.416	0.584	0	
0.25886	1000	0	0.431	0.569	0	
0.258861	1000	0	0.412	0.588	0	
0.258862	1000	0	0.425	0.575	0	
0.258863	1000	0	0.449	0.551	0	
0.258864	1000	0	0.437	0.563	0	
0.258865	1000	0	0.459	0.541	0	
0.258866	1000	0	0.457	0.543	0	
0.258867	1000	0	0.414	0.586	0	
0.258868	1000	0	0.432	0.568	0	
0.258869	1000	0	0.479	0.521	0	
0.25887	1000	0	0.472	0.528	0	
0.258871	1000	0	0.475	0.525	0	
0.258872	1000	0	0.47	0.53	0	
0.258873	1000	0	0.445	0.555	0	
0.258874	1000	0	0.471	0.529	0	
0.258875	1000	0	0.473	0.527	0	
0.258876	1000	0	0.474	0.526	0	
0.258877	1000	0	0.487	0.513	0	
0.258878	1000	0	0.489	0.511	0	
0.258879	1000	0	0.503	0.497	0	
0.25888	1000	0	0.518	0.482	0	
0.258881	1000	0	0.523	0.477	0	
0.258882	1000	0	0.485	0.515	0	
0.258883	1000	0	0.521	0.479	0	
0.258884	1000	0	0.528	0.472	0	
0.258885	1000	0	0.511	0.489	0	
0.258886	1000	0	0.528	0.472	0	
0.258887	1000	0	0.514	0.486	0	
0.258888	1000	0	0.512	0.488	0	
0.258889	1000	0	0.513	0.487	0	
0.25889	1000	0	0.529	0.471	0	
0.258891	1000	0	0.556	0.444	0	
0.258892	1000	0	0.579	0.421	0	
0.258893	1000	0	0.541	0.459	0	
0.258894	1000	0	0.553	0.447	0	
0.258895	1000	0	0.526	0.474	0	
0.258896	1000	0	0.563	0.437	0	
0.258897	1000	0	0.577	0.423	0	
0.258898	1000	0	0.544	0.456	0	
0.258899	1000	0	0.585	0.415	0	
0.2589	1000	0	0.577	0.423	0	
0.258901	1000	0	0.591	0.409	0	
0.258902	1000	0	0.574	0.426	0	
0.258903	1000	0	0.579	0.421	0	
0.258904	1000	0	0.586	0.414	0	
0.258905	1000	0	0.587	0.413	0	
0.258906	1000	0	0.599	0.401	0	
0.258907	1000	0	0.578	0.422	0	
0.258908	1000	0	0.588	0.412	0	
0.258909	1000	0	0.588	0.412	0	
0.25891	1000	0	0.578	0.422	0	
0.258911	1000	0	0.605	0.395	0	
0.258912	1000	0	0.618	0.382	0	
0.258913	1000	0	0.602	0.398	0	
0.258914	1000	0	0.62	0.38	0	
0.258915	1000	0	0.617	0.383	0	
0.258916	1000	0	0.617	0.383	0	
0.258917	1000	0	0.622	0.378	0	
0.258918	1000	0	0.619	0.381	0	
0.258919	1000	0	0.609	0.391	0	
0.25892	1000	0	0.612	0.388	0	
0.258921	1000	0	0.635	0.365	0	
0.258922	1000	0	0.65	0.35	0	
0.258923	1000	0	0.641	0.359	0	
0.258924	1000	0	0.669	0.331	0	
0.258925	1000	0	0.615	0.385	0	
0.258926	1000	0	0.623	0.377	0	
0.258927	1000	0	0.632	0.368	0	
0.258928	1000	0	0.624	0.376	0	
0.258929	1000	0	0.646	0.354	0	
0.25893	1000	0	0.666	0.334	0	
0.258931	1000	0	0.638	0.362	0	
0.258932	1000	0	0.664	0.336	0	
0.258933	1000	0	0.698	0.302	0	
0.258934	1000	0	0.657	0.343	0	
0.258935	1000	0	0.68	0.32	0	
0.258936	1000	0	0.64	0.36	0	
0.258937	1000	0	0.673	0.327	0	
0.258938	1000	0	0.683	0.317	0	
0.258939	1000	0	0.691	0.309	0	
0.25894	1000	0	0.672	0.328	0	
0.258941	1000	0	0.693	0.307	0	
0.258942	1000	0	0.689	0.311	0	
0.258943	1000	0	0.663	0.337	0	
0.258944	1000	0	0.665	0.335	0	
0.258945	1000	0	0.698	0.302	0	
0.258946	1000	0	0.676	0.324	0	
0.258947	1000	0	0.651	0.349	0	
0.258948	1000	0	0.676	0.324	0	
0.258949	1000	0	0.716	0.284	0	
0.25895	1000	0	0.715	0.285	0	
0.258951	1000	0	0.707	0.293	0	
0.258952	1000	0	0.713	0.287	0	
0.258953	1000	0	0.675	0.325	0	
0.258954	1000	0	0.715	0.285	0	
0.258955	1000	0	0.721	0.279	0	
0.258956	1000	0	0.704	0.296	0	
0.258957	1000	0	0.711	0.289	0	
0.258958	1000	0	0.69	0.31	0	
0.258959	1000	0	0.691	0.309	0	
0.25896	1000	0	0.711	0.289	0	
0.258961	1000	0	0.715	0.285	0	
0.258962	1000	0	0.714	0.286	0	
0.258963	1000	0	0.704	0.296	0	
0.258964	1000	0	0.737	0.263	0	
0.258965	1000	0	0.711	0.289	0	
0.258966	1000	0	0.728	0.272	0	
0.258967	1000	0	0.746	0.254	0	
0.258968	1000	0	0.721	0.279	0	
0.258969	1000	0	0.716	0.284	0	
0.25897	1000	0	0.728	0.272	0	
0.258971	1000	0	0.732	0.268	0	
0.258972	1000	0	0.735	0.265	0	
0.258973	1000	0	0.729	0.271	0	
0.258974	1000	0	0.758	0.242	0	
0.258975	1000	0	0.719	0.281	0	
0.258976	1000	0	0.735	0.265	0	
0.258977	1000	0	0.721	0.279	0	
0.258978	1000	0	0.726	0.274	0	
0.258979	1000	0	0.746	0.254	0	
0.25898	1000	0	0.752	0.248	0	
0.258981	1000	0	0.742	0.258	0	
0.258982	1000	0	0.727	0.273	0	
0.258983	1000	0	0.766	0.234	0	
0.258984	1000	0	0.768	0.232	0	
0.258985	1000	0	0.76	0.24	0	
0.258986	1000	0	0.756	0.244	0	
0.258987	1000	0	0.758	0.242	0	
0.258988	1000	0	0.753	0.247	0	
0.258989	1000	0	0.763	0.237	0	
0.25899	1000	0	0.767	0.233	0	
0.258991	1000	0	0.766	0.234	0	
0.258992	1000	0	0.74	0.26	0	
0.258993	1000	0	0.771	0.229	0	
0.258994	1000	0	0.765	0.235	0	
0.258995	1000	0	0.76	0.24	0	
0.258996	1000	0	0.784	0.216	0	
0.258997	1000	0	0.769	0.231	0	
0.258998	1000	0	0.762	0.238	0	
0.258999	1000	0	0.769	0.231	0	
0.259	1000	0	0.789	0.211	0	
