HH	HH	HH	0.01442	33	2288
HH	HH	HL	0.03103	71	2288
HH	HH	LH	0.06469	148	2288
HH	HH	LL	0.0035	8	2288
HH	HL	HL	0.03234	74	2288
HH	HL	LH	0.08348	191	2288
HH	HL	LL	0.02448	56	2288
HH	LH	LH	0.1674	383	2288
HH	LH	LL	0.15035	344	2288
HH	LL	LL	0.00087	2	2288
HL	HL	HL	0.01617	37	2288
HL	HL	LH	0.04196	96	2288
HL	HL	LL	0.03103	71	2288
HL	LH	LH	0.07649	175	2288
HL	LH	LL	0.16871	386	2288
HL	LL	LL	0.02535	58	2288
LH	LH	LH	0.01705	39	2288
LH	LH	LL	0.04196	96	2288
LH	LL	LL	0.00699	16	2288
LL	LL	LL	0.00175	4	2288
