uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
6.0	3.0	48.80035	33.897259000000005	83.91069	24.623495000000002	0.8827860000000001	0.113348	0.7184050000000001	0.134779	21.351447	1.0	92.993227	9.632544000000001	5.0	0.02277	8.043006	1.0	14.605825	11.023991	4.0	49.424023	13.20999	4.0	60.944524	7.192731	1.0	0.367819	15.781332	3.0	92.55188299999999	16.172327	3.0	69.33121700000001
99.0	3.0	75.648238	90.714846	53.130952	18.410935000000002	0.8788309999999999	0.291833	0.305711	0.406159	15.876184	2.0	36.679464	4.526728	5.0	0.013059999999999999	5.2713980000000005	2.0	38.270912	4.094586	4.0	16.680809	7.378682	3.0	32.874798999999996	16.205811999999998	4.0	0.02984	6.439025	3.0	14.056134	19.549211	2.0	12.142451
185.0	3.0	94.700471	20.102473	10.731494	35.834410999999996	0.989251	0.5889409999999999	0.109963	0.32998299999999997	10.963972	2.0	78.522862	15.924201	2.0	0.010555	5.476351	5.0	3.5008440000000003	3.9923879999999996	2.0	34.605439000000004	10.965372	2.0	97.283668	5.635172	6.0	0.03325	12.167252000000001	1.0	2.977176	18.990651	2.0	1.932653
255.0	3.0	71.827321	43.329381	51.41894	90.168521	0.42116400000000004	0.168114	0.14063399999999998	0.6660229999999999	4.952712	6.0	82.095782	10.136254	2.0	0.05392	11.225197	2.0	75.234236	2.981606	1.0	12.940937	20.171276000000002	2.0	50.235618	4.348380000000001	1.0	0.013309999999999999	7.634422	5.0	60.833344999999994	23.245285	1.0	94.80690600000001
273.0	3.0	97.179156	7.941909	53.512779	59.406905	0.882192	0.354774	0.309395	0.7074050000000001	1.6692919999999998	4.0	53.95176899999999	20.911545999999998	6.0	0.182882	17.923433	5.0	88.08758399999999	4.8087290000000005	2.0	59.976461	12.038822999999999	3.0	64.73759799999999	20.997007999999997	4.0	0.19261099999999998	7.445439	1.0	56.524977	0.778097	6.0	67.867581
293.0	3.0	53.049448999999996	66.763779	86.465038	15.928431	0.39298299999999997	0.220754	0.56892	0.250824	10.893644	4.0	94.84648299999999	25.205423	1.0	0.012392	1.968532	3.0	28.795599	19.626351	2.0	14.217367999999999	17.132013	1.0	79.987	20.483397	3.0	0.797243	9.421603999999999	1.0	45.729817	18.371076000000002	6.0	90.91078
309.0	3.0	82.791622	90.897758	83.450177	75.724631	0.6809890000000001	0.406069	0.346627	0.104369	1.540853	3.0	25.492437	9.767672	3.0	0.010118	10.519995	1.0	23.811428	17.27385	4.0	36.481578999999996	12.27016	5.0	48.964768	16.245626	3.0	0.043322	11.739295	3.0	76.934345	9.31347	2.0	86.826986
324.0	3.0	18.055223	88.66339599999999	45.708581	72.257897	0.987142	0.604945	0.840008	0.265935	17.862373	4.0	16.051533	2.762852	4.0	0.061276	12.417607	4.0	7.318053	11.42302	4.0	54.308051	16.691459	1.0	6.192302	19.724545000000003	2.0	0.016874	6.593669	4.0	66.242186	14.876892999999999	2.0	36.079959
347.0	3.0	93.72264100000001	92.38905799999999	70.60539200000001	41.251746999999995	0.293383	0.509814	0.181081	0.663643	19.625347	5.0	27.01362	11.184953	3.0	0.077516	15.22074	2.0	24.797531	6.78395	2.0	14.743273	10.491862	3.0	50.773486	23.511215	2.0	0.0226	14.177582000000001	5.0	69.82820799999999	0.566184	1.0	68.667761
447.0	3.0	37.220898999999996	48.222601	76.130011	55.144486	0.251929	0.167655	0.6427470000000001	0.5947100000000001	12.251836	5.0	96.144369	17.567247000000002	1.0	0.025478	1.22034	3.0	48.071858	1.5749	6.0	33.250732	14.417532000000001	1.0	4.006035	23.968307	1.0	0.020669	1.776862	6.0	29.18297	7.2834509999999995	4.0	88.936524
